Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,1,0.7741319065088956,86,1s,True,distractor,6.672181932233798,,
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,2,0.5995786636364984,71,1p,False,target,9.024130142105037,,
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,3,0.7675870110441302,3,s2,False,distractor,1.551376654945102,,
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,4,0.8204052275619902,25,2s,True,target,2.8524357016258364,,
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,5,0.8287145241759826,42,2p,False,distractor,1.534756840356863,,
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,6,0.7371549502823169,67,p1,True,target,0.9175751740275473,,
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,7,0.7615523467961991,2,p2,True,target,0.8007960965827579,,
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,8,0.968188674567056,6,s1,False,distractor,2.4354385202144613,,
ASH2003WRNO,2023-12-14-12-38-25,1,single,color,9,0.5867688152386792,18,p1,True,target,1.2678399434727226,,
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,1,0.9635952201154043,18,1p,False,target,1.2678399434727226,0.444926409406501,5.488256813455337
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,2,0.6173909201896646,86,p2,True,target,1.2678399434727226,0.6749396407087613,4.537400336314931
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,3,0.8838026371149617,42,s1,False,target,1.2678399434727226,0.34125847417167954,3.1362492026748896
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,4,0.9327747062741862,67,1s,True,target,1.2678399434727226,0.7640292725511861,2.919592005943855
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,5,0.734631469423581,25,s2,False,target,1.2678399434727226,0.237590538936858,2.452417228254035
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,6,0.7130371489709328,6,2p,False,target,1.2678399434727226,0.052932029299832185,2.3857874461310757
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,7,0.5896069587640502,3,2s,True,target,1.2678399434727226,0.02053579953895044,2.5358058417529037
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,8,0.608592448984995,71,p1,True,target,1.2678399434727226,0.8288217320729494,2.218991559161964
ASH2003WRNO,2023-12-14-12-38-25,2,single,random,9,0.9459433074903791,2,1s,True,target,1.2678399434727226,0.007577307634597741,3.0195139761631253
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,1,0.9748721267044482,2,2s,True,target,1.2678399434727226,0.009197119122641784,1.9851419977179603
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,2,0.5057653309612259,3,s1,False,target,1.2678399434727226,0.010816930610685916,1.7851369595256301
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,3,0.9493421188139344,6,p2,True,target,1.2678399434727226,0.02215561102699448,2.2855311514229015
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,4,0.5406463508428354,18,2p,False,target,1.2678399434727226,0.16955845643900638,2.435659640876338
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,5,0.8156556432618927,25,1p,False,target,1.2678399434727226,0.2230122355444612,2.085468889318122
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,6,0.8892868026192957,42,s2,False,target,1.2678399434727226,0.5550735905934989,2.6358431927958463
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,7,0.6797504024963701,67,p1,True,target,1.2678399434727226,0.9648858970686529,2.1522703431786567
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,8,0.7978902607038516,71,1s,True,target,1.2678399434727226,0.9794642004610494,2.385588717434757
ASH2003WRNO,2023-12-14-12-38-25,3,single,ascending,9,0.5790881223291556,86,1p,False,target,1.2678399434727226,0.9956623153414903,1.835444864604824
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,1,0.876692055408641,6,s2,False,distractor,3.7548098408957458,0.30562262143470964,2.202222775801374
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,2,0.7157199678976038,71,p2,True,target,2.1370512704485236,0.7575500265990097,1.8852915573892233
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,3,0.765980558329058,3,2s,True,target,3.269426041047609,0.18899619429553544,2.135281061155297
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,4,0.7400372294564318,18,2p,False,distractor,2.8524624475849123,0.16307921048683002,1.8518653284978654
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,5,0.8306899133356714,25,s1,False,target,9.824711960015406,0.22949148149663756,1.0177285278930412
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,6,0.8198247231532563,67,2p,False,distractor,2.4035237490122654,0.5048594344641322,1.1179745596168686
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,7,0.7779365023844206,2,2s,True,target,3.3528127885492722,0.257028276793387,1.1013917539719387
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,8,0.5126194525604338,42,s1,False,distractor,2.001734444348017,0.38985281881300216,1.1844227180176858
ASH2003WRNO,2023-12-14-12-38-25,4,dual,random,9,0.8012823052252818,86,1s,True,target,3.2360672990530475,0.42062923708583977,0.8508035761212795
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,1,0.824576965853955,71,p1,True,target,3.2360672990530475,0.8774160767142721,1.9686347649574145
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,2,0.5180065929253754,25,1p,False,target,3.2360672990530475,0.368795269468429,2.7693472026680865
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,3,0.5157860760434074,86,p2,True,target,3.2360672990530475,0.9697453315327851,2.719238959283757
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,4,0.6956109834908855,18,s2,False,target,3.2360672990530475,0.1290631692379042,1.6516447676351618
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,5,0.8853900314070915,42,s1,False,target,3.2360672990530475,0.35097734309994405,2.1187265564669815
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,6,0.7016933552105257,2,s2,False,target,3.2360672990530475,0.0027178731704655236,1.7685784118436914
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,7,0.705514213688126,3,p2,True,target,3.2360672990530475,0.017296176562862354,1.1012897461280318
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,8,0.9013102650795952,6,2s,True,target,3.2360672990530475,0.051312217811788054,1.4015097160915957
ASH2003WRNO,2023-12-14-12-38-25,5,single,random,9,0.9573608852110504,67,p1,True,target,3.2360672990530475,0.8223424861207732,2.2689480347783046
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,1,0.7912578433217798,2,1s,True,target,1.7515455898869732,0.0577914637639644,0.9510505408436529
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,2,0.5260788999850847,3,1p,False,distractor,1.6514662539079836,0.009197119122641784,1.4680881832930481
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,3,0.7730791528467913,6,2p,False,distractor,1.3512546809315609,0.023775422515038613,0.7674793395242432
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,4,0.7071586520102662,18,p1,True,target,2.2352692742731506,0.10638580840528702,1.7351201500014213
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,5,0.6533266537212938,25,1p,False,distractor,2.0351202433012077,0.11124524286941928,1.7516678126999068
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,6,0.7381869559007646,42,2p,False,distractor,1.3178803889609298,0.3104820558988419,1.1842846342287885
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,7,0.8078860993708099,67,s2,False,target,2.6374544813320426,0.8709368307620957,0.9011876760841915
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,8,0.6171674083844405,71,1s,True,target,2.4021348251358177,0.8272019205849055,0.9676650684400556
ASH2003WRNO,2023-12-14-12-38-25,6,dual,ascending,9,0.7033118412289221,86,p2,True,distractor,4.053296921508945,0.9049528720110217,1.1844824299264474
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,1,0.5206672605351672,86,2s,True,distractor,4.053296921508945,0.8968538145708012,2.4358561925760114
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,2,0.8316272530394342,71,s1,False,distractor,4.053296921508945,0.8709368307620957,1.4849132575677686
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,3,0.8660530424679933,67,p1,True,distractor,4.053296921508945,0.8579783388577431,1.7852140874076667
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,4,0.9083867098752316,42,s1,False,distractor,4.053296921508945,0.7397321002305247,1.618411980447945
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,5,0.8746483893882724,25,p2,True,distractor,4.053296921508945,0.3574565890521204,1.8186023743569422
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,6,0.7258683068569028,18,2p,False,distractor,4.053296921508945,0.42548867154997205,2.4358465515906573
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,7,0.7137170327105851,6,s2,False,distractor,4.053296921508945,0.1080056198933311,1.4014907451207819
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,8,0.7902767928040393,3,2s,True,distractor,4.053296921508945,0.028634856979170918,1.5683171100431537
ASH2003WRNO,2023-12-14-12-38-25,7,single,descending,9,0.7995253415652519,2,1p,False,distractor,4.053296921508945,0.012436742098730047,1.4848367516844974
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,1,0.7379346720005755,86,1s,True,distractor,1.7349201773070035,0.218152801080329,1.0177067579263621
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,2,0.7725333239978436,71,1p,False,distractor,2.7190763065323154,0.33639903970754725,0.7174205450639874
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,3,0.8160177479689725,67,p2,True,target,2.436900217979428,0.4157698026217075,0.9011752361029721
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,4,0.6618035438571543,42,p1,True,target,0.9342643415097882,0.44168678643041287,1.184477142934611
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,5,0.6693302399009955,25,s1,False,distractor,1.2845197809692763,0.237590538936858,0.9843464609341481
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,6,0.7920057888507299,18,2p,False,target,1.618103157920359,0.16793864495096228,0.7341946154165271
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,7,0.9353955361322215,6,1s,True,distractor,1.95174997877416,0.07722920162049345,1.6683404661073382
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,8,0.7013958131318597,3,s2,False,distractor,1.0676722525290643,0.052932029299832185,0.8842979139085401
ASH2003WRNO,2023-12-14-12-38-25,8,dual,descending,9,0.7010089012601373,2,2s,True,target,1.8349746333237817,0.030254668467214963,0.7676416812757907
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,1,0.8194018792137717,2,s1,False,target,1.8349746333237817,0.4708433932152064,6.689115856341914
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,2,0.6553803771601658,3,1s,True,target,1.8349746333237817,0.052932029299832185,1.3347269222026625
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,3,0.795993559547403,6,p2,True,target,1.8349746333237817,0.10638580840528702,1.6016777180348072
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,4,0.8792968884168573,18,s2,False,target,1.8349746333237817,0.35583677756407633,1.7851708584739754
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,5,0.8283523363006929,25,p1,True,target,1.8349746333237817,0.443306597918457,1.4348597500993492
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,6,0.5358475620369716,42,2p,False,target,1.8349746333237817,0.7364924772544367,1.4849648834888285
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,7,0.7332161212705683,67,2s,True,target,1.8349746333237817,0.7607896495750979,2.335398059176441
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,8,0.9135156562691493,71,1p,False,target,1.8349746333237817,0.9746047659969171,1.6185298492678157
ASH2003WRNO,2023-12-14-12-38-25,9,single,ascending,9,0.6931630470700629,86,2s,True,target,1.8349746333237817,0.9956623153414903,1.7186760501442677
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,1,0.976604976246402,86,s2,False,target,1.8349746333237817,0.9551670281403883,1.9352925059379231
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,2,0.8247202697391933,71,s1,False,target,1.8349746333237817,0.9632660855806087,1.885329810330859
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,3,0.5514408277963049,67,2p,False,target,1.8349746333237817,0.874176453738184,1.4515930795141685
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,4,0.9940177847775218,42,1p,False,target,1.8349746333237817,0.726773608326172,1.401574092993087
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,5,0.649641056640367,25,p2,True,target,1.8349746333237817,0.46760377023911825,1.8851870615490043
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,6,0.7559434801771003,18,1s,True,target,1.8349746333237817,0.42710848303801613,1.3516185503751785
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,7,0.8188427643081597,6,p1,True,target,1.8349746333237817,0.051312217811788054,1.5683612719756184
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,8,0.87901605308837,3,p1,True,target,1.8349746333237817,0.02215561102699448,1.751747739577695
ASH2003WRNO,2023-12-14-12-38-25,10,single,descending,9,0.7218031583082115,2,1p,False,target,1.8349746333237817,0.005957496146553698,1.1679888811449928
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,1,0.9668610520743319,2,2p,False,distractor,1.3179432108647688,0.012436742098730047,1.934856173604885
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,2,0.8068307328246065,3,1s,True,target,1.9516890228674129,0.02053579953895044,0.651005041613189
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,3,0.9628180619665585,6,p2,True,target,1.651494554864712,0.04159334888352362,0.9009674884205197
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,4,0.8335540105474686,18,s1,False,distractor,2.935968307904659,0.030254668467214963,1.0342880085736397
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,5,0.7215987197772415,25,s2,False,distractor,1.3512388199558245,0.03349429144330314,0.7008134814564073
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,6,0.998268800460085,42,2s,True,target,1.4513312179144577,0.07722920162049345,0.7842117359402891
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,7,0.9941012975505795,67,2p,False,distractor,2.535481469248907,0.3282999822673268,1.0514035564040114
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,8,0.8532004568051306,71,1s,True,target,3.402916055941432,0.8417802239773021,0.3004684585837367
ASH2003WRNO,2023-12-14-12-38-25,11,dual,ascending,9,0.8830330495694925,86,s2,False,distractor,1.4513405479001449,0.8012849367762002,0.850827212085278
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,1,0.6659707162228494,42,1p,False,distractor,1.4513405479001449,0.4821820736315151,2.5189577535136323
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,2,0.702549692430749,25,2s,True,distractor,1.4513405479001449,0.39957168774126667,1.4182218975388423
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,3,0.6792725938793716,2,p1,True,distractor,1.4513405479001449,0.04321316037156766,2.5691250868076168
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,4,0.7166616663560978,18,p2,True,distractor,1.4513405479001449,0.3623160235162527,1.9519633244481156
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,5,0.679620725046983,71,s1,False,distractor,1.4513405479001449,0.7948056908240237,2.252210973369529
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,6,0.9431605568617012,67,1s,True,distractor,1.4513405479001449,0.8336811665370817,1.0178386217246498
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,7,0.7642865984724558,86,p1,True,distractor,1.4513405479001449,0.9405887247479914,1.1012533591836018
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,8,0.9271308586492413,3,2s,True,distractor,1.4513405479001449,0.017296176562862354,2.0522538291038472
ASH2003WRNO,2023-12-14-12-38-25,12,single,random,9,0.5688659734220213,6,s2,False,distractor,1.4513405479001449,0.0577914637639644,1.1010969264227697
ASH2003WRNO,2023-12-14-12-38-25,13,dual,descending,1,0.6671240967025074,86,p2,True,target,1.8016140253321282,0.14850090709443325,0.6841308449641019
ASH2003WRNO,2023-12-14-12-38-25,13,dual,descending,2,0.56561749179876,71,1p,False,distractor,1.9016647493547225,0.4740830161912946,1.2512269708738586
ASH2003WRNO,2023-12-14-12-38-25,13,dual,descending,3,0.522822701692399,67,s1,False,distractor,6.105095447309168,0.7154349279098635,0.4507229028447455
