Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,1,0.7741319065088956,86,1s,True,target,1.8684669323250773,,
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,2,0.5995786636364984,71,1p,False,distractor,0.9676630904219792,,
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,3,0.7675870110441302,3,s2,False,target,0.8842918695667095,,
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,4,0.8204052275619902,25,2s,True,target,1.2037031950565051,,
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,5,0.8287145241759826,42,2p,False,distractor,1.1029099785250764,,
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,6,0.7371549502823169,67,p1,True,target,0.8676996648309796,,
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,7,0.7615523467961991,2,p2,True,target,0.9508829539400949,,
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,8,0.968188674567056,6,s1,False,distractor,1.3512870794755827,,
DHD2000WRNO,2023-12-15-10-40-30,1,single,color,9,0.5867688152386792,18,p1,True,target,0.8509372373022188,,
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,1,0.9635952201154043,18,1p,False,target,0.8509372373022188,0.01930559534039906,2.569353319633592
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,2,0.6173909201896646,86,p2,True,target,0.8509372373022188,0.4242635825455935,4.354027991710836
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,3,0.8838026371149617,42,s1,False,target,0.8509372373022188,0.3067948534326363,3.8872210749550504
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,4,0.9327747062741862,67,1s,True,target,0.8509372373022188,0.33152511219325886,5.021195086885882
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,5,0.734631469423581,25,s2,False,target,0.8509372373022188,0.12750047741812276,1.5852042781939417
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,6,0.7130371489709328,6,2p,False,target,0.8509372373022188,0.04249021292848276,1.4016871211097168
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,7,0.5896069587640502,3,2s,True,target,0.8509372373022188,0.022396877685476914,1.5185611511831212
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,8,0.608592448984995,71,p1,True,target,0.8509372373022188,0.4907261529647665,1.1682086707370445
DHD2000WRNO,2023-12-15-10-40-30,2,single,random,9,0.9459433074903791,2,1s,True,target,0.8509372373022188,0.01312303065024345,1.6019602003930231
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,1,0.9748721267044482,2,2s,True,target,0.8509372373022188,0.022396877685476914,2.018819557334041
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,2,0.5057653309612259,3,s1,False,target,0.8509372373022188,0.036307648238327064,1.1016067441476025
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,3,0.9493421188139344,6,p2,True,target,0.8509372373022188,0.12750047741812276,0.9347190167411554
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,4,0.5406463508428354,18,2p,False,target,0.8509372373022188,0.23414971832330753,1.251606997132626
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,5,0.8156556432618927,25,1p,False,target,0.8509372373022188,0.33770767688341446,0.9181011520938682
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,6,0.8892868026192957,42,s2,False,target,0.8509372373022188,0.4134440943378211,1.1015778315711486
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,7,0.6797504024963701,67,p1,True,target,0.8509372373022188,0.5200933352430058,1.0178820670467985
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,8,0.7978902607038516,71,1s,True,target,0.8509372373022188,0.6901138642222859,0.9679229422015396
DHD2000WRNO,2023-12-15-10-40-30,3,single,ascending,9,0.5790881223291556,86,1p,False,target,0.8509372373022188,0.7797610522295426,1.1848214756834068
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,1,0.876692055408641,6,s2,False,distractor,2.318636829851698,0.0332163658932493,2.352297212610779
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,2,0.7157199678976038,71,p2,True,target,6.071872327845426,0.8508605461663326,3.0362299879795955
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,3,0.765980558329058,3,2s,True,distractor,3.519977144608447,0.03939893058340491,1.8516072862583997
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,4,0.7400372294564318,18,2p,False,target,3.4029813203072763,0.1955086890098348,2.318954145376665
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,5,0.8306899133356714,25,s1,False,distractor,2.9525009739924144,0.4227179413730545,1.3349341263088945
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,6,0.8198247231532563,67,2p,False,target,2.118506867821111,0.6499271937362743,1.5683637867090283
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,7,0.7779365023844206,2,2s,True,distractor,3.25296769525562,0.6978420700849804,2.0853083634685845
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,8,0.5126194525604338,42,s1,False,target,5.0209851093004545,0.518547694070467,1.9520300604056047
DHD2000WRNO,2023-12-15-10-40-30,4,dual,random,9,0.8012823052252818,86,1s,True,target,7.608552629201199,0.7596677169865368,1.368348390762094
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,1,0.824576965853955,71,p1,True,target,7.608552629201199,0.5757364174544065,3.0028598152052837
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,2,0.5180065929253754,25,1p,False,target,7.608552629201199,0.4536307648238327,1.1015366311499974
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,3,0.5157860760434074,86,p2,True,target,7.608552629201199,0.7179354053279863,1.2017794245095956
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,4,0.6956109834908855,18,s2,False,target,7.608552629201199,0.24187792418600207,1.0681379072065056
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,5,0.8853900314070915,42,s1,False,target,7.608552629201199,0.5664625704191731,1.4016961562898587
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,6,0.7016933552105257,2,s2,False,target,7.608552629201199,0.0162143129953213,2.2856696261097795
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,7,0.705514213688126,3,p2,True,target,7.608552629201199,0.036307648238327064,1.1184533795549214
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,8,0.9013102650795952,6,2s,True,target,7.608552629201199,0.11822663038288934,1.7519011825966118
DHD2000WRNO,2023-12-15-10-40-30,5,single,random,9,0.9573608852110504,67,p1,True,target,7.608552629201199,0.6607466819440466,1.3182331380047572
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,1,0.7912578433217798,2,1s,True,distractor,4.987593974908236,0.036307648238327064,2.769450032201348
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,2,0.5260788999850847,3,1p,False,distractor,3.9555852230713526,0.09504201279480569,2.6193941225069466
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,3,0.7730791528467913,6,2p,False,distractor,2.4021475538876302,0.16305022438651773,1.6685024947939837
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,4,0.7071586520102662,18,p1,True,distractor,2.3687502755730065,0.25269741239377447,1.6686000747389471
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,5,0.6533266537212938,25,1p,False,distractor,2.1352226738206355,0.4644502530316051,1.401831322584144
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,6,0.7381869559007646,42,2p,False,distractor,1.568135738763317,0.5046369235176167,1.4017080827275095
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,7,0.8078860993708099,67,s2,False,target,1.834991951461575,0.586555905662179,1.5684349839282277
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,8,0.6171674083844405,71,1s,True,target,2.6189633251198075,0.603557958560107,1.9185930272984706
DHD2000WRNO,2023-12-15-10-40-30,6,dual,ascending,9,0.7033118412289221,86,p2,True,distractor,2.1037574784185153,0.7349374582259143,1.385225745781895
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,1,0.5206672605351672,86,2s,True,distractor,2.1037574784185153,0.7689415640217703,1.2015405343477141
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,2,0.8316272530394342,71,s1,False,distractor,2.1037574784185153,0.7967631051274706,0.9014399185822413
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,3,0.8660530424679933,67,p1,True,distractor,2.1037574784185153,0.8091282345077818,0.9013531808532207
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,4,0.9083867098752316,42,s1,False,distractor,2.1037574784185153,0.6684748878067411,1.3349467755609794
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,5,0.8746483893882724,25,p2,True,distractor,2.1037574784185153,0.5247302587606225,0.8511645624333823
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,6,0.7258683068569028,18,2p,False,distractor,2.1037574784185153,0.4814523059295331,0.8847179686601976
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,7,0.7137170327105851,6,s2,False,distractor,2.1037574784185153,0.2990666475699417,1.2849197061615314
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,8,0.7902767928040393,3,2s,True,distractor,2.1037574784185153,0.04712713644609945,1.601885750509041
DHD2000WRNO,2023-12-15-10-40-30,7,single,descending,9,0.7995253415652519,2,1p,False,distractor,2.1037574784185153,0.020851236512937986,1.184971821080353
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,1,0.7379346720005755,86,1s,True,target,1.8534298627881753,0.2217845889429962,1.7354325791246765
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,2,0.7725333239978436,71,1p,False,distractor,1.6869823293561694,0.3253425475031032,1.2683571368164621
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,3,0.8160177479689725,67,p2,True,target,4.670716836732936,0.6437446290461186,0.7843692829897009
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,4,0.6618035438571543,42,p1,True,target,2.1018922558387203,0.6530184760813521,0.9343113494151112
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,5,0.6693302399009955,25,s1,False,distractor,1.8850334771493635,0.6483815525637353,1.1181057058245187
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,6,0.7920057888507299,18,2p,False,distractor,2.018508024324092,0.3918051179222763,1.851855211600423
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,7,0.9353955361322215,6,1s,True,distractor,3.152717673752022,0.17232407142175118,1.3681799750049777
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,8,0.7013958131318597,3,s2,False,target,2.1185271066244695,0.05330970113625515,1.602051636415581
DHD2000WRNO,2023-12-15-10-40-30,8,dual,descending,9,0.7010089012601373,2,2s,True,target,1.701599082314715,0.01312303065024345,1.268167398034393
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,1,0.8194018792137717,2,s1,False,target,1.701599082314715,0.03167072472071038,1.8354606966049687
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,2,0.6553803771601658,3,1s,True,target,1.701599082314715,0.07494867755179983,0.9347768418938358
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,3,0.795993559547403,6,p2,True,target,1.701599082314715,0.1553220185238231,1.3349796636166502
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,4,0.8792968884168573,18,s2,False,target,1.701599082314715,0.3516184474362647,1.2680311475185135
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,5,0.8283523363006929,25,p1,True,target,1.701599082314715,0.4242635825455935,1.284975724277956
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,6,0.5358475620369716,42,2p,False,target,1.701599082314715,0.5432779528310895,1.03472400416058
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,7,0.7332161212705683,67,2s,True,target,1.701599082314715,0.671566170151819,1.08488226437521
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,8,0.9135156562691493,71,1p,False,target,1.701599082314715,0.7782154110570038,0.9346781777271644
DHD2000WRNO,2023-12-15-10-40-30,9,single,ascending,9,0.6931630470700629,86,2s,True,target,1.701599082314715,0.8323128520958656,1.1516424873200322
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,1,0.976604976246402,86,s2,False,target,1.701599082314715,0.7828523345746204,1.3015733501219984
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,2,0.8247202697391933,71,s1,False,target,1.701599082314715,0.8400410579585602,1.051551846393295
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,3,0.5514408277963049,67,2p,False,target,1.701599082314715,0.8833190107896496,1.1514372080280282
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,4,0.9940177847775218,42,1p,False,target,1.701599082314715,0.6406533467010408,1.4514149453443679
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,5,0.649641056640367,25,p2,True,target,1.701599082314715,0.48608922944714983,1.06863917899841
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,6,0.7559434801771003,18,1s,True,target,1.701599082314715,0.4366287119259047,0.8679548183170027
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,7,0.8188427643081597,6,p1,True,target,1.701599082314715,0.3083404946051752,1.1014477249777883
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,8,0.87901605308837,3,p1,True,target,1.701599082314715,0.051764059963716136,1.5351417908884741
DHD2000WRNO,2023-12-15-10-40-30,10,single,descending,9,0.7218031583082115,2,1p,False,target,1.701599082314715,0.028579442375632525,1.3182522925865214
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,1,0.9668610520743319,2,2p,False,target,1.684890865866464,0.07031175403418315,1.3850161296036276
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,2,0.8068307328246065,3,1s,True,target,2.452244374877637,0.09349637162226676,1.7852225653982714
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,3,0.9628180619665585,6,p2,True,target,1.4179121361262332,0.14141124797097296,1.334870880048129
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,4,0.8335540105474686,18,s1,False,distractor,1.451421089266887,0.17541535376682896,1.3014342083483825
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,5,0.7215987197772415,25,s2,False,distractor,1.7867115630790522,0.13831996562589516,0.8180076199093946
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,6,0.998268800460085,42,2s,True,distractor,2.202021928743534,0.4629046118590662,1.5016140445729889
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,7,0.9941012975505795,67,2p,False,distractor,1.5513866833009615,0.4242635825455935,1.3349265367576209
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,8,0.8532004568051306,71,1s,True,distractor,2.6856993337819404,0.5386410293134728,1.6352205053772195
DHD2000WRNO,2023-12-15-10-40-30,11,dual,ascending,9,0.8830330495694925,86,s2,False,distractor,1.8516842659928443,0.6638379642891243,1.9352773908713061
DHD2000WRNO,2023-12-15-10-40-30,12,single,random,1,0.6659707162228494,42,1p,False,distractor,1.8516842659928443,0.4459025589611382,1.1849085748197012
DHD2000WRNO,2023-12-15-10-40-30,12,single,random,2,0.702549692430749,25,2s,True,distractor,1.8516842659928443,0.4721784588942996,1.067945638573974
DHD2000WRNO,2023-12-15-10-40-30,12,single,random,3,0.6792725938793716,2,p1,True,distractor,1.8516842659928443,0.037853289410865985,1.1351471397149453
DHD2000WRNO,2023-12-15-10-40-30,12,single,random,4,0.7166616663560978,18,p2,True,distractor,1.8516842659928443,0.20323689487252938,1.3684199493884535
DHD2000WRNO,2023-12-15-10-40-30,12,single,random,5,0.679620725046983,71,s1,False,distractor,1.8516842659928443,0.6437446290461186,1.4518598376125738
