Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,1,0.7741319065088956,86,1s,True,distractor,16.94732762022886,,
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,2,0.5995786636364984,71,1p,False,distractor,4.087002326008587,,
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,3,0.7675870110441302,3,s2,False,distractor,1.635006425796746,,
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,4,0.8204052275619902,25,2s,True,target,1.3512930380215948,,
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,5,0.8287145241759826,42,2p,False,distractor,1.4179500190102772,,
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,6,0.7371549502823169,67,p1,True,target,1.0342573036518843,,
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,7,0.7615523467961991,2,p2,True,target,0.8360923059572087,,
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,8,0.968188674567056,6,s1,False,distractor,1.0695287122530317,,
DRK2003WRNO,2023-12-12-13-00-15,1,single,color,9,0.5867688152386792,18,p1,True,target,0.8508582667263909,,
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,1,0.9635952201154043,18,1p,False,target,0.8508582667263909,0.28361023584455264,7.173067887929392
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,2,0.6173909201896646,86,p2,True,target,0.8508582667263909,0.22796715363315193,3.9871610554787367
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,3,0.8838026371149617,42,s1,False,target,0.8508582667263909,0.2928840828797861,2.7694143634266766
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,4,0.9327747062741862,67,1s,True,target,0.8508582667263909,0.4258092237181323,2.018854907097193
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,5,0.734631469423581,25,s2,False,target,0.8508582667263909,0.2186933065979184,2.8528351569875667
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,6,0.7130371489709328,6,2p,False,target,0.8508582667263909,0.10431585983003915,2.002213249718352
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,7,0.5896069587640502,3,2s,True,target,0.8508582667263909,0.025488160030554763,2.0191642705453887
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,8,0.608592448984995,71,p1,True,target,0.8508582667263909,0.5664625704191731,2.519262211543719
DRK2003WRNO,2023-12-12-13-00-15,2,single,random,9,0.9459433074903791,2,1s,True,target,0.8508582667263909,0.011577389477704526,2.6527518167877133
