Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,1,0.7741319065088956,86,1s,True,distractor,1.284418152336002,,
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,2,0.5995786636364984,71,1p,False,distractor,11.125427227757541,,
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,3,0.7675870110441302,3,s2,False,distractor,1.8514905000718045,,
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,4,0.8204052275619902,25,2s,True,target,0.8007272901429587,,
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,5,0.8287145241759826,42,2p,False,distractor,0.8207487611562101,,
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,6,0.7371549502823169,67,p1,True,target,0.603879088091503,,
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,7,0.7615523467961991,2,p2,True,target,0.6172493343177621,,
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,8,0.968188674567056,6,s1,False,distractor,0.8874382755019496,,
JDB2003WRNO,2023-12-13-16-14-20,1,single,color,9,0.5867688152386792,18,p1,True,target,0.9541644871183053,,
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,1,0.9635952201154043,18,1p,False,target,0.9541644871183053,0.4335877289901925,2.9192277525907
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,2,0.6173909201896646,86,p2,True,target,0.9541644871183053,0.2667471457216516,2.9193048790576768
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,3,0.8838026371149617,42,s1,False,target,0.9541644871183053,0.5583132135695872,1.7517470077729058
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,4,0.9327747062741862,67,1s,True,target,0.9541644871183053,0.8887547571305807,2.6191445306450305
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,5,0.734631469423581,25,s2,False,target,0.9541644871183053,0.5971886892826451,1.1012126270953786
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,6,0.7130371489709328,6,2p,False,target,0.9541644871183053,0.11124524286941928,1.5848527972960937
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,7,0.5896069587640502,3,2s,True,target,0.9541644871183053,0.01405655358677409,1.384803535875335
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,8,0.608592448984995,71,p1,True,target,0.9541644871183053,0.7024764360055109,1.1345079362512251
JDB2003WRNO,2023-12-13-16-14-20,2,single,random,9,0.9459433074903791,2,1s,True,target,0.9541644871183053,0.051312217811788054,1.6183082682682652
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,1,0.9748721267044482,2,2s,True,target,0.9541644871183053,0.052932029299832185,1.1178834507128386
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,2,0.5057653309612259,3,s1,False,target,0.9541644871183053,0.06589052120418488,1.2344713011794965
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,3,0.9493421188139344,6,p2,True,target,0.9541644871183053,0.12420373477377197,1.6849119483202912
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,4,0.5406463508428354,18,2p,False,target,0.9541644871183053,0.26836695720969567,1.0844245588085641
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,5,0.8156556432618927,25,1p,False,target,0.9541644871183053,0.41091036815757526,0.9844627488495235
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,6,0.8892868026192957,42,s2,False,target,0.9541644871183053,0.3218207363151505,0.9677567829306781
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,7,0.6797504024963701,67,p1,True,target,0.9541644871183053,0.6036679352348215,1.117617550998375
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,8,0.7978902607038516,71,1s,True,target,0.9541644871183053,0.7834670104077152,1.401466895640965
JDB2003WRNO,2023-12-13-16-14-20,3,single,ascending,9,0.5790881223291556,86,1p,False,target,0.9541644871183053,0.7915660678479355,0.8676805272465344
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,1,0.876692055408641,6,s2,False,distractor,7.872940054697665,0.31210186738688594,1.518109481019792
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,2,0.7157199678976038,71,p2,True,target,2.8725702830478212,0.6263452960674387,0.8010093615358755
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,3,0.765980558329058,3,2s,True,distractor,1.6180059822770545,0.3477377201238559,1.0677506252530975
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,4,0.7400372294564318,18,2p,False,distractor,1.4345849383206541,0.49676037702391185,0.45051373068804423
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,5,0.8306899133356714,25,s1,False,distractor,1.551350677251321,0.6052877467228657,1.4513487490895614
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,6,0.8198247231532563,67,2p,False,distractor,1.5179375014382686,0.5728915169619839,0.9174432700626767
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,7,0.7779365023844206,2,2s,True,distractor,1.7348130833855748,0.6992368130294226,0.8342004877627005
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,8,0.5126194525604338,42,s1,False,distractor,1.818234065143315,0.7867066333838032,0.31690767650911766
JDB2003WRNO,2023-12-13-16-14-20,4,dual,random,9,0.8012823052252818,86,1s,True,distractor,1.1677251859588296,0.8547387158816548,0.6338859486151023
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,1,0.824576965853955,71,p1,True,distractor,1.1677251859588296,0.950307593676256,3.052769742042983
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,2,0.5180065929253754,25,1p,False,distractor,1.1677251859588296,0.7300132313022603,1.3180866540735678
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,3,0.5157860760434074,86,p2,True,distractor,1.1677251859588296,0.8887547571305807,1.101075789815468
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,4,0.6956109834908855,18,s2,False,distractor,1.1677251859588296,0.6085273696989538,1.785069062397156
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,5,0.8853900314070915,42,s1,False,distractor,1.1677251859588296,0.7154349279098635,1.0511587940654863
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,6,0.7016933552105257,2,s2,False,distractor,1.1677251859588296,0.007577307634597741,1.3679821912500074
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,7,0.705514213688126,3,p2,True,distractor,1.1677251859588296,0.03673391441939131,1.1178915365520652
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,8,0.9013102650795952,6,2s,True,distractor,1.1677251859588296,0.1468810956063892,1.151154191356909
JDB2003WRNO,2023-12-13-16-14-20,5,single,random,9,0.9573608852110504,67,p1,True,distractor,1.1677251859588296,0.7364924772544367,1.2346554095197462
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,1,0.7912578433217798,2,1s,True,distractor,0.7506902507791438,0.5728915169619839,0.8673863270945503
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,2,0.5260788999850847,3,1p,False,distractor,1.100932421665334,0.5599330250576312,0.36715028278672435
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,3,0.7730791528467913,6,2p,False,distractor,1.2510914328045146,0.04645278334765583,0.9509668486809915
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,4,0.7071586520102662,18,p1,True,target,0.9175051578324656,0.26836695720969567,0.60062609275451
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,5,0.6533266537212938,25,1p,False,distractor,0.9341775364189289,0.5955688777946011,0.6841307318493364
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,6,0.7381869559007646,42,2p,False,distractor,1.3845245744205386,0.705716058981599,0.6173892815359068
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,7,0.8078860993708099,67,s2,False,distractor,1.701468637206517,0.7899462563598915,0.500499145078038
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,8,0.6171674083844405,71,1s,True,distractor,1.0342901783798197,0.8660773962979634,0.5172943662225862
JDB2003WRNO,2023-12-13-16-14-20,6,dual,ascending,9,0.7033118412289221,86,p2,True,target,0.8675038827577737,0.3428782856597236,0.5005202926575976
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,1,0.5206672605351672,86,2s,True,target,0.8675038827577737,0.7964255023120679,0.9844120568571952
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,2,0.8316272530394342,71,s1,False,target,0.8675038827577737,0.9567868396284324,1.318085721092075
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,3,0.8660530424679933,67,p1,True,target,0.8675038827577737,0.9098123064751539,0.7509424667656504
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,4,0.9083867098752316,42,s1,False,target,0.8675038827577737,0.6214858616033065,0.7340679421974983
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,5,0.8746483893882724,25,p2,True,target,0.8675038827577737,0.21491317810424082,0.8509232473477368
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,6,0.7258683068569028,18,2p,False,target,0.8675038827577737,0.17117826792705051,1.0177334894935939
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,7,0.7137170327105851,6,s2,False,target,0.8675038827577737,0.06103108674005257,0.7676338159750458
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,8,0.7902767928040393,3,2s,True,target,0.8675038827577737,0.02215561102699448,0.7676530975917331
JDB2003WRNO,2023-12-13-16-14-20,7,single,descending,9,0.7995253415652519,2,1p,False,target,0.8675038827577737,0.009197119122641784,0.7509381128522818
JDB2003WRNO,2023-12-13-16-14-20,8,dual,descending,1,0.7379346720005755,86,1s,True,distractor,0.9707715570029904,0.9162915524273302,0.45054731802042625
JDB2003WRNO,2023-12-13-16-14-20,8,dual,descending,2,0.7725333239978436,71,1p,False,target,1.7214282204497522,0.9778443889730056,0.43405469386073037
JDB2003WRNO,2023-12-13-16-14-20,8,dual,descending,3,0.8160177479689725,67,p2,True,target,1.0175748826464996,0.8693170192740517,0.40047047144798853
JDB2003WRNO,2023-12-13-16-14-20,8,dual,descending,4,0.6618035438571543,42,p1,True,target,0.8174475617773851,0.6101471811869978,0.3337868659847345
JDB2003WRNO,2023-12-13-16-14-20,8,dual,descending,5,0.6693302399009955,25,s1,False,distractor,0.7040159875701875,0.47570282767933875,0.5007541600087961
JDB2003WRNO,2023-12-13-16-14-20,8,dual,descending,6,0.7920057888507299,18,2p,False,distractor,1.1176564252256185,0.6619811488044086,0.33372062430146343
JDB2003WRNO,2023-12-13-16-14-20,8,dual,descending,7,0.9353955361322215,6,1s,True,target,3.402866989810036,0.18737638280749133,0.7339873947986462
JDB2003WRNO,2023-12-13-16-14-20,8,dual,descending,8,0.7013958131318597,3,s2,False,distractor,1.43799125360988,0.08046882459658163,1.0678843525948878
