Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,1,0.7741319065088956,86,1s,True,distractor,6.638652940251632,,
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,2,0.5995786636364984,71,1p,False,distractor,5.1374458211357705,,
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,3,0.7675870110441302,3,s2,False,target,3.6028893732873257,,
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,4,0.8204052275619902,25,2s,True,distractor,1.0675625958829187,,
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,5,0.8287145241759826,42,2p,False,target,3.4695340423786547,,
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,6,0.7371549502823169,67,p1,True,target,2.3352665691636503,,
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,7,0.7615523467961991,2,p2,True,target,0.8007337567396462,,
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,8,0.968188674567056,6,s1,False,distractor,2.2351685130852275,,
KGC1988WRNO,2011-01-10-06-51-12,1,single,color,9,0.5867688152386792,18,p1,True,target,0.8007303358463105,,
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,1,0.9635952201154043,18,1p,False,target,0.8007303358463105,0.2100537436401085,3.11957585538039
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,2,0.6173909201896646,86,p2,True,target,0.8007303358463105,0.36393583500429677,4.670594092924148
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,3,0.8838026371149617,42,s1,False,target,0.8007303358463105,0.42062923708583977,1.334754052804783
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,4,0.9327747062741862,67,1s,True,target,0.8007303358463105,0.4740830161912946,1.1846744541544467
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,5,0.734631469423581,25,s2,False,target,0.8007303358463105,0.39957168774126667,1.4348835191631224
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,6,0.7130371489709328,6,2p,False,target,0.8007303358463105,0.0707499556683171,1.5015728468133602
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,7,0.5896069587640502,3,2s,True,target,0.8007303358463105,0.025395234003082745,1.2680476204841398
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,8,0.608592448984995,71,p1,True,target,0.8007303358463105,0.6846585096370259,1.9185475260892417
KGC1988WRNO,2011-01-10-06-51-12,2,single,random,9,0.9459433074903791,2,1s,True,target,0.8007303358463105,0.030254668467214963,1.6182981408492196
KGC1988WRNO,2011-01-10-06-51-12,3,single,ascending,1,0.9748721267044482,2,2s,True,target,0.8007303358463105,0.6004283122587333,9.290949763148092
KGC1988WRNO,2011-01-10-06-51-12,3,single,ascending,2,0.5057653309612259,3,s1,False,target,0.8007303358463105,0.028634856979170918,5.271037817670731
KGC1988WRNO,2011-01-10-06-51-12,3,single,ascending,3,0.9493421188139344,6,p2,True,target,0.8007303358463105,0.1290631692379042,4.053547698713373
KGC1988WRNO,2011-01-10-06-51-12,3,single,ascending,4,0.5406463508428354,18,2p,False,target,0.8007303358463105,0.35583677756407633,3.353032352286391
KGC1988WRNO,2011-01-10-06-51-12,3,single,ascending,5,0.8156556432618927,25,1p,False,target,0.8007303358463105,0.5728915169619839,2.86931081165676
KGC1988WRNO,2011-01-10-06-51-12,3,single,ascending,6,0.8892868026192957,42,s2,False,target,0.8007303358463105,0.5275367952967495,3.519836840656353
