Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,1,0.7741319065088956,86,1s,True,distractor,1.4846185093975919,,
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,2,0.5995786636364984,71,1p,False,distractor,1.3679421690648041,,
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,3,0.7675870110441302,3,s2,False,target,0.8007012745387101,,
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,4,0.8204052275619902,25,2s,True,distractor,0.7339659886908976,,
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,5,0.8287145241759826,42,2p,False,distractor,1.3511920293808544,,
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,6,0.7371549502823169,67,p1,True,target,0.8510879441062116,,
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,7,0.7615523467961991,2,p2,True,target,0.8008639077804673,,
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,8,0.968188674567056,6,s1,False,distractor,1.9183071542001926,,
MGM2000WRNO,2023-12-13-16-19-54,1,single,color,9,0.5867688152386792,18,p1,True,target,0.9176761372219744,,
MGM2000WRNO,2023-12-13-16-19-54,2,single,random,1,0.9635952201154043,18,1p,False,target,0.9176761372219744,0.5061825646901557,12.544242024285154
MGM2000WRNO,2023-12-13-16-19-54,2,single,random,2,0.6173909201896646,86,p2,True,target,0.9176761372219744,0.24496920653107992,5.25479063319267
MGM2000WRNO,2023-12-13-16-19-54,2,single,random,3,0.8838026371149617,42,s1,False,target,0.9176761372219744,0.1785066361119068,3.5700302353266125
MGM2000WRNO,2023-12-13-16-19-54,2,single,random,4,0.9327747062741862,67,1s,True,target,0.9176761372219744,0.4706328177217607,4.737725346426828
MGM2000WRNO,2023-12-13-16-19-54,2,single,random,5,0.734631469423581,25,s2,False,target,0.9176761372219744,0.11513534803781153,4.154010788727874
MGM2000WRNO,2023-12-13-16-19-54,2,single,random,6,0.7130371489709328,6,2p,False,target,0.9176761372219744,0.0440358541010216,3.3533474619456456
MGM2000WRNO,2023-12-13-16-19-54,2,single,random,7,0.5896069587640502,3,2s,True,target,0.9176761372219744,0.0332163658932493,1.5184917609999502
MGM2000WRNO,2023-12-13-16-19-54,2,single,random,8,0.608592448984995,71,p1,True,target,0.9176761372219744,0.8106738756803209,2.3524302104618755
