Participant,Session,Block,Task,Order,Trial,OnsetDelay,Ndots,Color,ColorIsTarget,ColorResponse,ColorRT,NumerosityResponse,NumerosityRT
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,1,0.7741319065088956,86,1s,True,target,6.321863566983666,,
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,2,0.5995786636364984,71,1p,False,target,6.004816095202841,,
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,3,0.7675870110441302,3,s2,False,distractor,1.7849442134101992,,
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,4,0.8204052275619902,25,2s,True,target,19.148698727527517,,
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,5,0.8287145241759826,42,2p,False,distractor,2.4520570567037794,,
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,6,0.7371549502823169,67,p1,True,target,2.235251602567587,,
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,7,0.7615523467961991,2,p2,True,target,0.7173913719561824,,
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,8,0.968188674567056,6,s1,False,distractor,1.6849845807810198,,
PBF2003WRNO,2023-12-13-13-14-27,1,single,color,9,0.5867688152386792,18,p1,True,target,0.6840718054118042,,
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,1,0.9635952201154043,18,1p,False,target,0.6840718054118042,0.26998676869773974,8.173516576749535
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,2,0.6173909201896646,86,p2,True,target,0.6840718054118042,0.32991979375537095,5.98851209217537
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,3,0.8838026371149617,42,s1,False,target,0.6840718054118042,0.23597072744881392,2.252222071561846
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,4,0.9327747062741862,67,1s,True,target,0.6840718054118042,0.6749396407087613,1.2344837516648113
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,5,0.734631469423581,25,s2,False,target,0.6840718054118042,0.43682735196628064,1.818360810932063
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,6,0.7130371489709328,6,2p,False,target,0.6840718054118042,0.09828675096506663,1.3014942148402042
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,7,0.5896069587640502,3,2s,True,target,0.6840718054118042,0.06103108674005257,1.868481664256251
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,8,0.608592448984995,71,p1,True,target,0.6840718054118042,0.8919943801066689,1.8851246537051338
PBF2003WRNO,2023-12-13-13-14-27,2,single,random,9,0.9459433074903791,2,1s,True,target,0.6840718054118042,0.009197119122641784,1.6516544403493754
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,1,0.9748721267044482,2,2s,True,target,0.6840718054118042,0.09018769352484615,2.61904176934695
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,2,0.5057653309612259,3,s1,False,target,0.6840718054118042,0.1339226037020365,1.8518641765367647
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,3,0.9493421188139344,6,p2,True,target,0.6840718054118042,0.19061600578357957,3.2196324143187667
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,4,0.5406463508428354,18,2p,False,target,0.6840718054118042,0.5907094433304688,2.0854236459526874
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,5,0.8156556432618927,25,1p,False,target,0.6840718054118042,0.41900942559779575,1.5849493759524194
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,6,0.8892868026192957,42,s2,False,target,0.6840718054118042,0.5664122710098075,2.952720412704366
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,7,0.6797504024963701,67,p1,True,target,0.6840718054118042,0.6959971900533344,1.501514865023637
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,8,0.7978902607038516,71,1s,True,target,0.6840718054118042,0.6636009602924527,2.0018479425089026
PBF2003WRNO,2023-12-13-13-14-27,3,single,ascending,9,0.5790881223291556,86,1p,False,target,0.6840718054118042,0.819102863144685,1.5681658159846847
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,1,0.876692055408641,6,s2,False,distractor,8.623707653128804,0.1080056198933311,1.5348002219252521
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,2,0.7157199678976038,71,p2,True,target,7.8079175410857715,0.14850090709443325,1.40142523576651
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,3,0.765980558329058,3,2s,True,distractor,6.855537669791374,0.2051943091759763,1.0677966628791182
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,4,0.7400372294564318,18,2p,False,target,3.0539526439097244,0.2456895963770785,1.584986384561489
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,5,0.8306899133356714,25,s1,False,distractor,2.3520439326421183,0.18251694834335908,1.017783103423426
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,6,0.8198247231532563,67,2p,False,target,2.55211745226552,0.36393583500429677,0.9677431092459301
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,7,0.7779365023844206,2,2s,True,distractor,2.2852477462074603,0.03673391441939131,1.5348008439177647
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,8,0.5126194525604338,42,s1,False,distractor,1.8682770284140133,0.1663188334629182,1.0343981031692238
PBF2003WRNO,2023-12-13-13-14-27,4,dual,random,9,0.8012823052252818,86,1s,True,distractor,4.537091023765242,0.25216884232925485,0.8675144644585089
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,1,0.824576965853955,71,p1,True,distractor,4.537091023765242,0.5955688777946011,2.485408966906107
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,2,0.5180065929253754,25,1p,False,distractor,4.537091023765242,0.3833735728608258,1.1512115810219257
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,3,0.5157860760434074,86,p2,True,distractor,4.537091023765242,0.7591698380870537,1.5180993870853854
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,4,0.6956109834908855,18,s2,False,distractor,4.537091023765242,0.22625185852054944,1.4346599002092262
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,5,0.8853900314070915,42,s1,False,distractor,4.537091023765242,0.3525971545879881,1.901853789244342
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,6,0.7016933552105257,2,s2,False,distractor,4.537091023765242,0.027015045491126786,1.3681373908875685
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,7,0.705514213688126,3,p2,True,distractor,4.537091023765242,0.05941127525200853,0.88449737332121
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,8,0.9013102650795952,6,2s,True,distractor,4.537091023765242,0.20195468619988813,1.8351832454864052
PBF2003WRNO,2023-12-13-13-14-27,5,single,random,9,0.9573608852110504,67,p1,True,distractor,4.537091023765242,0.7737481414794505,1.5681110805635399
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,1,0.7912578433217798,2,1s,True,distractor,1.701501616560563,0.08046882459658163,0.8842380020578275
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,2,0.5260788999850847,3,1p,False,target,2.318687979477545,0.13878203816616877,1.6514653543417808
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,3,0.7730791528467913,6,2p,False,distractor,2.1531211008805258,0.2278716700085935,1.2513913993243477
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,4,0.7071586520102662,18,p1,True,target,2.7523169255618996,0.14040184965421285,1.7015467110832105
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,5,0.6533266537212938,25,1p,False,distractor,4.286882655960653,0.18737638280749133,1.067824341589585
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,6,0.7381869559007646,42,2p,False,distractor,4.670497420593165,0.0885678820368021,1.7683105538599193
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,7,0.8078860993708099,67,s2,False,distractor,4.920712630326307,0.22949148149663756,1.634925926799042
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,8,0.6171674083844405,71,1s,True,target,3.202755555335898,0.3444980971477677,1.218036068155925
PBF2003WRNO,2023-12-13-13-14-27,6,dual,ascending,9,0.7033118412289221,86,p2,True,target,2.6189313655122533,0.07560939013244941,1.284385974297038
