Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
ABH2003W,2024-07-08-13-08-41,1,single,color,True,1,1.575,-35,-51.6,s1,False,distractor,15.213,,
ABH2003W,2024-07-08-13-08-41,1,single,color,True,2,0.874,-60,-50.4,p1,True,target,8.625,,
ABH2003W,2024-07-08-13-08-41,1,single,color,True,3,0.696,-30,-37.2,1s,True,distractor,2.335,,
ABH2003W,2024-07-08-13-08-41,1,single,color,True,4,0.609,-25,-34.7,2s,True,distractor,1.535,,
ABH2003W,2024-07-08-13-08-41,1,single,color,True,5,0.858,-55,-59.3,s2,False,target,0.501,,
ABH2003W,2024-07-08-13-08-41,1,single,color,True,6,0.597,-50,-28.9,2p,False,distractor,2.469,,
ABH2003W,2024-07-08-13-08-41,1,single,color,True,7,0.569,-40,-39.0,1p,False,distractor,1.401,,
ABH2003W,2024-07-08-13-08-41,1,single,color,True,8,0.586,-45,-52.1,p2,True,target,0.501,,
ABH2003W,2024-07-08-13-08-41,1,single,color,True,9,0.634,-65,-29.8,p2,True,target,0.551,,
ABH2003W,2024-07-08-13-08-41,2,single,random,False,1,1.657,55,51.1,2s,True,target,0.551,45.1,8.574
ABH2003W,2024-07-08-13-08-41,2,single,random,False,2,0.555,30,29.9,1s,True,target,0.551,-23.1,9.258
ABH2003W,2024-07-08-13-08-41,2,single,random,False,3,0.552,25,52.1,p1,True,target,0.551,34.1,5.054
ABH2003W,2024-07-08-13-08-41,2,single,random,False,4,0.935,65,42.1,s2,False,target,0.551,62.1,5.353
ABH2003W,2024-07-08-13-08-41,2,single,random,False,5,0.867,60,52.2,1p,False,target,0.551,52.2,2.152
ABH2003W,2024-07-08-13-08-41,2,single,random,False,6,0.635,35,57.6,2p,False,target,0.551,39.6,6.122
ABH2003W,2024-07-08-13-08-41,2,single,random,False,7,0.65,50,47.2,s1,False,target,0.551,50.2,3.92
ABH2003W,2024-07-08-13-08-41,2,single,random,False,8,0.896,40,42.2,1p,False,target,0.551,37.2,3.053
ABH2003W,2024-07-08-13-08-41,2,single,random,False,9,0.786,45,33.3,2s,True,target,0.551,49.3,3.353
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,1,1.714,-65,-31.3,2p,False,distractor,11.426,31.7,6.272
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,2,0.805,-60,-44.9,p1,True,target,4.137,-44.9,2.536
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,3,0.645,-55,-60.6,s2,False,distractor,4.904,-62.6,10.776
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,4,0.877,-50,-45.5,1s,True,target,10.109,40.5,9.375
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,5,0.923,-45,-25.9,p2,True,target,4.521,-48.9,5.088
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,6,0.968,-40,-42.1,s1,False,distractor,4.437,-132.1,5.922
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,7,0.779,-35,-31.2,s2,False,distractor,6.589,-42.2,3.903
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,8,0.557,-30,-43.9,1p,False,distractor,6.522,-34.9,5.605
ABH2003W,2024-07-08-13-08-41,3,dual,ascending,True,9,0.952,-25,-51.2,s1,False,distractor,4.938,-35.2,3.119
ABH2003W,2024-07-08-13-08-41,4,single,descending,False,1,1.879,65,51.2,1s,True,distractor,4.938,57.2,2.803
ABH2003W,2024-07-08-13-08-41,4,single,descending,False,2,0.726,60,55.2,p2,True,distractor,4.938,62.2,2.069
ABH2003W,2024-07-08-13-08-41,4,single,descending,False,3,0.823,55,30.3,2s,True,distractor,4.938,59.3,2.886
ABH2003W,2024-07-08-13-08-41,4,single,descending,False,4,0.705,50,28.5,2p,False,distractor,4.938,49.5,2.419
