Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
ASH2003W,2024-06-24-13-00-08,1,single,color,True,1,1.75,-50,-62.2,p2,True,target,0.834,,
ASH2003W,2024-06-24-13-00-08,1,single,color,True,2,0.544,-35,-49.5,2p,False,distractor,0.651,,
ASH2003W,2024-06-24-13-00-08,1,single,color,True,3,0.61,-40,-54.3,s1,False,distractor,0.968,,
ASH2003W,2024-06-24-13-00-08,1,single,color,True,4,0.775,-60,-60.9,p1,True,target,0.701,,
ASH2003W,2024-06-24-13-00-08,1,single,color,True,5,0.982,-65,-33.7,1s,True,target,0.918,,
ASH2003W,2024-06-24-13-00-08,1,single,color,True,6,0.769,-45,-40.6,s2,False,distractor,0.534,,
ASH2003W,2024-06-24-13-00-08,1,single,color,True,7,0.558,-25,-30.4,1p,False,distractor,0.868,,
ASH2003W,2024-06-24-13-00-08,1,single,color,True,8,0.999,-55,-59.3,2s,True,target,0.934,,
ASH2003W,2024-06-24-13-00-08,1,single,color,True,9,0.877,-30,-26.3,p1,True,target,0.684,,
ASH2003W,2024-06-24-13-00-08,2,single,random,False,1,1.765,55,33.6,1p,False,target,0.684,41.6,9.392
ASH2003W,2024-06-24-13-00-08,2,single,random,False,2,0.59,45,63.5,2s,True,target,0.684,42.5,5.989
ASH2003W,2024-06-24-13-00-08,2,single,random,False,3,0.663,35,63.8,1s,True,target,0.684,26.8,5.405
ASH2003W,2024-06-24-13-00-08,2,single,random,False,4,0.885,25,50.2,p2,True,target,0.684,22.2,2.919
ASH2003W,2024-06-24-13-00-08,2,single,random,False,5,0.698,60,53.4,2p,False,target,0.684,49.4,2.469
ASH2003W,2024-06-24-13-00-08,2,single,random,False,6,0.927,50,34.6,s1,False,target,0.684,49.6,4.387
ASH2003W,2024-06-24-13-00-08,2,single,random,False,7,0.985,65,41.2,s2,False,target,0.684,63.2,5.855
ASH2003W,2024-06-24-13-00-08,2,single,random,False,8,0.818,40,53.8,2s,True,target,0.684,41.8,3.403
ASH2003W,2024-06-24-13-00-08,2,single,random,False,9,0.778,30,36.2,2p,False,target,0.684,27.2,2.619
ASH2003W,2024-06-24-13-00-08,3,single,random,True,1,1.62,-45,-38.5,1s,True,target,0.684,-32.5,13.411
ASH2003W,2024-06-24-13-00-08,3,single,random,True,2,0.692,-60,-25.8,p1,True,target,0.684,-46.8,3.253
ASH2003W,2024-06-24-13-00-08,3,single,random,True,3,0.928,-65,-36.4,s2,False,target,0.684,-51.4,3.336
ASH2003W,2024-06-24-13-00-08,3,single,random,True,4,0.856,-40,-45.7,1p,False,target,0.684,-30.7,3.637
ASH2003W,2024-06-24-13-00-08,3,single,random,True,5,0.757,-55,-53.8,s1,False,target,0.684,-59.8,2.219
ASH2003W,2024-06-24-13-00-08,3,single,random,True,6,0.706,-25,-40.6,p2,True,target,0.684,-16.6,4.087
ASH2003W,2024-06-24-13-00-08,3,single,random,True,7,0.517,-35,-41.5,s2,False,target,0.684,-30.5,3.32
ASH2003W,2024-06-24-13-00-08,3,single,random,True,8,0.965,-30,-55.0,p1,True,target,0.684,-24.0,3.486
