Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
DRH2004W,2024-06-24-16-00-15,1,single,color,True,1,1.853,-45,-41.6,1p,False,distractor,5.371,,
DRH2004W,2024-06-24-16-00-15,1,single,color,True,2,0.881,-60,-54.0,p1,True,distractor,4.904,,
DRH2004W,2024-06-24-16-00-15,1,single,color,True,3,0.601,-35,-48.9,s2,False,target,1.668,,
DRH2004W,2024-06-24-16-00-15,1,single,color,True,4,0.832,-40,-32.6,2s,True,target,1.668,,
DRH2004W,2024-06-24-16-00-15,1,single,color,True,5,0.796,-30,-56.3,p2,True,distractor,0.801,,
DRH2004W,2024-06-24-16-00-15,1,single,color,True,6,0.683,-55,-40.1,s1,False,distractor,0.651,,
DRH2004W,2024-06-24-16-00-15,1,single,color,True,7,0.768,-65,-64.5,2p,False,distractor,0.951,,
DRH2004W,2024-06-24-16-00-15,1,single,color,True,8,0.962,-25,-40.2,1s,True,distractor,1.518,,
DRH2004W,2024-06-24-16-00-15,1,single,color,True,9,0.777,-50,-29.3,2p,False,target,1.001,,
DRH2004W,2024-06-24-16-00-15,2,single,random,False,1,1.797,25,61.7,1p,False,target,1.001,61.7,6.889
DRH2004W,2024-06-24-16-00-15,2,single,random,False,2,0.801,30,38.5,p2,True,target,1.001,38.5,3.336
DRH2004W,2024-06-24-16-00-15,2,single,random,False,3,0.833,60,36.6,s2,False,target,1.001,62.6,5.205
DRH2004W,2024-06-24-16-00-15,2,single,random,False,4,0.68,45,63.7,1s,True,target,1.001,42.7,3.203
DRH2004W,2024-06-24-16-00-15,2,single,random,False,5,0.519,35,27.4,2s,True,target,1.001,35.4,3.553
DRH2004W,2024-06-24-16-00-15,2,single,random,False,6,0.678,50,41.6,p1,True,target,1.001,55.6,2.769
DRH2004W,2024-06-24-16-00-15,2,single,random,False,7,0.73,65,30.4,s1,False,target,1.001,68.4,4.537
DRH2004W,2024-06-24-16-00-15,2,single,random,False,8,0.718,40,50.1,s2,False,target,1.001,37.1,2.519
DRH2004W,2024-06-24-16-00-15,2,single,random,False,9,0.77,55,40.3,1p,False,target,1.001,31.3,2.602
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,1,1.556,-45,-40.2,2s,True,target,3.87,-52.2,4.053
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,2,0.721,-30,-50.3,1s,True,distractor,2.269,53.7,15.23
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,3,0.789,-65,-33.3,s1,False,target,3.737,-50.3,2.752
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,4,0.989,-50,-32.4,p1,True,distractor,2.652,-21.4,5.088
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,5,0.565,-60,-36.3,p2,True,distractor,3.019,-52.3,2.269
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,6,0.974,-35,-28.1,2p,False,target,2.369,-54.1,3.67
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,7,0.859,-25,-56.6,p2,True,distractor,3.52,-44.6,4.27
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,8,0.658,-40,-63.0,s2,False,distractor,2.119,-76.0,2.252
DRH2004W,2024-06-24-16-00-15,3,dual,random,True,9,0.727,-55,-50.1,s1,False,distractor,2.602,-55.1,2.786
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,1,1.969,65,64.8,p1,True,target,3.77,73.8,10.409
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,2,0.693,60,62.6,2s,True,distractor,2.069,50.6,2.769
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,3,0.748,55,25.3,1s,True,distractor,3.169,-58.7,6.956
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,4,0.929,50,40.2,1p,False,target,2.302,56.2,3.103
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,5,0.653,45,34.9,2p,False,distractor,1.985,62.9,3.787
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,6,0.646,40,34.3,2s,True,distractor,2.536,-62.7,9.141
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,7,0.695,35,61.1,p1,True,target,1.451,52.1,2.052
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,8,0.947,30,48.6,1p,False,target,1.535,57.6,4.437
DRH2004W,2024-06-24-16-00-15,4,dual,descending,False,9,0.959,25,38.8,p2,True,target,1.001,59.8,4.437
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,1,1.641,-25,-34.9,1s,True,target,1.001,-128.9,9.675
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,2,0.667,-30,-41.3,s1,False,target,1.001,-60.3,3.52
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,3,0.995,-35,-44.6,s2,False,target,1.001,-22.6,3.203
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,4,0.665,-40,-29.2,2p,False,target,1.001,-46.2,1.902
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,5,0.916,-45,-55.3,2s,True,target,1.001,-61.3,1.085
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,6,0.917,-50,-35.5,p1,True,target,1.001,-28.5,1.168
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,7,0.635,-55,-59.2,1s,True,target,1.001,-70.2,1.201
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,8,0.681,-60,-33.3,2p,False,target,1.001,-62.3,2.953
DRH2004W,2024-06-24-16-00-15,5,single,descending,True,9,0.675,-65,-53.4,s1,False,target,1.001,-66.4,1.468
DRH2004W,2024-06-24-16-00-15,6,single,random,False,1,1.827,35,61.0,p2,True,target,1.001,36.0,4.004
DRH2004W,2024-06-24-16-00-15,6,single,random,False,2,0.648,40,25.8,1p,False,target,1.001,37.8,2.319
DRH2004W,2024-06-24-16-00-15,6,single,random,False,3,0.604,45,40.1,s2,False,target,1.001,50.1,1.318
DRH2004W,2024-06-24-16-00-15,6,single,random,False,4,0.739,60,42.8,1p,False,target,1.001,59.8,1.919
DRH2004W,2024-06-24-16-00-15,6,single,random,False,5,0.827,55,32.8,p1,True,target,1.001,64.8,3.153
DRH2004W,2024-06-24-16-00-15,6,single,random,False,6,0.516,65,52.1,1s,True,target,1.001,73.1,2.552
DRH2004W,2024-06-24-16-00-15,6,single,random,False,7,0.71,25,50.7,2s,True,target,1.001,25.7,2.519
DRH2004W,2024-06-24-16-00-15,6,single,random,False,8,0.563,50,52.7,2p,False,target,1.001,62.7,1.735
DRH2004W,2024-06-24-16-00-15,6,single,random,False,9,0.784,30,64.4,s2,False,target,1.001,27.4,3.403
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,1,1.741,-65,-44.2,p2,True,target,1.001,-75.2,2.536
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,2,0.834,-60,-28.0,s1,False,target,1.001,-68.0,4.087
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,3,0.953,-55,-44.2,p2,True,target,1.001,-72.2,2.652
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,4,0.759,-50,-43.5,2p,False,target,1.001,-59.5,1.852
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,5,0.566,-45,-31.9,2s,True,target,1.001,-67.9,2.969
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,6,0.599,-40,-40.9,1s,True,target,1.001,-45.9,1.101
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,7,0.994,-35,-25.7,s1,False,target,1.001,-64.7,3.753
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,8,0.646,-30,-50.9,1p,False,target,1.001,-23.9,2.302
DRH2004W,2024-06-24-16-00-15,7,single,ascending,True,9,0.581,-25,-39.3,s2,False,target,1.001,-25.3,2.569
DRH2004W,2024-06-24-16-00-15,8,dual,ascending,False,1,1.96,25,30.3,p1,True,target,2.085,-44.7,7.573
DRH2004W,2024-06-24-16-00-15,8,dual,ascending,False,2,1.0,30,32.0,s2,False,distractor,1.568,-47.0,6.355
DRH2004W,2024-06-24-16-00-15,8,dual,ascending,False,3,0.897,35,51.5,2s,True,distractor,3.486,43.5,2.235
DRH2004W,2024-06-24-16-00-15,8,dual,ascending,False,4,0.847,40,37.5,s1,False,distractor,2.953,131.5,8.841
DRH2004W,2024-06-24-16-00-15,8,dual,ascending,False,5,0.639,45,38.3,p2,True,distractor,2.769,55.3,2.519
DRH2004W,2024-06-24-16-00-15,8,dual,ascending,False,6,0.659,50,60.4,p1,True,target,1.768,125.4,9.141
