Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
ELL1972W,2024-06-24-11-58-58,1,single,color,True,1,1.738,-50,-45.5,2s,True,target,14.996,,
ELL1972W,2024-06-24-11-58-58,1,single,color,True,2,0.814,-35,-36.2,1p,False,target,4.821,,
ELL1972W,2024-06-24-11-58-58,1,single,color,True,3,0.683,-25,-39.1,p2,True,target,1.785,,
ELL1972W,2024-06-24-11-58-58,1,single,color,True,4,0.986,-30,-51.2,2p,False,distractor,4.27,,
ELL1972W,2024-06-24-11-58-58,1,single,color,True,5,0.804,-60,-40.3,s1,False,distractor,2.235,,
ELL1972W,2024-06-24-11-58-58,1,single,color,True,6,0.56,-55,-47.6,1s,True,target,1.168,,
ELL1972W,2024-06-24-11-58-58,1,single,color,True,7,0.54,-45,-44.3,p1,True,target,2.185,,
ELL1972W,2024-06-24-11-58-58,1,single,color,True,8,0.643,-40,-46.1,s2,False,target,1.084,,
ELL1972W,2024-06-24-11-58-58,1,single,color,True,9,0.941,-65,-49.1,p2,True,distractor,1.168,,
ELL1972W,2024-06-24-11-58-58,2,single,random,False,1,1.723,50,28.4,2s,True,distractor,1.168,37.4,7.907
ELL1972W,2024-06-24-11-58-58,2,single,random,False,2,0.826,65,29.6,s1,False,distractor,1.168,58.6,4.704
ELL1972W,2024-06-24-11-58-58,2,single,random,False,3,0.666,35,55.0,1s,True,distractor,1.168,42.0,2.969
ELL1972W,2024-06-24-11-58-58,2,single,random,False,4,0.684,45,60.6,2p,False,distractor,1.168,44.6,3.687
ELL1972W,2024-06-24-11-58-58,2,single,random,False,5,0.655,25,43.1,p1,True,distractor,1.168,43.1,2.202
ELL1972W,2024-06-24-11-58-58,2,single,random,False,6,0.912,60,63.4,1p,False,distractor,1.168,50.4,2.652
ELL1972W,2024-06-24-11-58-58,2,single,random,False,7,0.522,30,64.1,s2,False,distractor,1.168,41.1,3.587
ELL1972W,2024-06-24-11-58-58,2,single,random,False,8,0.762,55,46.8,2s,True,distractor,1.168,47.8,1.952
ELL1972W,2024-06-24-11-58-58,2,single,random,False,9,0.774,40,44.8,1s,True,distractor,1.168,36.8,1.385
ELL1972W,2024-06-24-11-58-58,3,dual,descending,True,1,1.547,-25,-48.8,s1,False,distractor,4.954,-129.8,5.972
ELL1972W,2024-06-24-11-58-58,3,dual,descending,True,2,0.91,-30,-52.6,1p,False,distractor,5.288,-124.6,5.421
ELL1972W,2024-06-24-11-58-58,3,dual,descending,True,3,0.856,-35,-57.7,p1,True,target,6.039,-119.7,7.523
ELL1972W,2024-06-24-11-58-58,3,dual,descending,True,4,0.671,-40,-56.3,s2,False,distractor,7.29,-131.3,5.154
ELL1972W,2024-06-24-11-58-58,3,dual,descending,True,5,0.747,-45,-35.5,2p,False,target,4.521,-54.5,3.77
ELL1972W,2024-06-24-11-58-58,3,dual,descending,True,6,0.645,-50,-29.6,p2,True,distractor,2.936,-55.6,4.053
ELL1972W,2024-06-24-11-58-58,3,dual,descending,True,7,0.906,-55,-41.9,1p,False,distractor,3.72,-42.9,5.405
