Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
JDH2003W,2024-06-24-13-00-08,1,single,color,True,1,1.736,-45,-63.5,s2,False,target,2.552,,
JDH2003W,2024-06-24-13-00-08,1,single,color,True,2,0.534,-30,-49.0,1s,True,target,1.001,,
JDH2003W,2024-06-24-13-00-08,1,single,color,True,3,0.67,-65,-56.0,p2,True,target,0.834,,
JDH2003W,2024-06-24-13-00-08,1,single,color,True,4,0.518,-35,-35.7,p1,True,target,0.567,,
JDH2003W,2024-06-24-13-00-08,1,single,color,True,5,0.851,-40,-46.1,s1,False,distractor,0.551,,
JDH2003W,2024-06-24-13-00-08,1,single,color,True,6,0.579,-50,-47.8,2p,False,distractor,0.734,,
JDH2003W,2024-06-24-13-00-08,1,single,color,True,7,0.537,-55,-61.3,2s,True,target,0.484,,
JDH2003W,2024-06-24-13-00-08,1,single,color,True,8,0.912,-25,-27.1,1p,False,distractor,0.467,,
JDH2003W,2024-06-24-13-00-08,1,single,color,True,9,0.869,-60,-59.1,2s,True,target,0.434,,
JDH2003W,2024-06-24-13-00-08,2,single,random,False,1,1.833,55,35.3,1p,False,target,0.434,37.3,2.319
JDH2003W,2024-06-24-13-00-08,2,single,random,False,2,0.999,65,33.9,s1,False,target,0.434,68.9,1.785
JDH2003W,2024-06-24-13-00-08,2,single,random,False,3,0.652,30,61.7,p2,True,target,0.434,30.7,2.035
JDH2003W,2024-06-24-13-00-08,2,single,random,False,4,0.865,40,25.4,1s,True,target,0.434,41.4,1.818
JDH2003W,2024-06-24-13-00-08,2,single,random,False,5,0.874,25,40.2,p1,True,target,0.434,21.2,1.852
JDH2003W,2024-06-24-13-00-08,2,single,random,False,6,0.71,35,37.4,s2,False,target,0.434,37.4,0.767
JDH2003W,2024-06-24-13-00-08,2,single,random,False,7,0.909,45,28.0,2p,False,target,0.434,43.0,2.235
JDH2003W,2024-06-24-13-00-08,2,single,random,False,8,0.72,60,38.7,1s,True,target,0.434,68.7,2.285
JDH2003W,2024-06-24-13-00-08,2,single,random,False,9,0.598,50,62.2,s2,False,target,0.434,55.2,1.468
JDH2003W,2024-06-24-13-00-08,3,dual,random,True,1,1.933,-45,-63.2,s1,False,distractor,0.817,-161.2,7.189
JDH2003W,2024-06-24-13-00-08,3,dual,random,True,2,0.812,-65,-38.8,2p,False,distractor,1.468,-54.8,2.068
JDH2003W,2024-06-24-13-00-08,3,dual,random,True,3,0.571,-30,-53.7,2s,True,target,1.034,42.3,6.906
JDH2003W,2024-06-24-13-00-08,3,dual,random,True,4,0.803,-55,-26.4,p2,True,target,1.101,-45.4,2.085
JDH2003W,2024-06-24-13-00-08,3,dual,random,True,5,0.956,-60,-49.5,1p,False,distractor,0.817,-65.5,4.32
JDH2003W,2024-06-24-13-00-08,3,dual,random,True,6,0.526,-25,-64.9,p1,True,target,0.951,-41.9,1.918
