Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
MGM1999W,2024-06-24-14-01-16,1,single,color,True,1,1.792,-35,-54.6,s1,False,target,2.652,,
MGM1999W,2024-06-24-14-01-16,1,single,color,True,2,0.805,-60,-53.3,1s,True,target,0.684,,
MGM1999W,2024-06-24-14-01-16,1,single,color,True,3,0.929,-40,-26.7,s2,False,distractor,0.5,,
MGM1999W,2024-06-24-14-01-16,1,single,color,True,4,0.799,-65,-54.8,p1,True,target,0.751,,
MGM1999W,2024-06-24-14-01-16,1,single,color,True,5,0.506,-30,-33.9,p2,True,target,0.817,,
MGM1999W,2024-06-24-14-01-16,1,single,color,True,6,0.527,-50,-61.6,2p,False,distractor,0.501,,
MGM1999W,2024-06-24-14-01-16,1,single,color,True,7,0.781,-55,-31.8,2s,True,target,0.584,,
MGM1999W,2024-06-24-14-01-16,1,single,color,True,8,0.898,-25,-36.5,1p,False,distractor,0.767,,
MGM1999W,2024-06-24-14-01-16,1,single,color,True,9,0.874,-45,-38.7,s1,False,distractor,1.668,,
MGM1999W,2024-06-24-14-01-16,2,single,random,False,1,1.946,30,51.2,s2,False,distractor,1.668,51.2,9.842
MGM1999W,2024-06-24-14-01-16,2,single,random,False,2,0.775,40,45.7,2s,True,distractor,1.668,45.7,1.268
MGM1999W,2024-06-24-14-01-16,2,single,random,False,3,0.591,25,30.0,p2,True,distractor,1.668,30.0,6.906
MGM1999W,2024-06-24-14-01-16,2,single,random,False,4,0.82,60,35.4,p1,True,distractor,1.668,31.4,8.09
MGM1999W,2024-06-24-14-01-16,2,single,random,False,5,0.669,55,51.6,2p,False,distractor,1.668,34.6,2.936
MGM1999W,2024-06-24-14-01-16,2,single,random,False,6,0.964,45,29.7,1s,True,distractor,1.668,45.7,2.803
MGM1999W,2024-06-24-14-01-16,2,single,random,False,7,0.826,50,31.1,1p,False,distractor,1.668,54.1,2.786
MGM1999W,2024-06-24-14-01-16,2,single,random,False,8,0.802,65,57.0,1p,False,distractor,1.668,64.0,2.052
MGM1999W,2024-06-24-14-01-16,2,single,random,False,9,0.561,35,37.3,1s,True,distractor,1.668,28.3,2.185
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,1,1.613,-65,-53.0,p2,True,distractor,1.668,-67.0,2.619
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,2,0.59,-60,-40.9,2p,False,distractor,1.668,-70.9,2.336
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,3,0.616,-55,-60.5,p1,True,distractor,1.668,-56.5,2.569
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,4,0.722,-50,-35.7,s1,False,distractor,1.668,-52.7,2.569
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,5,0.856,-45,-56.0,2s,True,distractor,1.668,-50.0,1.785
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,6,0.593,-40,-28.8,s2,False,distractor,1.668,-48.8,4.137
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,7,0.883,-35,-62.6,s1,False,distractor,1.668,-33.6,2.402
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,8,0.92,-30,-31.4,s2,False,distractor,1.668,-31.4,0.751
MGM1999W,2024-06-24-14-01-16,3,single,ascending,True,9,0.744,-25,-64.6,2s,True,distractor,1.668,-22.6,3.486
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,1,1.768,25,45.6,1s,True,distractor,0.934,45.6,3.436
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,2,0.638,30,38.3,1p,False,distractor,3.253,54.3,2.552
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,3,0.975,35,28.8,p2,True,target,4.854,120.8,5.421
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,4,0.718,40,56.9,p1,True,target,2.869,31.9,2.719
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,5,0.821,45,50.4,2p,False,target,2.419,42.4,2.252
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,6,0.555,50,32.6,p1,True,target,2.018,47.6,2.352
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,7,0.579,55,57.4,2p,False,distractor,5.455,56.4,3.219
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,8,0.965,60,35.9,2s,True,target,2.736,53.9,2.669
MGM1999W,2024-06-24-14-01-16,4,dual,ascending,False,9,0.612,65,57.0,1s,True,target,1.168,63.0,1.551
MGM1999W,2024-06-24-14-01-16,5,single,descending,True,1,1.856,-25,-58.9,s1,False,target,1.168,-21.9,2.619
MGM1999W,2024-06-24-14-01-16,5,single,descending,True,2,0.682,-30,-25.7,s2,False,target,1.168,-32.7,1.768
MGM1999W,2024-06-24-14-01-16,5,single,descending,True,3,0.885,-35,-47.3,p2,True,target,1.168,-35.3,2.719
MGM1999W,2024-06-24-14-01-16,5,single,descending,True,4,0.991,-40,-44.0,1p,False,target,1.168,-43.0,1.385
MGM1999W,2024-06-24-14-01-16,5,single,descending,True,5,0.878,-45,-37.5,1s,True,target,1.168,-43.5,1.718
MGM1999W,2024-06-24-14-01-16,5,single,descending,True,6,0.793,-50,-54.0,s2,False,target,1.168,-54.0,1.068
MGM1999W,2024-06-24-14-01-16,5,single,descending,True,7,0.666,-55,-47.0,2p,False,target,1.168,-60.0,2.686
MGM1999W,2024-06-24-14-01-16,5,single,descending,True,8,0.692,-60,-37.2,1p,False,target,1.168,-65.2,3.603
