Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
PBF2003W,2024-06-24-16-00-13,1,single,color,True,1,1.85,-35,-57.7,1p,False,distractor,5.288,,
PBF2003W,2024-06-24-16-00-13,1,single,color,True,2,0.708,-65,-59.1,s1,False,target,4.087,,
PBF2003W,2024-06-24-16-00-13,1,single,color,True,3,0.84,-45,-29.7,p2,True,target,0.651,,
PBF2003W,2024-06-24-16-00-13,1,single,color,True,4,0.998,-50,-54.3,1s,True,target,0.534,,
PBF2003W,2024-06-24-16-00-13,1,single,color,True,5,0.995,-55,-47.4,p1,True,target,0.201,,
PBF2003W,2024-06-24-16-00-13,1,single,color,True,6,0.712,-30,-60.8,s2,False,target,0.484,,
PBF2003W,2024-06-24-16-00-13,1,single,color,True,7,0.88,-60,-30.5,2s,True,target,0.601,,
PBF2003W,2024-06-24-16-00-13,1,single,color,True,8,0.795,-40,-46.5,2p,False,target,0.435,,
PBF2003W,2024-06-24-16-00-13,1,single,color,True,9,0.817,-25,-33.5,s1,False,target,0.384,,
PBF2003W,2024-06-24-16-00-13,2,single,random,False,1,1.535,50,32.0,p2,True,target,0.384,39.0,4.287
PBF2003W,2024-06-24-16-00-13,2,single,random,False,2,0.775,55,48.0,1s,True,target,0.384,46.0,2.169
PBF2003W,2024-06-24-16-00-13,2,single,random,False,3,0.745,45,38.8,p1,True,target,0.384,40.8,2.552
PBF2003W,2024-06-24-16-00-13,2,single,random,False,4,0.55,60,34.0,2s,True,target,0.384,52.0,4.103
PBF2003W,2024-06-24-16-00-13,2,single,random,False,5,0.946,40,51.3,s2,False,target,0.384,44.3,3.069
PBF2003W,2024-06-24-16-00-13,2,single,random,False,6,0.539,65,54.2,2p,False,target,0.384,61.2,2.552
PBF2003W,2024-06-24-16-00-13,2,single,random,False,7,0.783,35,48.6,1p,False,target,0.384,40.6,2.002
PBF2003W,2024-06-24-16-00-13,2,single,random,False,8,0.596,25,48.9,2p,False,target,0.384,37.9,2.069
PBF2003W,2024-06-24-16-00-13,2,single,random,False,9,0.751,30,46.1,s1,False,target,0.384,36.1,1.735
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,1,1.646,-25,-64.2,1p,False,distractor,3.687,-122.2,6.138
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,2,0.956,-30,-60.1,p2,True,target,2.169,-57.1,2.419
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,3,0.886,-35,-32.6,s2,False,distractor,4.904,-54.6,3.186
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,4,0.582,-40,-30.6,2s,True,target,4.737,-44.6,4.187
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,5,0.541,-45,-32.9,p1,True,target,2.135,-42.9,2.669
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,6,0.509,-50,-46.7,1s,True,distractor,1.785,-42.7,2.252
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,7,0.662,-55,-48.5,p2,True,target,1.768,-48.5,1.634
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,8,0.774,-60,-26.7,1p,False,distractor,2.502,-40.7,2.786
PBF2003W,2024-06-24-16-00-13,3,dual,descending,True,9,0.629,-65,-27.0,2s,True,distractor,1.535,-44.0,3.286
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,1,1.687,25,46.4,s1,False,distractor,1.535,26.4,2.936
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,2,0.557,30,42.7,1s,True,distractor,1.535,31.7,1.435
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,3,0.636,35,64.3,2p,False,distractor,1.535,35.3,2.369
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,4,0.681,40,45.8,s2,False,distractor,1.535,38.8,1.301
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,5,0.865,45,33.1,p1,True,distractor,1.535,34.1,1.585
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,6,0.651,50,61.4,s1,False,distractor,1.535,50.4,2.102
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,7,0.602,55,35.6,2p,False,distractor,1.535,53.6,3.22
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,8,0.592,60,56.9,p1,True,distractor,1.535,67.9,3.036
PBF2003W,2024-06-24-16-00-13,4,single,ascending,False,9,0.616,65,41.4,1s,True,distractor,1.535,65.4,3.403
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,1,1.654,-25,-62.2,p2,True,distractor,1.535,-32.2,4.02
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,2,0.846,-30,-26.8,1p,False,distractor,1.535,-36.8,3.32
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,3,0.673,-35,-61.0,2s,True,distractor,1.535,-39.0,3.403
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,4,0.626,-40,-27.2,s2,False,distractor,1.535,-44.2,2.786
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,5,0.543,-45,-39.1,p2,True,distractor,1.535,-51.1,2.219
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,6,0.505,-50,-51.3,2s,True,distractor,1.535,-51.3,0.801
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,7,0.736,-55,-39.3,s1,False,distractor,1.535,-54.3,2.636
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,8,0.796,-60,-57.6,s2,False,distractor,1.535,-57.6,1.818
PBF2003W,2024-06-24-16-00-13,5,single,descending,True,9,0.512,-65,-38.5,1s,True,distractor,1.535,-59.5,3.386
PBF2003W,2024-06-24-16-00-13,6,single,random,False,1,1.594,60,41.5,1p,False,distractor,1.535,54.5,2.369
PBF2003W,2024-06-24-16-00-13,6,single,random,False,2,0.805,65,32.4,p1,True,distractor,1.535,61.4,3.286
PBF2003W,2024-06-24-16-00-13,6,single,random,False,3,0.988,45,42.8,2p,False,distractor,1.535,49.8,2.869
PBF2003W,2024-06-24-16-00-13,6,single,random,False,4,0.631,40,32.0,2p,False,distractor,1.535,35.0,1.918
PBF2003W,2024-06-24-16-00-13,6,single,random,False,5,0.745,55,58.9,2s,True,distractor,1.535,54.9,1.568
PBF2003W,2024-06-24-16-00-13,6,single,random,False,6,0.98,25,40.3,1p,False,distractor,1.535,25.3,2.202
PBF2003W,2024-06-24-16-00-13,6,single,random,False,7,0.987,35,48.8,1s,True,distractor,1.535,25.8,3.453
PBF2003W,2024-06-24-16-00-13,6,single,random,False,8,0.57,50,42.9,s2,False,distractor,1.535,51.9,1.935
PBF2003W,2024-06-24-16-00-13,6,single,random,False,9,0.893,30,55.0,p2,True,distractor,1.535,36.0,3.019
