Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
KGH1988W,2024-07-09-14-01-36,1,single,color,True,1,1.627,-40,-47.3,2s,True,distractor,2.619,,
KGH1988W,2024-07-09-14-01-36,1,single,color,True,2,0.919,-30,-58.6,p1,True,target,0.751,,
KGH1988W,2024-07-09-14-01-36,1,single,color,True,3,0.978,-65,-25.1,s1,False,distractor,1.452,,
KGH1988W,2024-07-09-14-01-36,1,single,color,True,4,0.935,-55,-58.5,1p,False,distractor,0.968,,
KGH1988W,2024-07-09-14-01-36,1,single,color,True,5,0.792,-35,-30.6,2p,False,distractor,0.667,,
KGH1988W,2024-07-09-14-01-36,1,single,color,True,6,0.605,-60,-30.0,s2,False,distractor,2.869,,
KGH1988W,2024-07-09-14-01-36,1,single,color,True,7,0.752,-45,-59.8,p2,True,target,0.551,,
KGH1988W,2024-07-09-14-01-36,1,single,color,True,8,0.549,-25,-58.6,1s,True,distractor,0.734,,
KGH1988W,2024-07-09-14-01-36,1,single,color,True,9,0.897,-50,-36.8,s2,False,distractor,1.585,,
KGH1988W,2024-07-09-14-01-36,2,single,random,False,1,1.517,30,51.9,s1,False,distractor,1.585,51.9,3.203
KGH1988W,2024-07-09-14-01-36,2,single,random,False,2,0.655,45,55.3,p2,True,distractor,1.585,48.3,10.092
KGH1988W,2024-07-09-14-01-36,2,single,random,False,3,0.85,60,47.5,2p,False,distractor,1.585,49.5,3.67
KGH1988W,2024-07-09-14-01-36,2,single,random,False,4,0.886,50,58.2,1p,False,distractor,1.585,51.2,3.17
KGH1988W,2024-07-09-14-01-36,2,single,random,False,5,0.68,35,43.6,p1,True,distractor,1.585,25.6,3.403
KGH1988W,2024-07-09-14-01-36,2,single,random,False,6,0.952,40,43.6,2s,True,distractor,1.585,46.6,1.902
KGH1988W,2024-07-09-14-01-36,2,single,random,False,7,0.866,25,53.8,1s,True,distractor,1.585,27.8,2.402
KGH1988W,2024-07-09-14-01-36,2,single,random,False,8,0.634,65,48.4,s1,False,distractor,1.585,72.4,5.922
KGH1988W,2024-07-09-14-01-36,2,single,random,False,9,0.825,55,43.2,1s,True,distractor,1.585,60.2,3.286
KGH1988W,2024-07-09-14-01-36,3,single,random,True,1,1.577,-60,-63.8,p1,True,distractor,1.585,-63.8,0.834
KGH1988W,2024-07-09-14-01-36,3,single,random,True,2,0.963,-50,-63.9,s2,False,distractor,1.585,-55.9,2.669
KGH1988W,2024-07-09-14-01-36,3,single,random,True,3,0.98,-55,-50.8,2s,True,distractor,1.585,-50.8,0.534
KGH1988W,2024-07-09-14-01-36,3,single,random,True,4,0.685,-40,-56.5,p2,True,distractor,1.585,-35.5,3.32
KGH1988W,2024-07-09-14-01-36,3,single,random,True,5,0.884,-35,-37.1,1p,False,distractor,1.585,-37.1,0.617
KGH1988W,2024-07-09-14-01-36,3,single,random,True,6,0.677,-25,-57.0,2p,False,distractor,1.585,-13.0,4.354
KGH1988W,2024-07-09-14-01-36,3,single,random,True,7,0.927,-30,-58.3,p1,True,distractor,1.585,-36.3,3.72
KGH1988W,2024-07-09-14-01-36,3,single,random,True,8,0.736,-65,-41.2,p2,True,distractor,1.585,-61.2,2.235
KGH1988W,2024-07-09-14-01-36,3,single,random,True,9,0.688,-45,-60.4,s2,False,distractor,1.585,-46.4,3.069
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,1,1.559,65,62.7,s1,False,distractor,1.585,71.7,3.053
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,2,0.981,60,34.4,1p,False,distractor,1.585,70.4,4.237
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,3,0.799,55,42.6,2s,True,distractor,1.585,58.6,2.452
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,4,0.745,50,51.4,1s,True,distractor,1.585,51.4,1.235
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,5,0.585,45,38.5,2p,False,distractor,1.585,47.5,3.47
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,6,0.694,40,57.6,p1,True,distractor,1.585,43.6,5.355
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,7,0.706,35,62.0,s1,False,distractor,1.585,41.0,3.403
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,8,0.587,30,44.6,2s,True,distractor,1.585,33.6,3.12
KGH1988W,2024-07-09-14-01-36,4,single,descending,False,9,0.659,25,57.9,1s,True,distractor,1.585,20.9,3.67
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,1,1.756,-65,-53.6,s2,False,distractor,3.186,-53.6,3.603
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,2,0.667,-60,-46.1,1p,False,distractor,1.251,-46.1,3.403
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,3,0.856,-55,-40.1,p2,True,target,2.435,-54.1,2.869
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,4,0.642,-50,-64.7,2p,False,distractor,0.851,49.3,8.19
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,5,0.524,-45,-32.0,2p,False,distractor,2.252,-50.0,2.202
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,6,0.821,-40,-40.2,p2,True,target,2.319,-44.2,1.284
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,7,0.531,-35,-55.8,2s,True,distractor,1.318,-34.8,2.068
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,8,0.777,-30,-60.4,s2,False,distractor,1.952,-28.4,3.486
KGH1988W,2024-07-09-14-01-36,5,dual,ascending,True,9,0.688,-25,-48.8,1s,True,target,2.736,-17.8,2.919
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,1,1.863,25,37.0,1p,False,target,2.736,37.0,3.77
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,2,0.926,30,51.1,s1,False,target,2.736,38.1,2.436
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,3,0.58,35,38.9,p1,True,target,2.736,38.9,0.901
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,4,0.833,40,46.7,1s,True,target,2.736,46.7,0.467
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,5,0.888,45,45.2,s1,False,target,2.736,45.2,0.868
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,6,0.895,50,53.5,p1,True,target,2.736,53.5,2.636
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,7,0.866,55,58.2,s2,False,target,2.736,58.2,0.834
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,8,0.763,60,32.2,2p,False,target,2.736,66.2,4.004
KGH1988W,2024-07-09-14-01-36,6,single,ascending,False,9,0.57,65,27.1,p2,True,target,2.736,62.1,3.353
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,1,1.998,-25,-63.2,1p,False,distractor,1.068,-26.2,3.803
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,2,0.542,-60,-59.1,2s,True,target,2.252,-56.1,1.835
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,3,0.523,-35,-48.6,p2,True,distractor,3.086,-21.6,2.452
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,4,0.885,-30,-32.7,2p,False,distractor,3.069,-32.7,0.584
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,5,0.677,-45,-45.9,s2,False,distractor,2.986,-32.9,2.202
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,6,0.697,-55,-38.5,s1,False,distractor,2.486,-38.5,0.7
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,7,0.852,-65,-48.7,2s,True,target,0.784,-59.7,4.487
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,8,0.963,-50,-54.8,p1,True,target,5.071,-54.8,1.218
KGH1988W,2024-07-09-14-01-36,7,dual,random,True,9,0.952,-40,-27.0,1s,True,distractor,2.119,-55.0,3.319
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,1,1.783,65,33.5,1p,False,distractor,3.903,118.5,4.921
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,2,0.829,60,39.8,1s,True,target,1.985,46.8,1.701
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,3,0.564,55,30.7,p1,True,distractor,1.268,51.7,1.968
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,4,0.975,50,29.6,s1,False,distractor,2.035,57.6,3.186
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,5,0.578,45,34.2,1p,False,distractor,3.103,38.2,1.485
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,6,0.927,40,53.1,2p,False,distractor,1.869,53.1,0.951
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,7,0.816,35,34.9,2s,True,target,1.768,36.9,1.501
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,8,0.848,30,64.8,p2,True,target,0.767,34.8,2.802
KGH1988W,2024-07-09-14-01-36,8,dual,descending,False,9,0.951,25,32.3,s2,False,target,3.653,41.3,1.468
KGH1988W,2024-07-09-14-01-36,9,dual,random,True,1,1.772,-25,-42.9,p1,True,target,1.685,-42.9,0.651
KGH1988W,2024-07-09-14-01-36,9,dual,random,True,2,0.922,-35,-63.1,1p,False,distractor,0.651,-26.1,3.17
KGH1988W,2024-07-09-14-01-36,9,dual,random,True,3,0.573,-30,-26.7,1s,True,target,5.371,-31.7,2.252
