Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
RBN2003W,2024-07-19-09-35-28,1,single,color,True,1,1.531,-65,-47.1,p1,True,target,3.987,,
RBN2003W,2024-07-19-09-35-28,1,single,color,True,2,0.851,-40,-39.6,s2,False,distractor,1.935,,
RBN2003W,2024-07-19-09-35-28,1,single,color,True,3,0.88,-45,-27.4,s1,False,distractor,2.386,,
RBN2003W,2024-07-19-09-35-28,1,single,color,True,4,0.527,-50,-43.8,1p,False,distractor,1.768,,
RBN2003W,2024-07-19-09-35-28,1,single,color,True,5,0.928,-35,-31.0,1s,True,target,1.985,,
RBN2003W,2024-07-19-09-35-28,1,single,color,True,6,0.794,-55,-64.2,2s,True,target,1.268,,
RBN2003W,2024-07-19-09-35-28,1,single,color,True,7,0.739,-60,-29.3,p2,True,target,1.068,,
RBN2003W,2024-07-19-09-35-28,1,single,color,True,8,0.631,-25,-59.4,2p,False,distractor,1.818,,
RBN2003W,2024-07-19-09-35-28,1,single,color,True,9,0.701,-30,-32.7,1s,True,target,1.818,,
RBN2003W,2024-07-19-09-35-28,2,single,random,False,1,1.539,65,38.4,s1,False,target,1.818,51.4,4.037
RBN2003W,2024-07-19-09-35-28,2,single,random,False,2,0.663,30,44.5,2s,True,target,1.818,24.5,3.303
RBN2003W,2024-07-19-09-35-28,2,single,random,False,3,0.548,50,30.0,2p,False,target,1.818,51.0,3.12
RBN2003W,2024-07-19-09-35-28,2,single,random,False,4,0.987,45,63.2,1p,False,target,1.818,51.2,2.953
RBN2003W,2024-07-19-09-35-28,2,single,random,False,5,0.912,35,40.9,p1,True,target,1.818,32.9,2.686
RBN2003W,2024-07-19-09-35-28,2,single,random,False,6,0.549,55,49.9,s2,False,target,1.818,55.9,2.052
RBN2003W,2024-07-19-09-35-28,2,single,random,False,7,0.736,40,47.7,p2,True,target,1.818,44.7,2.119
RBN2003W,2024-07-19-09-35-28,2,single,random,False,8,0.681,60,39.5,s2,False,target,1.818,58.5,3.02
RBN2003W,2024-07-19-09-35-28,2,single,random,False,9,0.931,25,26.1,s1,False,target,1.818,29.1,2.419
