Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
AMH2001W,2024-12-16-14-23-33,1,single,color,True,1,1.597,-30,-42.4,1p,False,target,0.918,,
AMH2001W,2024-12-16-14-23-33,1,single,color,True,2,0.874,-40,-56.8,2s,True,distractor,0.818,,
AMH2001W,2024-12-16-14-23-33,1,single,color,True,3,0.821,-50,-55.9,1s,True,distractor,1.651,,
AMH2001W,2024-12-16-14-23-33,1,single,color,True,4,0.733,-25,-29.1,2p,False,target,1.685,,
AMH2001W,2024-12-16-14-23-33,1,single,color,True,5,0.978,-45,-63.1,s2,False,distractor,0.818,,
AMH2001W,2024-12-16-14-23-33,1,single,color,True,6,0.87,-55,-47.7,s1,False,target,1.501,,
AMH2001W,2024-12-16-14-23-33,1,single,color,True,7,0.806,-60,-63.2,p2,True,target,0.851,,
AMH2001W,2024-12-16-14-23-33,1,single,color,True,8,0.58,-65,-34.9,p1,True,target,0.667,,
AMH2001W,2024-12-16-14-23-33,1,single,color,True,9,0.839,-35,-35.0,2p,False,distractor,1.518,,
AMH2001W,2024-12-16-14-23-33,2,single,random,False,1,1.779,55,35.2,p2,True,distractor,1.518,35.2,3.42
AMH2001W,2024-12-16-14-23-33,2,single,random,False,2,0.686,30,29.5,1s,True,distractor,1.518,29.5,0.017
AMH2001W,2024-12-16-14-23-33,2,single,random,False,3,0.557,25,57.0,1p,False,distractor,1.518,57.0,0.017
AMH2001W,2024-12-16-14-23-33,2,single,random,False,4,0.959,35,27.5,p1,True,distractor,1.518,27.5,0.634
AMH2001W,2024-12-16-14-23-33,2,single,random,False,5,0.61,65,46.1,s2,False,distractor,1.518,46.1,0.017
AMH2001W,2024-12-16-14-23-33,2,single,random,False,6,0.849,40,25.7,s1,False,distractor,1.518,25.7,3.186
AMH2001W,2024-12-16-14-23-33,2,single,random,False,7,0.636,60,25.5,2s,True,distractor,1.518,25.5,0.784
AMH2001W,2024-12-16-14-23-33,2,single,random,False,8,0.851,45,60.9,s2,False,distractor,1.518,60.9,8.341
AMH2001W,2024-12-16-14-23-33,2,single,random,False,9,0.879,50,63.5,p1,True,distractor,1.518,63.5,0.534
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,1,1.731,-25,-50.7,2p,False,distractor,1.518,1.3,7.406
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,2,0.986,-30,-55.0,p2,True,distractor,1.518,-0.0,4.654
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,3,0.974,-35,-29.2,2s,True,distractor,1.518,0.8,2.502
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,4,0.778,-40,-60.6,1p,False,distractor,1.518,-1.6,4.187
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,5,0.616,-45,-64.3,1s,True,distractor,1.518,-0.3,5.922
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,6,0.959,-50,-36.7,s1,False,distractor,1.518,1.3,3.353
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,7,0.564,-55,-34.6,2p,False,distractor,1.518,0.4,2.619
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,8,0.694,-60,-54.9,p2,True,distractor,1.518,3.1,4.154
AMH2001W,2024-12-16-14-23-33,3,single,descending,True,9,0.779,-65,-44.5,s1,False,distractor,1.518,0.5,4.821
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,1,1.536,65,59.4,1p,False,target,2.869,59.4,3.736
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,2,0.693,60,31.4,p1,True,target,1.618,31.4,1.885
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,3,0.929,55,32.5,2s,True,distractor,2.67,32.5,1.785
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,4,0.824,50,60.5,1s,True,distractor,3.67,36.5,6.105
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,5,0.833,45,31.0,s2,False,target,4.304,31.0,1.485
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,6,0.522,40,46.2,p1,True,target,3.536,46.2,1.568
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,7,0.701,35,29.4,1s,True,distractor,3.036,29.4,0.951
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,8,0.838,30,36.0,1p,False,target,2.586,19.0,2.686
AMH2001W,2024-12-16-14-23-33,4,dual,descending,False,9,0.625,25,30.1,2s,True,target,3.203,30.1,0.834
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,1,1.637,-65,-54.7,p2,True,target,3.203,-54.7,1.518
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,2,0.834,-60,-30.9,s2,False,target,3.203,43.1,6.973
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,3,0.836,-55,-55.3,2p,False,target,3.203,-55.3,1.101
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,4,0.604,-50,-28.2,s1,False,target,3.203,39.8,6.289
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,5,0.902,-45,-33.3,2p,False,target,3.203,-33.3,0.868
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,6,0.916,-40,-63.0,s2,False,target,3.203,-26.0,4.454
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,7,0.9,-35,-43.6,p2,True,target,3.203,-25.6,2.819
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,8,0.681,-30,-50.1,1s,True,target,3.203,-31.1,1.952
AMH2001W,2024-12-16-14-23-33,5,single,ascending,True,9,0.996,-25,-26.7,p1,True,target,3.203,-26.7,0.984
AMH2001W,2024-12-16-14-23-33,6,dual,random,False,1,1.896,30,40.2,s1,False,distractor,5.321,-35.8,5.087
AMH2001W,2024-12-16-14-23-33,6,dual,random,False,2,0.729,55,61.7,1p,False,target,4.087,28.7,3.637
AMH2001W,2024-12-16-14-23-33,6,dual,random,False,3,0.516,65,55.6,2s,True,target,3.169,29.6,2.652
AMH2001W,2024-12-16-14-23-33,6,dual,random,False,4,0.715,60,61.7,s2,False,target,3.503,36.7,2.118
AMH2001W,2024-12-16-14-23-33,6,dual,random,False,5,0.724,25,60.7,2p,False,target,3.236,32.7,1.918
AMH2001W,2024-12-16-14-23-33,6,dual,random,False,6,0.985,35,43.0,p2,True,target,1.568,37.0,0.884
AMH2001W,2024-12-16-14-23-33,6,dual,random,False,7,0.615,40,54.9,s1,False,distractor,1.718,32.9,1.785
