Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
DHD2000W,2024-12-17-10-24-50,1,single,color,True,1,1.846,-40,-56.4,s2,False,target,11.126,,
DHD2000W,2024-12-17-10-24-50,1,single,color,True,2,0.754,-60,-46.7,p2,True,target,3.72,,
DHD2000W,2024-12-17-10-24-50,1,single,color,True,3,0.883,-50,-50.0,p1,True,target,1.251,,
DHD2000W,2024-12-17-10-24-50,1,single,color,True,4,0.666,-25,-57.9,1p,False,distractor,1.068,,
DHD2000W,2024-12-17-10-24-50,1,single,color,True,5,0.944,-35,-31.4,2s,True,target,3.653,,
DHD2000W,2024-12-17-10-24-50,1,single,color,True,6,0.797,-55,-42.4,s1,False,distractor,1.201,,
DHD2000W,2024-12-17-10-24-50,1,single,color,True,7,0.749,-30,-50.6,2p,False,distractor,4.671,,
DHD2000W,2024-12-17-10-24-50,1,single,color,True,8,0.829,-65,-26.4,1s,True,distractor,2.419,,
DHD2000W,2024-12-17-10-24-50,1,single,color,True,9,0.899,-45,-60.3,s2,False,distractor,2.636,,
DHD2000W,2024-12-17-10-24-50,2,single,random,False,1,1.68,60,49.3,s1,False,distractor,2.636,49.3,9.425
DHD2000W,2024-12-17-10-24-50,2,single,random,False,2,0.953,55,50.1,p1,True,distractor,2.636,50.1,7.44
DHD2000W,2024-12-17-10-24-50,2,single,random,False,3,0.849,65,30.1,2p,False,distractor,2.636,61.1,34.396
DHD2000W,2024-12-17-10-24-50,2,single,random,False,4,0.914,35,33.8,1s,True,distractor,2.636,50.8,8.591
DHD2000W,2024-12-17-10-24-50,2,single,random,False,5,0.699,30,60.0,1p,False,distractor,2.636,39.0,4.337
DHD2000W,2024-12-17-10-24-50,2,single,random,False,6,0.748,50,28.8,p2,True,distractor,2.636,48.8,4.888
DHD2000W,2024-12-17-10-24-50,2,single,random,False,7,0.791,25,42.1,2s,True,distractor,2.636,49.1,7.973
DHD2000W,2024-12-17-10-24-50,2,single,random,False,8,0.6,40,43.1,s2,False,distractor,2.636,40.1,1.752
DHD2000W,2024-12-17-10-24-50,2,single,random,False,9,0.604,45,28.1,2s,True,distractor,2.636,44.1,3.403
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,1,1.799,-25,-33.3,s1,False,distractor,2.636,-43.3,3.987
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,2,0.987,-30,-57.8,p2,True,distractor,2.636,-45.8,3.27
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,3,0.784,-35,-32.0,1p,False,distractor,2.636,-42.0,2.986
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,4,0.609,-40,-29.9,2p,False,distractor,2.636,-27.9,1.635
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,5,0.546,-45,-30.7,1s,True,distractor,2.636,-35.7,1.868
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,6,0.795,-50,-28.8,p1,True,distractor,2.636,-34.8,1.902
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,7,0.651,-55,-36.8,2s,True,distractor,2.636,-42.8,1.418
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,8,0.815,-60,-27.6,s1,False,distractor,2.636,-46.6,2.636
DHD2000W,2024-12-17-10-24-50,3,single,descending,True,9,0.944,-65,-57.1,p1,True,distractor,2.636,-57.1,1.718
DHD2000W,2024-12-17-10-24-50,4,single,random,False,1,1.732,25,51.4,1s,True,distractor,2.636,41.4,2.502
DHD2000W,2024-12-17-10-24-50,4,single,random,False,2,0.962,35,32.7,2p,False,distractor,2.636,32.7,1.018
DHD2000W,2024-12-17-10-24-50,4,single,random,False,3,0.952,65,57.7,1p,False,distractor,2.636,57.7,1.752
DHD2000W,2024-12-17-10-24-50,4,single,random,False,4,0.766,50,54.9,s2,False,distractor,2.636,51.9,2.753
DHD2000W,2024-12-17-10-24-50,4,single,random,False,5,0.537,30,25.1,p2,True,distractor,2.636,32.1,2.703
DHD2000W,2024-12-17-10-24-50,4,single,random,False,6,0.552,45,48.2,p2,True,distractor,2.636,48.2,0.901
DHD2000W,2024-12-17-10-24-50,4,single,random,False,7,0.555,40,40.0,1s,True,distractor,2.636,40.0,0.834
DHD2000W,2024-12-17-10-24-50,4,single,random,False,8,0.933,55,59.9,p1,True,distractor,2.636,59.9,0.801
DHD2000W,2024-12-17-10-24-50,4,single,random,False,9,0.822,60,44.7,2s,True,distractor,2.636,44.7,1.251
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,1,1.645,-65,-25.7,s2,False,distractor,4.321,-39.7,4.721
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,2,0.527,-60,-33.2,s1,False,distractor,3.136,-42.2,3.003
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,3,0.554,-55,-34.8,2p,False,target,2.018,-44.8,4.737
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,4,0.778,-50,-56.4,1p,False,distractor,1.952,-46.4,3.686
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,5,0.679,-45,-63.7,s2,False,target,9.992,-51.7,4.687
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,6,0.861,-40,-45.6,s1,False,distractor,11.577,-42.6,3.019
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,7,0.857,-35,-56.1,2p,False,target,3.386,-48.1,2.869
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,8,0.814,-30,-39.5,2s,True,target,2.636,-44.5,3.553
DHD2000W,2024-12-17-10-24-50,5,dual,ascending,True,9,0.862,-25,-32.0,1s,True,distractor,2.519,-35.0,3.737
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,1,1.935,65,42.5,p1,True,target,2.385,47.5,2.903
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,2,0.625,60,56.7,1p,False,distractor,1.552,56.7,1.568
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,3,0.724,55,39.7,p2,True,distractor,5.305,44.7,2.519
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,4,0.754,50,63.3,1s,True,target,2.819,55.3,3.603
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,5,0.832,45,40.4,s2,False,distractor,2.385,50.4,7.807
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,6,0.604,40,37.2,1p,False,distractor,5.655,46.2,2.786
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,7,0.764,35,44.9,p1,True,target,1.168,48.9,3.736
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,8,0.731,30,60.3,s1,False,distractor,2.853,49.3,2.285
DHD2000W,2024-12-17-10-24-50,6,dual,descending,False,9,0.552,25,47.1,p2,True,target,2.853,47.1,1.501
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,1,1.928,-55,-38.8,2p,False,target,1.318,41.2,7.039
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,2,0.646,-45,-43.2,2s,True,distractor,5.038,-40.2,2.168
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,3,0.715,-40,-48.3,1s,True,target,2.002,-44.3,1.618
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,4,0.735,-25,-61.2,p2,True,distractor,9.308,-46.2,3.336
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,5,0.637,-65,-62.6,s1,False,distractor,5.004,-46.6,2.519
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,6,0.83,-50,-26.6,s2,False,distractor,3.336,-51.6,2.702
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,7,0.513,-30,-50.9,p1,True,distractor,5.271,-40.9,1.701
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,8,0.808,-35,-61.9,2s,True,target,7.773,-45.9,3.136
DHD2000W,2024-12-17-10-24-50,7,dual,random,True,9,0.727,-60,-25.2,2p,False,distractor,1.885,-45.2,8.774
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,1,1.719,25,63.8,1p,False,distractor,1.885,38.8,3.336
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,2,0.528,30,30.5,s1,False,distractor,1.885,32.5,2.202
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,3,0.694,35,53.6,1s,True,distractor,1.885,46.6,2.386
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,4,0.984,40,45.4,s2,False,distractor,1.885,45.4,1.085
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,5,0.847,45,43.8,p2,True,distractor,1.885,42.8,1.768
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,6,0.895,50,26.0,2s,True,distractor,1.885,49.0,2.619
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,7,0.989,55,29.4,2p,False,distractor,1.885,52.4,2.753
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,8,0.739,60,31.9,1p,False,distractor,1.885,51.9,2.736
DHD2000W,2024-12-17-10-24-50,8,single,ascending,False,9,0.666,65,50.8,p1,True,distractor,1.885,51.8,1.735
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,1,1.588,-65,-54.3,s1,False,distractor,1.985,52.7,10.809
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,2,0.677,-60,-26.0,1s,True,distractor,6.456,-52.0,2.869
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,3,0.517,-55,-57.8,2s,True,distractor,3.203,-45.8,2.168
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,4,0.622,-50,-34.8,2p,False,distractor,1.551,-51.8,4.137
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,5,0.514,-45,-50.1,s2,False,target,5.038,-45.1,2.435
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,6,0.578,-40,-34.9,1p,False,distractor,2.235,-50.9,2.302
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,7,0.784,-35,-38.1,p2,True,target,15.246,-52.1,2.986
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,8,0.726,-30,-39.6,p1,True,target,0.968,-50.6,2.269
DHD2000W,2024-12-17-10-24-50,9,dual,ascending,True,9,0.858,-25,-31.1,1s,True,target,1.752,-56.1,4.621
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,1,1.99,65,64.6,2p,False,target,1.752,62.6,1.919
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,2,0.827,60,60.0,2s,True,target,1.752,60.0,0.884
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,3,0.829,55,25.0,s2,False,target,1.752,57.0,3.803
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,4,0.666,50,30.0,p2,True,target,1.752,54.0,2.752
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,5,0.901,45,39.6,1p,False,target,1.752,46.6,1.718
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,6,0.914,40,41.9,p1,True,target,1.752,52.9,2.119
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,7,0.75,35,52.7,s1,False,target,1.752,48.7,1.618
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,8,0.618,30,29.6,1p,False,target,1.752,44.6,2.152
DHD2000W,2024-12-17-10-24-50,10,single,descending,False,9,0.869,25,35.7,s2,False,target,1.752,26.7,1.435
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,1,1.776,-65,-35.2,2p,False,target,1.752,-54.2,5.355
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,2,0.657,-60,-27.9,p2,True,target,1.752,-52.9,2.436
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,3,0.735,-55,-58.9,2s,True,target,1.752,-55.9,1.451
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,4,0.837,-50,-63.7,p1,True,target,1.752,-50.7,2.536
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,5,0.884,-45,-58.0,1s,True,target,1.752,-46.0,2.169
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,6,0.776,-40,-36.7,s1,False,target,1.752,-38.7,1.902
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,7,0.816,-35,-60.1,1s,True,target,1.752,-48.1,3.47
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,8,0.562,-30,-45.3,1p,False,target,1.752,-45.3,1.285
DHD2000W,2024-12-17-10-24-50,11,single,ascending,True,9,0.646,-25,-52.3,p2,True,target,1.752,-40.3,2.869
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,1,1.862,30,47.0,s1,False,distractor,2.002,57.0,2.802
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,2,0.723,25,62.4,p1,True,target,1.234,56.4,5.872
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,3,0.81,45,51.0,2p,False,distractor,0.751,60.0,2.018
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,4,0.664,50,61.9,s2,False,distractor,1.985,54.9,2.402
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,5,0.899,35,35.0,2s,True,target,1.051,50.0,2.118
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,6,0.882,40,37.4,p1,True,target,5.255,50.4,1.868
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,7,0.506,65,58.3,s2,False,distractor,1.368,50.3,1.701
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,8,0.751,55,52.5,s1,False,distractor,2.636,52.5,1.485
DHD2000W,2024-12-17-10-24-50,12,dual,random,False,9,0.616,60,28.5,2p,False,distractor,1.101,48.5,2.385
DHD2000W,2024-12-17-10-24-50,13,single,random,True,1,1.594,-35,-47.2,p2,True,distractor,1.101,-54.2,6.656
DHD2000W,2024-12-17-10-24-50,13,single,random,True,2,0.942,-45,-54.2,2s,True,distractor,1.101,-48.2,1.468
DHD2000W,2024-12-17-10-24-50,13,single,random,True,3,0.868,-25,-47.7,1s,True,distractor,1.101,-40.7,1.652
DHD2000W,2024-12-17-10-24-50,13,single,random,True,4,0.812,-60,-39.7,1p,False,distractor,1.101,-43.7,1.485
DHD2000W,2024-12-17-10-24-50,13,single,random,True,5,0.68,-55,-50.7,s2,False,distractor,1.101,-50.7,1.301
DHD2000W,2024-12-17-10-24-50,13,single,random,True,6,0.653,-40,-49.9,2s,True,distractor,1.101,-45.9,1.385
DHD2000W,2024-12-17-10-24-50,13,single,random,True,7,0.851,-50,-25.7,p1,True,distractor,1.101,-44.7,2.502
DHD2000W,2024-12-17-10-24-50,13,single,random,True,8,0.81,-65,-51.2,s1,False,distractor,1.101,-51.2,1.018
DHD2000W,2024-12-17-10-24-50,13,single,random,True,9,0.541,-30,-30.7,2p,False,distractor,1.101,-30.7,0.834
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,1,1.637,65,57.8,1s,True,target,0.834,53.8,1.685
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,2,0.722,60,58.7,1p,False,distractor,0.667,53.7,2.202
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,3,0.773,55,31.4,p2,True,target,0.834,50.4,2.702
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,4,0.946,50,50.3,2p,False,distractor,3.837,59.3,2.852
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,5,0.988,45,36.7,s1,False,distractor,1.301,52.7,2.185
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,6,0.529,40,58.6,2s,True,target,1.618,51.6,1.801
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,7,0.554,35,53.3,p2,True,target,2.702,53.3,5.054
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,8,0.772,30,53.4,1p,False,distractor,1.468,52.4,2.335
DHD2000W,2024-12-17-10-24-50,14,dual,descending,False,9,0.819,25,64.7,s2,False,target,2.536,47.7,1.918
