Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
HBF1995M,2024-12-13-14-10-32,1,single,color,True,1,1.686,-65,-42.9,2s,True,target,3.953,,
HBF1995M,2024-12-13-14-10-32,1,single,color,True,2,0.895,-50,-56.1,s2,False,target,10.843,,
HBF1995M,2024-12-13-14-10-32,1,single,color,True,3,0.679,-45,-41.7,s1,False,distractor,3.486,,
HBF1995M,2024-12-13-14-10-32,1,single,color,True,4,0.897,-30,-47.4,p2,True,distractor,9.091,,
HBF1995M,2024-12-13-14-10-32,1,single,color,True,5,0.598,-60,-50.2,1p,False,distractor,16.764,,
HBF1995M,2024-12-13-14-10-32,1,single,color,True,6,0.531,-25,-55.2,2p,False,target,5.238,,
HBF1995M,2024-12-13-14-10-32,1,single,color,True,7,0.827,-55,-42.7,1s,True,distractor,0.968,,
HBF1995M,2024-12-13-14-10-32,1,single,color,True,8,0.716,-40,-54.0,p1,True,distractor,0.651,,
HBF1995M,2024-12-13-14-10-32,1,single,color,True,9,0.834,-35,-58.7,1s,True,distractor,0.717,,
HBF1995M,2024-12-13-14-10-32,2,single,random,False,1,1.901,35,32.2,p2,True,distractor,0.717,86.2,11.21
HBF1995M,2024-12-13-14-10-32,2,single,random,False,2,0.785,40,48.2,2s,True,distractor,0.717,26.2,4.838
HBF1995M,2024-12-13-14-10-32,2,single,random,False,3,0.556,45,33.5,1p,False,distractor,0.717,90.5,7.273
HBF1995M,2024-12-13-14-10-32,2,single,random,False,4,0.975,55,59.6,s2,False,distractor,0.717,0.6,8.874
HBF1995M,2024-12-13-14-10-32,2,single,random,False,5,0.797,30,56.0,2p,False,distractor,0.717,90.0,5.522
HBF1995M,2024-12-13-14-10-32,2,single,random,False,6,0.636,50,35.9,p1,True,distractor,0.717,-1.1,4.788
HBF1995M,2024-12-13-14-10-32,2,single,random,False,7,0.747,60,33.2,s1,False,distractor,0.717,89.2,6.506
HBF1995M,2024-12-13-14-10-32,2,single,random,False,8,0.873,25,52.0,s1,False,distractor,0.717,90.0,6.072
HBF1995M,2024-12-13-14-10-32,2,single,random,False,9,0.584,65,47.5,s2,False,distractor,0.717,90.5,5.588
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,1,1.621,-25,-55.7,2s,True,target,2.586,-58.7,7.156
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,2,0.819,-30,-52.0,1p,False,distractor,7.206,-52.0,2.486
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,3,0.539,-35,-56.0,p2,True,target,7.123,-56.0,1.651
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,4,0.611,-40,-64.0,1s,True,target,3.103,-64.0,1.485
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,5,0.997,-45,-36.9,p1,True,target,9.925,-36.9,1.518
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,6,0.821,-50,-31.9,2p,False,distractor,3.27,-31.9,2.202
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,7,0.965,-55,-44.8,2s,True,target,7.306,-46.8,3.336
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,8,0.686,-60,-45.1,1s,True,target,2.486,-48.1,4.103
HBF1995M,2024-12-13-14-10-32,3,dual,descending,True,9,0.532,-65,-42.2,s2,False,distractor,2.152,-42.2,1.468
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,1,1.892,65,37.0,s1,False,distractor,2.152,75.0,4.604
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,2,0.791,60,63.1,p2,True,distractor,2.152,78.1,2.486
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,3,0.689,55,42.9,2p,False,distractor,2.152,42.9,1.251
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,4,0.81,50,62.2,p1,True,distractor,2.152,43.2,2.386
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,5,0.58,45,52.6,1p,False,distractor,2.152,121.6,4.421
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,6,0.505,40,47.9,s2,False,distractor,2.152,58.9,4.187
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,7,0.593,35,48.1,p2,True,distractor,2.152,28.1,2.786
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,8,0.504,30,62.8,1p,False,distractor,2.152,90.8,3.119
HBF1995M,2024-12-13-14-10-32,4,single,descending,False,9,0.52,25,44.4,s1,False,distractor,2.152,44.4,1.218
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,1,1.548,-65,-49.5,1s,True,target,1.601,-49.5,1.535
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,2,0.949,-60,-60.8,2s,True,target,2.068,-60.8,1.752
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,3,0.509,-55,-36.3,2p,False,distractor,1.318,-36.3,1.134
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,4,0.53,-50,-26.0,p1,True,target,1.868,-26.0,2.152
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,5,0.872,-45,-36.0,p1,True,target,0.918,-36.0,0.684
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,6,0.829,-40,-28.2,1p,False,distractor,2.586,-28.2,0.934
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,7,0.752,-35,-51.9,2p,False,distractor,2.769,-51.9,0.901
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,8,0.743,-30,-55.5,p2,True,target,0.551,-55.5,0.801
HBF1995M,2024-12-13-14-10-32,5,dual,ascending,True,9,0.748,-25,-39.2,2s,True,target,1.001,-39.2,0.851
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,1,1.98,25,56.0,s2,False,target,1.001,100.0,3.82
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,2,0.779,30,33.0,1s,True,target,1.001,93.0,4.737
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,3,0.851,35,25.2,s1,False,target,1.001,74.2,4.254
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,4,0.989,40,62.3,2s,True,target,1.001,62.3,1.168
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,5,0.971,45,42.5,p2,True,target,1.001,99.5,3.553
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,6,0.97,50,60.7,1s,True,target,1.001,60.7,1.134
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,7,0.582,55,57.0,s1,False,target,1.001,55.0,3.036
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,8,0.965,60,25.3,1p,False,target,1.001,99.3,5.205
HBF1995M,2024-12-13-14-10-32,6,single,ascending,False,9,0.86,65,38.1,s2,False,target,1.001,70.1,3.603
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,1,1.876,-65,-61.6,2p,False,distractor,3.153,-61.6,1.585
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,2,0.798,-45,-53.8,p1,True,target,1.285,-53.8,1.351
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,3,0.502,-40,-51.8,p2,True,target,1.718,-54.8,2.819
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,4,0.522,-50,-41.4,2s,True,target,0.968,-41.4,1.051
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,5,0.597,-30,-55.4,2p,False,distractor,7.873,-55.4,2.402
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,6,0.869,-60,-43.2,1p,False,distractor,1.685,-43.2,1.735
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,7,0.807,-55,-28.1,s2,False,distractor,2.803,-28.1,1.001
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,8,0.774,-25,-64.1,p1,True,target,1.735,-64.1,0.767
HBF1995M,2024-12-13-14-10-32,7,dual,random,True,9,0.981,-35,-49.7,s1,False,distractor,0.951,-49.7,0.717
HBF1995M,2024-12-13-14-10-32,8,single,random,False,1,1.79,40,60.6,1s,True,distractor,0.951,59.6,4.337
HBF1995M,2024-12-13-14-10-32,8,single,random,False,2,0.856,55,52.1,s1,False,distractor,0.951,87.1,2.803
HBF1995M,2024-12-13-14-10-32,8,single,random,False,3,0.731,60,47.0,s2,False,distractor,0.951,42.0,1.718
HBF1995M,2024-12-13-14-10-32,8,single,random,False,4,0.561,45,46.3,2s,True,distractor,0.951,90.3,2.536
HBF1995M,2024-12-13-14-10-32,8,single,random,False,5,0.953,35,62.7,1p,False,distractor,0.951,62.7,2.452
HBF1995M,2024-12-13-14-10-32,8,single,random,False,6,0.607,50,46.4,2p,False,distractor,0.951,46.4,1.418
HBF1995M,2024-12-13-14-10-32,8,single,random,False,7,0.69,30,27.6,p1,True,distractor,0.951,-5.4,2.552
HBF1995M,2024-12-13-14-10-32,8,single,random,False,8,0.88,65,31.2,1s,True,distractor,0.951,23.2,2.452
HBF1995M,2024-12-13-14-10-32,8,single,random,False,9,0.595,25,35.9,p2,True,distractor,0.951,24.9,2.019
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,1,1.818,-25,-30.8,2p,False,distractor,1.485,-30.8,2.902
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,2,0.782,-30,-33.2,2s,True,target,0.984,-38.2,1.484
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,3,0.911,-35,-55.2,s1,False,distractor,1.602,-55.2,0.984
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,4,0.585,-40,-61.8,p2,True,target,1.034,-61.8,0.901
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,5,0.811,-45,-26.9,1s,True,distractor,5.388,-26.9,1.001
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,6,0.898,-50,-54.9,s2,False,distractor,2.185,-54.9,0.801
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,7,0.855,-55,-35.4,1p,False,target,0.901,-35.4,0.75
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,8,0.895,-60,-38.7,p1,True,distractor,1.351,-38.7,0.717
HBF1995M,2024-12-13-14-10-32,9,dual,descending,True,9,0.917,-65,-39.6,2p,False,distractor,4.554,-39.6,0.851
HBF1995M,2024-12-13-14-10-32,10,single,random,False,1,1.57,65,59.5,s1,False,distractor,4.554,52.5,2.469
HBF1995M,2024-12-13-14-10-32,10,single,random,False,2,0.83,60,46.1,p1,True,distractor,4.554,46.1,1.301
HBF1995M,2024-12-13-14-10-32,10,single,random,False,3,0.826,40,43.8,1p,False,distractor,4.554,61.8,2.085
HBF1995M,2024-12-13-14-10-32,10,single,random,False,4,0.894,30,51.2,p2,True,distractor,4.554,78.2,2.035
HBF1995M,2024-12-13-14-10-32,10,single,random,False,5,0.846,50,52.1,2s,True,distractor,4.554,36.1,3.403
HBF1995M,2024-12-13-14-10-32,10,single,random,False,6,0.507,35,39.3,s2,False,distractor,4.554,43.3,1.635
HBF1995M,2024-12-13-14-10-32,10,single,random,False,7,0.713,45,61.3,1s,True,distractor,4.554,95.3,3.236
HBF1995M,2024-12-13-14-10-32,10,single,random,False,8,0.656,25,62.6,2p,False,distractor,4.554,62.6,1.101
HBF1995M,2024-12-13-14-10-32,10,single,random,False,9,0.948,55,61.9,1s,True,distractor,4.554,61.9,0.867
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,1,1.566,-60,-44.3,2s,True,target,9.425,-44.3,2.752
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,2,0.65,-55,-35.6,p1,True,target,1.084,-35.6,0.767
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,3,0.932,-50,-52.9,s2,False,distractor,1.919,-52.9,1.351
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,4,0.552,-40,-41.3,p2,True,target,3.036,-41.3,1.334
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,5,0.523,-65,-41.7,1p,False,distractor,0.884,-41.7,0.701
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,6,0.693,-25,-32.7,s1,False,distractor,3.286,-37.7,1.384
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,7,0.628,-35,-54.0,2s,True,distractor,7.156,-43.0,4.32
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,8,0.614,-30,-43.4,s1,False,target,1.268,-43.4,2.452
HBF1995M,2024-12-13-14-10-32,11,dual,random,True,9,0.798,-45,-56.6,s2,False,distractor,1.685,-56.6,1.451
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,1,1.595,65,39.0,2p,False,distractor,1.685,34.0,2.936
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,2,0.686,60,58.0,p1,True,distractor,1.685,107.0,3.587
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,3,0.876,55,36.5,p2,True,distractor,1.685,52.5,3.72
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,4,0.613,50,40.3,1s,True,distractor,1.685,50.3,2.118
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,5,0.746,45,42.7,1p,False,distractor,1.685,113.7,4.204
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,6,0.66,40,63.0,p1,True,distractor,1.685,63.0,0.717
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,7,0.689,35,55.9,2s,True,distractor,1.685,34.9,1.818
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,8,0.941,30,42.5,p2,True,distractor,1.685,42.5,1.251
HBF1995M,2024-12-13-14-10-32,12,single,descending,False,9,0.837,25,53.3,1s,True,distractor,1.685,91.3,2.903
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,1,1.648,-65,-40.8,1p,False,distractor,1.685,-45.8,2.085
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,2,0.767,-60,-35.9,2p,False,distractor,1.685,-50.9,1.552
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,3,0.671,-55,-50.0,s2,False,distractor,1.685,-60.0,1.201
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,4,0.504,-50,-27.1,s1,False,distractor,1.685,-9.1,3.003
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,5,0.916,-45,-26.9,1p,False,distractor,1.685,-100.9,4.22
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,6,0.971,-40,-44.2,p1,True,distractor,1.685,-72.2,2.969
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,7,0.992,-35,-47.0,2p,False,distractor,1.685,-58.0,1.935
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,8,0.834,-30,-42.6,1s,True,distractor,1.685,-51.6,2.219
HBF1995M,2024-12-13-14-10-32,13,single,ascending,True,9,0.862,-25,-36.5,s2,False,distractor,1.685,-27.5,2.419
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,1,1.814,25,35.2,s1,False,distractor,9.592,35.2,1.401
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,2,0.712,30,26.5,2s,True,target,2.652,35.5,4.42
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,3,0.585,35,26.6,p2,True,target,0.884,26.6,0.634
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,4,0.591,40,53.7,2p,False,distractor,1.268,53.7,0.684
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,5,0.541,45,52.6,1p,False,distractor,2.069,52.6,0.734
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,6,0.97,50,30.5,2s,True,target,2.002,30.5,0.684
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,7,0.631,55,53.4,1s,True,target,0.901,53.4,0.634
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,8,0.813,60,52.0,p2,True,target,0.751,46.0,1.234
HBF1995M,2024-12-13-14-10-32,14,dual,ascending,False,9,0.687,65,36.5,s1,False,distractor,1.234,36.5,0.801
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,1,1.85,-25,-63.4,s2,False,distractor,1.935,-49.4,2.002
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,2,0.746,-30,-53.6,p1,True,target,1.084,-36.6,3.887
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,3,0.798,-35,-64.3,p1,True,target,4.07,-64.3,0.817
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,4,0.725,-40,-33.1,1p,False,distractor,0.684,-33.1,0.684
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,5,0.515,-45,-26.4,1s,True,target,0.968,-26.4,0.667
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,6,0.582,-50,-45.3,2s,True,target,0.401,-45.3,0.784
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,7,0.606,-55,-63.3,2p,False,distractor,0.918,-63.3,0.851
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,8,0.967,-60,-55.0,s2,False,distractor,3.503,-55.0,0.734
HBF1995M,2024-12-13-14-10-32,15,dual,descending,True,9,0.511,-65,-38.7,s1,False,distractor,1.084,-38.7,0.684
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,1,1.72,25,46.0,p2,True,target,1.134,46.0,2.018
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,2,0.815,30,55.8,p2,True,target,3.937,48.8,1.418
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,3,0.896,35,42.8,1p,False,distractor,1.168,42.8,0.851
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,4,0.994,40,26.4,p1,True,target,0.951,26.4,0.801
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,5,0.539,45,45.1,2p,False,distractor,1.668,45.1,0.817
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,6,0.838,50,60.9,2s,True,target,1.151,60.9,0.801
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,7,0.85,55,40.6,1s,True,target,2.819,40.6,0.834
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,8,0.576,60,37.5,s1,False,target,4.037,37.5,0.984
HBF1995M,2024-12-13-14-10-32,16,dual,ascending,False,9,0.867,65,48.7,s2,False,target,6.005,48.7,2.269
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,1,1.825,-25,-47.2,2p,False,target,6.005,-36.2,5.021
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,2,0.814,-30,-51.3,p2,True,target,6.005,-35.3,2.269
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,3,0.76,-35,-64.2,2s,True,target,6.005,-34.2,2.319
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,4,0.695,-40,-58.4,1s,True,target,6.005,-36.4,3.136
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,5,0.737,-45,-32.7,1p,False,target,6.005,-81.7,3.537
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,6,0.64,-50,-63.1,s2,False,target,6.005,-46.1,2.235
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,7,0.6,-55,-60.8,p1,True,target,6.005,-60.8,0.851
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,8,0.935,-60,-39.6,s1,False,target,6.005,-34.6,1.368
HBF1995M,2024-12-13-14-10-32,17,single,descending,True,9,0.903,-65,-54.0,s2,False,target,6.005,-60.0,1.502
