Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
JDN2003W,2024-12-13-12-59-45,1,single,color,True,1,1.546,-30,-30.3,2s,True,target,1.818,,
JDN2003W,2024-12-13-12-59-45,1,single,color,True,2,0.9,-60,-57.6,s2,False,target,1.001,,
JDN2003W,2024-12-13-12-59-45,1,single,color,True,3,0.877,-40,-64.8,p2,True,distractor,1.051,,
JDN2003W,2024-12-13-12-59-45,1,single,color,True,4,0.717,-55,-53.9,1p,False,target,2.035,,
JDN2003W,2024-12-13-12-59-45,1,single,color,True,5,0.749,-45,-42.8,s1,False,distractor,1.585,,
JDN2003W,2024-12-13-12-59-45,1,single,color,True,6,0.607,-65,-57.9,1s,True,target,2.285,,
JDN2003W,2024-12-13-12-59-45,1,single,color,True,7,0.619,-25,-47.8,2p,False,distractor,2.135,,
JDN2003W,2024-12-13-12-59-45,1,single,color,True,8,0.744,-50,-53.9,p1,True,target,2.753,,
JDN2003W,2024-12-13-12-59-45,1,single,color,True,9,0.747,-35,-44.6,p1,True,target,0.817,,
JDN2003W,2024-12-13-12-59-45,2,single,random,False,1,1.538,55,47.3,s1,False,target,0.817,44.3,1.184
JDN2003W,2024-12-13-12-59-45,2,single,random,False,2,0.575,30,43.4,2s,True,target,0.817,47.4,1.635
JDN2003W,2024-12-13-12-59-45,2,single,random,False,3,0.753,60,26.4,1s,True,target,0.817,-27.6,4.237
JDN2003W,2024-12-13-12-59-45,2,single,random,False,4,0.778,50,60.0,p2,True,target,0.817,77.0,4.504
JDN2003W,2024-12-13-12-59-45,2,single,random,False,5,0.549,25,47.9,s2,False,target,0.817,42.9,1.351
JDN2003W,2024-12-13-12-59-45,2,single,random,False,6,0.611,65,45.5,1p,False,target,0.817,55.5,1.902
JDN2003W,2024-12-13-12-59-45,2,single,random,False,7,0.968,45,47.6,2p,False,target,0.817,47.6,0.584
JDN2003W,2024-12-13-12-59-45,2,single,random,False,8,0.89,40,53.0,1s,True,target,0.817,57.0,1.468
JDN2003W,2024-12-13-12-59-45,2,single,random,False,9,0.789,35,62.8,p2,True,target,0.817,55.8,1.118
