Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
MBK2003W,2025-01-21-14-09-58,1,single,color,True,1,1.643,-40,-46.4,p2,True,distractor,2.285,,
MBK2003W,2025-01-21-14-09-58,1,single,color,True,2,0.802,-45,-50.0,s1,False,target,3.586,,
MBK2003W,2025-01-21-14-09-58,1,single,color,True,3,0.589,-25,-33.6,2p,False,target,2.352,,
MBK2003W,2025-01-21-14-09-58,1,single,color,True,4,0.873,-55,-35.4,2s,True,distractor,1.685,,
MBK2003W,2025-01-21-14-09-58,1,single,color,True,5,0.669,-50,-29.6,1s,True,distractor,4.721,,
MBK2003W,2025-01-21-14-09-58,1,single,color,True,6,0.587,-35,-26.5,1p,False,target,0.717,,
MBK2003W,2025-01-21-14-09-58,1,single,color,True,7,0.62,-30,-58.9,p1,True,distractor,1.885,,
MBK2003W,2025-01-21-14-09-58,1,single,color,True,8,0.929,-60,-46.6,s2,False,distractor,2.519,,
MBK2003W,2025-01-21-14-09-58,1,single,color,True,9,0.752,-65,-53.2,2p,False,target,0.767,,
MBK2003W,2025-01-21-14-09-58,2,single,random,False,1,1.738,45,26.9,1s,True,target,0.767,36.9,15.28
MBK2003W,2025-01-21-14-09-58,2,single,random,False,2,0.514,55,60.1,s1,False,target,0.767,54.1,4.137
MBK2003W,2025-01-21-14-09-58,2,single,random,False,3,0.862,35,32.0,p1,True,target,0.767,36.0,3.086
MBK2003W,2025-01-21-14-09-58,2,single,random,False,4,0.628,40,44.0,2s,True,target,0.767,34.0,4.118
MBK2003W,2025-01-21-14-09-58,2,single,random,False,5,0.971,60,58.0,1p,False,target,0.767,46.0,3.837
MBK2003W,2025-01-21-14-09-58,2,single,random,False,6,0.898,30,51.0,s2,False,target,0.767,6.0,5.354
MBK2003W,2025-01-21-14-09-58,2,single,random,False,7,0.58,65,44.5,p2,True,target,0.767,53.5,4.721
MBK2003W,2025-01-21-14-09-58,2,single,random,False,8,0.843,25,53.0,1s,True,target,0.767,31.0,3.503
