Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
MSN2002M,2024-12-10-12-07-43,1,single,color,True,1,1.516,-45,-27.9,2s,True,distractor,4.104,,
MSN2002M,2024-12-10-12-07-43,1,single,color,True,2,0.971,-50,-58.0,1s,True,distractor,1.935,,
MSN2002M,2024-12-10-12-07-43,1,single,color,True,3,0.711,-25,-59.6,s1,False,target,2.502,,
MSN2002M,2024-12-10-12-07-43,1,single,color,True,4,0.94,-35,-58.7,2p,False,distractor,2.486,,
MSN2002M,2024-12-10-12-07-43,1,single,color,True,5,0.727,-60,-42.2,p1,True,target,0.817,,
MSN2002M,2024-12-10-12-07-43,1,single,color,True,6,0.766,-40,-48.1,p2,True,target,0.517,,
MSN2002M,2024-12-10-12-07-43,1,single,color,True,7,0.754,-55,-39.7,1p,False,distractor,0.584,,
MSN2002M,2024-12-10-12-07-43,1,single,color,True,8,0.94,-65,-56.5,s2,False,distractor,0.934,,
MSN2002M,2024-12-10-12-07-43,1,single,color,True,9,0.893,-30,-48.3,s2,False,target,2.202,,
MSN2002M,2024-12-10-12-07-43,2,single,random,False,1,1.566,35,37.2,p2,True,target,2.202,-45.8,21.969
MSN2002M,2024-12-10-12-07-43,2,single,random,False,2,0.804,40,34.2,p1,True,target,2.202,-43.8,11.477
MSN2002M,2024-12-10-12-07-43,2,single,random,False,3,0.553,30,42.1,s1,False,target,2.202,42.1,1.285
MSN2002M,2024-12-10-12-07-43,2,single,random,False,4,0.905,65,25.7,1p,False,target,2.202,39.7,4.321
MSN2002M,2024-12-10-12-07-43,2,single,random,False,5,0.692,60,46.7,2p,False,target,2.202,46.7,0.884
MSN2002M,2024-12-10-12-07-43,2,single,random,False,6,0.964,25,27.5,1s,True,target,2.202,47.5,3.12
MSN2002M,2024-12-10-12-07-43,2,single,random,False,7,0.643,50,27.0,2s,True,target,2.202,45.0,2.986
MSN2002M,2024-12-10-12-07-43,2,single,random,False,8,0.615,45,47.1,1p,False,target,2.202,43.1,2.152
