Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
SHH2004W,2024-12-16-14-20-03,1,single,color,True,1,1.723,-25,-40.8,p2,True,target,1.552,,
SHH2004W,2024-12-16-14-20-03,1,single,color,True,2,0.687,-55,-48.4,1s,True,distractor,1.351,,
SHH2004W,2024-12-16-14-20-03,1,single,color,True,3,0.949,-40,-61.1,2p,False,target,3.753,,
SHH2004W,2024-12-16-14-20-03,1,single,color,True,4,0.986,-65,-51.2,p1,True,target,3.537,,
SHH2004W,2024-12-16-14-20-03,1,single,color,True,5,0.735,-35,-38.3,2s,True,distractor,2.452,,
SHH2004W,2024-12-16-14-20-03,1,single,color,True,6,0.652,-45,-42.8,1p,False,target,1.301,,
SHH2004W,2024-12-16-14-20-03,1,single,color,True,7,0.757,-30,-56.4,s2,False,distractor,5.004,,
SHH2004W,2024-12-16-14-20-03,1,single,color,True,8,0.843,-50,-56.8,s1,False,distractor,2.069,,
SHH2004W,2024-12-16-14-20-03,1,single,color,True,9,0.541,-60,-58.1,s1,False,target,2.235,,
SHH2004W,2024-12-16-14-20-03,2,single,random,False,1,1.734,50,49.2,p2,True,target,2.235,42.2,7.774
SHH2004W,2024-12-16-14-20-03,2,single,random,False,2,0.792,30,35.1,s2,False,target,2.235,41.1,5.338
SHH2004W,2024-12-16-14-20-03,2,single,random,False,3,0.542,25,28.6,1s,True,target,2.235,41.6,3.887
SHH2004W,2024-12-16-14-20-03,2,single,random,False,4,0.733,65,26.7,2s,True,target,2.235,90.7,6.306
SHH2004W,2024-12-16-14-20-03,2,single,random,False,5,0.664,55,60.7,1p,False,target,2.235,46.7,1.552
SHH2004W,2024-12-16-14-20-03,2,single,random,False,6,0.816,35,46.4,p1,True,target,2.235,39.4,2.369
SHH2004W,2024-12-16-14-20-03,2,single,random,False,7,0.683,40,61.7,2p,False,target,2.235,41.7,2.219
SHH2004W,2024-12-16-14-20-03,2,single,random,False,8,0.946,60,64.4,p1,True,target,2.235,42.4,1.718
SHH2004W,2024-12-16-14-20-03,2,single,random,False,9,0.962,45,43.7,1p,False,target,2.235,35.7,1.351
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,1,1.526,-25,-38.1,s2,False,distractor,5.722,-107.1,5.688
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,2,0.688,-30,-45.4,2p,False,target,5.021,-38.4,3.319
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,3,0.745,-35,-31.2,1s,True,target,6.589,-133.2,5.738
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,4,0.829,-40,-27.7,p2,True,distractor,3.436,-34.7,2.385
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,5,0.726,-45,-56.4,s1,False,target,4.654,-131.4,6.906
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,6,0.975,-50,-58.7,2s,True,target,9.625,-43.7,5.405
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,7,0.628,-55,-26.4,2s,True,target,3.119,44.6,9.842
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,8,0.675,-60,-46.9,1p,False,distractor,3.92,-46.9,1.518
SHH2004W,2024-12-16-14-20-03,3,dual,descending,True,9,0.587,-65,-31.2,p2,True,target,4.604,-47.2,2.969
SHH2004W,2024-12-16-14-20-03,4,single,random,False,1,1.74,65,44.4,p1,True,target,4.604,59.4,2.969
SHH2004W,2024-12-16-14-20-03,4,single,random,False,2,0.528,40,55.1,1s,True,target,4.604,47.1,2.269
SHH2004W,2024-12-16-14-20-03,4,single,random,False,3,0.626,55,34.7,2p,False,target,4.604,41.7,1.718
SHH2004W,2024-12-16-14-20-03,4,single,random,False,4,0.598,50,25.2,s1,False,target,4.604,46.2,3.22
SHH2004W,2024-12-16-14-20-03,4,single,random,False,5,0.956,45,59.2,s2,False,target,4.604,48.2,1.985
SHH2004W,2024-12-16-14-20-03,4,single,random,False,6,0.906,25,59.4,2s,True,target,4.604,40.4,1.552
SHH2004W,2024-12-16-14-20-03,4,single,random,False,7,0.887,35,41.5,p1,True,target,4.604,26.5,1.201
SHH2004W,2024-12-16-14-20-03,4,single,random,False,8,0.776,30,26.8,1p,False,target,4.604,19.8,0.984
SHH2004W,2024-12-16-14-20-03,4,single,random,False,9,0.994,60,49.9,s1,False,target,4.604,60.9,1.585
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,1,1.98,-60,-41.3,1s,True,target,5.355,-40.3,2.485
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,2,0.645,-65,-43.1,s2,False,target,3.186,-54.1,1.835
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,3,0.697,-55,-31.0,2p,False,distractor,2.152,-133.0,5.872
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,4,0.757,-30,-48.0,p2,True,distractor,2.969,-48.0,1.034
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,5,0.812,-35,-25.5,p1,True,distractor,2.953,-41.5,2.736
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,6,0.591,-50,-42.2,1s,True,target,7.373,-41.2,2.002
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,7,0.601,-40,-38.8,s1,False,target,2.586,-38.8,1.201
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,8,0.662,-25,-49.8,2p,False,distractor,3.486,-37.8,2.902
SHH2004W,2024-12-16-14-20-03,5,dual,random,True,9,0.921,-45,-47.6,p2,True,target,3.153,-42.6,2.469
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,1,1.537,65,46.3,1p,False,target,3.153,78.3,2.653
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,2,0.545,60,61.0,s2,False,target,3.153,56.0,0.851
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,3,0.946,55,25.1,2s,True,target,3.153,54.1,2.819
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,4,0.918,50,51.6,2s,True,target,3.153,51.6,0.768
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,5,0.853,45,27.3,s1,False,target,3.153,52.3,3.286
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,6,0.907,40,56.3,s2,False,target,3.153,44.3,1.668
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,7,0.987,35,27.8,p1,True,target,3.153,26.8,2.302
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,8,0.841,30,25.4,p2,True,target,3.153,25.4,0.968
SHH2004W,2024-12-16-14-20-03,6,single,descending,False,9,0.676,25,39.3,1s,True,target,3.153,29.3,1.318
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,1,1.658,-65,-26.7,2p,False,distractor,2.536,-26.7,1.068
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,2,0.877,-60,-63.6,1p,False,target,3.153,-63.6,0.917
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,3,0.679,-55,-40.2,1p,False,target,2.702,-55.2,1.635
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,4,0.858,-50,-34.7,2s,True,distractor,5.005,-47.7,1.618
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,5,0.718,-45,-54.8,s1,False,target,4.104,-46.8,2.118
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,6,0.848,-40,-49.6,2p,False,distractor,1.618,-51.6,1.351
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,7,0.717,-35,-45.5,p2,True,distractor,3.236,-39.5,1.968
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,8,0.568,-30,-28.1,1s,True,distractor,2.452,-29.1,0.917
SHH2004W,2024-12-16-14-20-03,7,dual,ascending,True,9,0.773,-25,-39.2,s2,False,target,4.854,-39.2,0.717
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,1,1.536,25,53.9,p1,True,target,4.854,34.9,2.486
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,2,0.592,30,63.6,1s,True,target,4.854,33.6,1.985
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,3,0.733,35,34.3,2p,False,target,4.854,27.3,0.834
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,4,0.925,40,47.9,2s,True,target,4.854,37.9,1.635
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,5,0.993,45,29.8,s2,False,target,4.854,45.8,2.536
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,6,0.603,50,32.6,s1,False,target,4.854,56.6,1.985
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,7,0.862,55,33.6,1p,False,target,4.854,78.6,4.137
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,8,0.871,60,48.0,p1,True,target,4.854,71.0,1.935
SHH2004W,2024-12-16-14-20-03,8,single,ascending,False,9,0.727,65,64.5,p2,True,target,4.854,62.5,1.452
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,1,1.647,-65,-26.8,s2,False,distractor,3.603,-42.8,1.618
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,2,0.953,-60,-36.4,s1,False,distractor,1.335,-47.4,1.601
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,3,0.705,-55,-49.9,1p,False,distractor,3.653,-49.9,0.717
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,4,0.5,-50,-58.2,2s,True,distractor,1.585,-40.2,2.602
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,5,0.517,-45,-51.5,1s,True,target,3.486,-138.5,3.97
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,6,0.819,-40,-40.2,p1,True,distractor,2.452,-47.2,2.118
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,7,0.555,-35,-45.1,p2,True,target,2.57,-45.1,0.701
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,8,0.705,-30,-29.3,2p,False,target,3.436,-37.3,1.618
SHH2004W,2024-12-16-14-20-03,9,dual,ascending,True,9,0.871,-25,-44.5,1p,False,distractor,1.218,-130.5,4.32
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,1,1.543,45,50.7,2p,False,distractor,1.468,50.7,1.168
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,2,0.751,60,43.3,2s,True,target,2.552,56.3,2.802
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,3,0.596,40,48.3,s2,False,distractor,1.385,51.3,4.537
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,4,0.566,25,33.8,s1,False,target,2.702,33.8,0.784
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,5,0.972,35,45.2,1s,True,target,1.169,45.2,0.834
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,6,0.799,30,35.9,p2,True,target,2.252,-41.1,4.771
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,7,0.938,65,35.4,p1,True,target,1.819,50.4,2.602
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,8,0.883,50,30.6,2s,True,target,2.686,89.6,4.954
SHH2004W,2024-12-16-14-20-03,10,dual,random,False,9,0.67,55,26.7,s1,False,target,1.685,46.7,2.719
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,1,1.512,-25,-47.0,1p,False,target,1.685,-36.0,3.019
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,2,0.868,-30,-57.5,p1,True,target,1.685,-29.5,3.369
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,3,0.887,-35,-41.7,1s,True,target,1.685,-33.7,2.269
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,4,0.542,-40,-46.9,p2,True,target,1.685,-36.9,2.669
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,5,0.506,-45,-39.0,2p,False,target,1.685,-39.0,0.784
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,6,0.574,-50,-43.1,s2,False,target,1.685,-43.1,0.834
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,7,0.742,-55,-52.7,1p,False,target,1.685,-53.7,0.934
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,8,0.533,-60,-37.1,1s,True,target,1.685,-50.1,2.886
SHH2004W,2024-12-16-14-20-03,11,single,descending,True,9,0.842,-65,-57.9,s2,False,target,1.685,-62.9,1.535
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,1,1.931,25,31.6,2p,False,target,1.685,25.6,1.401
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,2,0.722,30,52.6,p1,True,target,1.685,29.6,1.952
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,3,0.924,35,46.9,p2,True,target,1.685,31.9,1.452
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,4,0.616,40,28.7,2s,True,target,1.685,36.7,1.835
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,5,0.953,45,34.1,s1,False,target,1.685,45.1,2.202
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,6,0.722,50,59.6,p2,True,target,1.685,42.6,1.752
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,7,0.914,55,41.8,s1,False,target,1.685,49.8,1.385
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,8,0.691,60,55.6,2p,False,target,1.685,50.6,1.051
SHH2004W,2024-12-16-14-20-03,12,single,ascending,False,9,0.69,65,41.9,2s,True,target,1.685,54.9,1.969
SHH2004W,2024-12-16-14-20-03,13,dual,descending,True,1,1.51,-25,-37.7,1p,False,distractor,1.635,-127.7,4.254
SHH2004W,2024-12-16-14-20-03,13,dual,descending,True,2,0.568,-30,-63.6,1s,True,target,2.502,-37.6,3.136
SHH2004W,2024-12-16-14-20-03,13,dual,descending,True,3,0.92,-35,-51.9,p1,True,distractor,1.468,-34.9,3.052
SHH2004W,2024-12-16-14-20-03,13,dual,descending,True,4,0.99,-40,-60.2,s2,False,target,3.353,-36.2,3.336
SHH2004W,2024-12-16-14-20-03,13,dual,descending,True,5,0.985,-45,-36.4,1p,False,distractor,2.319,41.6,5.555
SHH2004W,2024-12-16-14-20-03,13,dual,descending,True,6,0.679,-50,-42.3,s1,False,target,2.486,-48.3,2.118
SHH2004W,2024-12-16-14-20-03,13,dual,descending,True,7,0.744,-55,-53.9,s2,False,distractor,1.151,-53.9,0.884
