Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
SIK1998M,2024-12-17-15-16-14,1,single,color,True,1,1.742,-35,-55.4,s2,False,distractor,19.116,,
SIK1998M,2024-12-17-15-16-14,1,single,color,True,2,0.828,-65,-26.4,1s,True,distractor,2.419,,
SIK1998M,2024-12-17-15-16-14,1,single,color,True,3,0.623,-55,-26.1,1p,False,target,1.518,,
SIK1998M,2024-12-17-15-16-14,1,single,color,True,4,0.978,-45,-28.7,2p,False,target,0.952,,
SIK1998M,2024-12-17-15-16-14,1,single,color,True,5,0.757,-50,-40.1,s1,False,target,4.521,,
SIK1998M,2024-12-17-15-16-14,1,single,color,True,6,0.842,-60,-49.4,p1,True,target,0.501,,
SIK1998M,2024-12-17-15-16-14,1,single,color,True,7,0.527,-25,-29.1,2s,True,distractor,0.834,,
SIK1998M,2024-12-17-15-16-14,1,single,color,True,8,0.746,-30,-48.9,p2,True,target,0.234,,
SIK1998M,2024-12-17-15-16-14,1,single,color,True,9,0.991,-40,-43.1,2s,True,distractor,0.767,,
SIK1998M,2024-12-17-15-16-14,2,single,random,False,1,1.821,65,37.5,s1,False,distractor,0.767,47.5,9.025
SIK1998M,2024-12-17-15-16-14,2,single,random,False,2,0.852,35,32.7,1s,True,distractor,0.767,32.7,3.587
SIK1998M,2024-12-17-15-16-14,2,single,random,False,3,0.802,40,28.2,s2,False,distractor,0.767,49.2,3.803
SIK1998M,2024-12-17-15-16-14,2,single,random,False,4,0.922,45,30.1,p2,True,distractor,0.767,80.1,5.355
SIK1998M,2024-12-17-15-16-14,2,single,random,False,5,0.678,25,43.0,p1,True,distractor,0.767,37.0,2.369
SIK1998M,2024-12-17-15-16-14,2,single,random,False,6,0.534,60,39.0,2p,False,distractor,0.767,55.0,2.652
SIK1998M,2024-12-17-15-16-14,2,single,random,False,7,0.922,55,63.1,1p,False,distractor,0.767,89.1,2.636
SIK1998M,2024-12-17-15-16-14,2,single,random,False,8,0.592,30,47.4,p2,True,distractor,0.767,29.4,2.185
SIK1998M,2024-12-17-15-16-14,2,single,random,False,9,0.611,50,27.2,1p,False,distractor,0.767,58.2,2.486
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,1,1.93,-65,-39.1,p1,True,target,3.753,-92.1,4.821
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,2,0.763,-45,-42.8,1s,True,distractor,6.239,-118.8,4.921
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,3,0.593,-35,-29.0,2s,True,distractor,2.936,-29.0,0.784
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,4,0.669,-25,-29.5,s2,False,distractor,2.786,-36.5,1.918
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,5,0.588,-30,-30.9,2p,False,target,2.269,-30.9,0.767
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,6,0.602,-55,-25.1,s1,False,distractor,4.888,-44.1,1.701
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,7,0.764,-50,-60.6,s2,False,distractor,5.738,-43.6,2.035
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,8,0.633,-40,-61.5,1s,True,target,2.486,-120.5,3.937
SIK1998M,2024-12-17-15-16-14,3,dual,random,True,9,0.776,-60,-26.8,p1,True,distractor,2.102,-54.8,2.986
SIK1998M,2024-12-17-15-16-14,4,single,random,False,1,1.76,35,63.5,2p,False,distractor,2.102,43.5,2.219
SIK1998M,2024-12-17-15-16-14,4,single,random,False,2,0.813,30,60.9,2s,True,distractor,2.102,34.9,2.219
SIK1998M,2024-12-17-15-16-14,4,single,random,False,3,0.798,65,37.0,1p,False,distractor,2.102,60.0,1.768
SIK1998M,2024-12-17-15-16-14,4,single,random,False,4,0.671,45,64.3,s1,False,distractor,2.102,64.3,0.334
SIK1998M,2024-12-17-15-16-14,4,single,random,False,5,0.516,50,39.9,p2,True,distractor,2.102,50.9,1.735
SIK1998M,2024-12-17-15-16-14,4,single,random,False,6,0.754,55,41.6,p1,True,distractor,2.102,61.6,2.085
SIK1998M,2024-12-17-15-16-14,4,single,random,False,7,0.521,60,31.9,p2,True,distractor,2.102,71.9,2.519
SIK1998M,2024-12-17-15-16-14,4,single,random,False,8,0.769,40,27.7,s2,False,distractor,2.102,38.7,1.768
SIK1998M,2024-12-17-15-16-14,4,single,random,False,9,0.673,25,45.2,2p,False,distractor,2.102,37.2,1.351
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,1,1.591,-65,-61.5,1p,False,distractor,2.336,-125.5,3.937
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,2,0.807,-60,-34.7,1s,True,distractor,1.985,-40.7,1.485
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,3,0.938,-55,-33.1,s1,False,distractor,2.669,-48.1,2.002
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,4,0.624,-50,-41.1,2s,True,distractor,4.988,54.9,7.823
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,5,0.584,-45,-57.4,p1,True,target,2.302,-57.4,0.701
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,6,0.653,-40,-63.1,2p,False,distractor,2.536,-121.1,3.353
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,7,0.513,-35,-29.3,p2,True,target,3.003,-47.3,2.002
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,8,0.836,-30,-40.2,1s,True,distractor,4.17,-53.2,1.301
SIK1998M,2024-12-17-15-16-14,5,dual,ascending,True,9,0.621,-25,-41.9,1p,False,distractor,4.705,-41.9,0.834
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,1,1.945,65,57.8,s2,False,distractor,1.835,51.8,1.134
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,2,0.687,60,48.3,2s,True,target,2.903,48.3,0.734
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,3,0.985,55,37.3,s1,False,target,1.685,56.3,2.385
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,4,0.935,50,48.5,p2,True,target,4.904,48.5,0.684
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,5,0.88,45,36.4,s2,False,distractor,3.687,50.4,1.852
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,6,0.7,40,53.9,1p,False,target,2.252,49.9,1.151
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,7,0.954,35,30.3,p1,True,target,2.002,48.3,3.036
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,8,0.96,30,56.1,1s,True,distractor,9.425,44.1,1.818
SIK1998M,2024-12-17-15-16-14,6,dual,descending,False,9,0.884,25,58.9,s1,False,target,2.419,58.9,0.701
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,1,1.639,-65,-54.1,2p,False,target,2.419,-54.1,2.986
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,2,0.627,-60,-45.6,2s,True,target,2.419,-60.6,1.518
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,3,0.51,-55,-49.5,2s,True,target,2.419,-49.5,0.367
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,4,0.677,-50,-51.0,p1,True,target,2.419,-51.0,0.451
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,5,0.777,-45,-50.9,s2,False,target,2.419,-42.9,1.401
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,6,0.935,-40,-40.7,1p,False,target,2.419,-39.7,0.834
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,7,0.967,-35,-25.1,1s,True,target,2.419,-32.1,1.618
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,8,0.741,-30,-28.1,s1,False,target,2.419,-28.1,0.551
SIK1998M,2024-12-17-15-16-14,7,single,ascending,True,9,0.633,-25,-29.4,p2,True,target,2.419,-25.4,1.084
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,1,1.645,65,37.5,2p,False,target,2.419,54.5,2.285
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,2,0.697,60,57.4,1s,True,target,2.419,57.4,0.401
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,3,0.532,55,40.3,2p,False,target,2.419,50.3,1.652
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,4,0.692,50,55.9,p1,True,target,2.419,48.9,2.018
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,5,0.501,45,48.1,p2,True,target,2.419,48.1,0.384
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,6,0.548,40,58.8,s1,False,target,2.419,49.8,1.985
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,7,0.716,35,29.7,s2,False,target,2.419,38.7,1.952
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,8,0.866,30,33.4,2s,True,target,2.419,33.4,0.584
SIK1998M,2024-12-17-15-16-14,8,single,descending,False,9,0.813,25,26.9,1p,False,target,2.419,24.9,1.518
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,1,1.512,-25,-41.1,2s,True,distractor,4.07,-28.1,1.518
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,2,0.98,-40,-29.1,2p,False,target,3.286,-32.1,1.485
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,3,0.715,-50,-34.1,1p,False,distractor,2.119,-48.1,1.868
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,4,0.685,-65,-35.5,p2,True,target,6.606,-47.5,1.868
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,5,0.718,-30,-31.3,s2,False,distractor,2.602,-37.3,1.551
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,6,0.606,-55,-59.9,p1,True,distractor,1.985,-43.9,1.668
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,7,0.923,-35,-26.6,1s,True,distractor,7.673,-41.6,1.601
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,8,0.809,-45,-32.7,s1,False,distractor,5.588,-44.7,1.435
SIK1998M,2024-12-17-15-16-14,9,dual,random,True,9,0.975,-60,-52.6,p2,True,target,3.937,-35.6,2.202
SIK1998M,2024-12-17-15-16-14,10,single,random,False,1,1.547,50,63.9,1s,True,target,3.937,54.9,2.085
SIK1998M,2024-12-17-15-16-14,10,single,random,False,2,0.99,45,63.4,2s,True,target,3.937,50.4,1.501
SIK1998M,2024-12-17-15-16-14,10,single,random,False,3,0.821,30,61.7,s2,False,target,3.937,10.7,2.469
SIK1998M,2024-12-17-15-16-14,10,single,random,False,4,0.826,35,32.3,2p,False,target,3.937,40.3,1.235
SIK1998M,2024-12-17-15-16-14,10,single,random,False,5,0.614,40,53.0,p1,True,target,3.937,48.0,1.034
SIK1998M,2024-12-17-15-16-14,10,single,random,False,6,0.867,25,48.2,s1,False,target,3.937,17.2,2.336
SIK1998M,2024-12-17-15-16-14,10,single,random,False,7,0.796,65,58.0,1p,False,target,3.937,73.0,1.835
SIK1998M,2024-12-17-15-16-14,10,single,random,False,8,0.837,55,59.7,s1,False,target,3.937,56.7,0.817
SIK1998M,2024-12-17-15-16-14,10,single,random,False,9,0.87,60,51.5,s2,False,target,3.937,51.5,0.267
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,1,1.741,-65,-62.8,2s,True,distractor,3.953,-126.8,4.837
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,2,0.59,-60,-52.3,2p,False,distractor,4.904,-71.3,3.153
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,3,0.509,-55,-41.0,1s,True,distractor,2.436,-52.0,2.052
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,4,0.76,-50,-61.0,p1,True,target,1.902,-50.0,1.968
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,5,0.512,-45,-38.5,p2,True,distractor,3.436,-50.5,1.551
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,6,0.948,-40,-28.3,1p,False,target,2.269,-49.3,1.718
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,7,0.612,-35,-34.0,2p,False,distractor,1.635,-45.0,1.168
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,8,0.777,-30,-27.6,p2,True,target,2.002,-37.6,1.268
SIK1998M,2024-12-17-15-16-14,11,dual,ascending,True,9,0.549,-25,-53.0,p1,True,target,2.235,-38.0,1.401
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,1,1.63,65,44.3,1p,False,target,2.235,63.3,2.402
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,2,0.505,60,59.9,s2,False,target,2.235,57.9,0.851
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,3,0.905,55,33.0,1s,True,target,2.235,56.0,1.702
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,4,0.803,50,33.7,2s,True,target,2.235,52.7,1.718
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,5,0.809,45,56.4,s1,False,target,2.235,49.4,1.768
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,6,0.742,40,38.1,2s,True,target,2.235,46.1,1.351
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,7,0.516,35,61.4,1s,True,target,2.235,42.4,1.818
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,8,0.956,30,50.6,2p,False,target,2.235,29.6,1.685
SIK1998M,2024-12-17-15-16-14,12,single,descending,False,9,0.607,25,58.1,p1,True,target,2.235,31.1,2.052
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,1,1.723,-25,-53.0,p2,True,target,2.236,-19.0,2.369
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,2,0.591,-30,-42.9,s1,False,distractor,1.785,-27.9,1.718
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,3,0.806,-35,-32.5,s2,False,distractor,1.652,-32.5,0.751
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,4,0.899,-40,-63.8,1p,False,distractor,1.835,-30.8,2.135
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,5,0.514,-45,-57.5,p2,True,target,1.418,-35.5,1.635
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,6,0.658,-50,-28.8,2s,True,distractor,1.351,-52.8,2.002
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,7,0.706,-55,-30.7,s2,False,distractor,1.435,-48.7,1.434
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,8,0.934,-60,-47.7,1s,True,distractor,3.069,-47.7,0.734
SIK1998M,2024-12-17-15-16-14,13,dual,descending,True,9,0.552,-65,-39.2,s1,False,distractor,1.285,-51.2,1.268
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,1,1.575,25,62.7,1p,False,distractor,1.285,31.7,2.486
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,2,0.718,30,58.3,p1,True,distractor,1.285,27.3,1.985
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,3,0.999,35,53.8,2p,False,distractor,1.285,31.8,1.385
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,4,0.824,40,36.1,p1,True,distractor,1.285,31.1,0.567
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,5,0.745,45,53.9,s1,False,distractor,1.285,34.9,1.601
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,6,0.736,50,40.8,p2,True,distractor,1.285,61.8,1.385
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,7,0.991,55,30.7,1s,True,distractor,1.285,53.7,1.768
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,8,0.78,60,58.4,2p,False,distractor,1.285,64.4,0.617
SIK1998M,2024-12-17-15-16-14,14,single,ascending,False,9,0.728,65,47.4,1p,False,distractor,1.285,63.4,1.068
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,1,1.558,-45,-55.5,2s,True,target,2.069,-42.5,1.468
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,2,0.68,-65,-56.5,s2,False,distractor,1.635,-45.5,1.334
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,3,0.834,-60,-60.5,s2,False,distractor,2.986,-43.5,1.551
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,4,0.843,-25,-36.9,p1,True,target,1.201,-18.9,1.585
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,5,0.533,-30,-30.2,p2,True,target,1.285,-42.2,1.134
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,6,0.872,-40,-46.9,2s,True,distractor,1.952,-38.9,1.151
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,7,0.801,-55,-40.6,1s,True,target,1.335,-46.6,1.835
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,8,0.687,-50,-52.5,1p,False,distractor,1.451,-39.5,2.152
SIK1998M,2024-12-17-15-16-14,15,dual,random,True,9,0.65,-35,-59.9,2p,False,distractor,6.239,-35.9,1.735
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,1,1.963,25,37.2,s1,False,distractor,6.239,12.2,1.535
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,2,0.57,30,30.0,p2,True,distractor,6.239,41.0,0.784
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,3,0.93,35,39.9,2s,True,distractor,6.239,46.9,1.435
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,4,0.648,40,57.7,1s,True,distractor,6.239,46.7,1.351
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,5,0.979,45,38.4,1p,False,distractor,6.239,38.4,0.534
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,6,0.936,50,61.6,p1,True,distractor,6.239,52.6,1.585
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,7,0.657,55,60.1,s1,False,distractor,6.239,58.1,1.084
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,8,0.691,60,61.3,s2,False,distractor,6.239,56.3,0.918
SIK1998M,2024-12-17-15-16-14,16,single,ascending,False,9,0.646,65,61.4,2p,False,distractor,6.239,61.4,0.534
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,1,1.8,-65,-39.6,s2,False,distractor,1.785,-50.6,1.351
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,2,0.675,-60,-38.8,p1,True,distractor,2.202,-61.8,1.668
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,3,0.995,-55,-64.8,2p,False,distractor,1.301,-64.8,0.717
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,4,0.912,-50,-45.3,1p,False,distractor,2.552,-60.3,1.168
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,5,0.625,-45,-30.5,1s,True,target,2.903,-48.5,1.384
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,6,0.963,-40,-50.3,s1,False,distractor,2.018,-50.3,0.851
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,7,0.583,-35,-37.7,p2,True,distractor,2.219,-41.7,1.168
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,8,0.782,-30,-31.4,2s,True,target,2.502,-46.4,1.151
SIK1998M,2024-12-17-15-16-14,17,dual,ascending,True,9,0.56,-25,-28.0,p2,True,distractor,2.602,-40.0,1.218
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,1,1.906,65,54.8,s1,False,distractor,2.602,50.8,1.084
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,2,0.898,60,50.0,s2,False,distractor,2.602,64.0,1.401
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,3,0.738,55,47.4,1s,True,distractor,2.602,54.4,0.834
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,4,0.783,50,58.1,p1,True,distractor,2.602,51.1,0.968
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,5,0.633,45,52.8,2s,True,distractor,2.602,52.8,0.384
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,6,0.874,40,48.2,1p,False,distractor,2.602,46.2,0.717
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,7,0.663,35,52.6,2p,False,distractor,2.602,34.6,1.051
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,8,0.988,30,47.6,p1,True,distractor,2.602,31.6,1.018
SIK1998M,2024-12-17-15-16-14,18,single,descending,False,9,0.796,25,25.4,1p,False,distractor,2.602,21.4,0.501
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,1,1.992,-25,-59.4,s1,False,distractor,2.102,3.6,3.353
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,2,0.714,-30,-51.6,s2,False,distractor,2.185,-37.6,1.268
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,3,0.883,-35,-56.9,2p,False,distractor,2.219,-25.9,1.801
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,4,0.91,-40,-55.1,2s,True,distractor,1.918,-16.1,1.985
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,5,0.954,-45,-34.4,1s,True,distractor,2.269,-34.4,0.717
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,6,0.739,-50,-48.4,p2,True,target,2.219,-30.4,1.234
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,7,0.634,-55,-43.1,s2,False,target,3.803,-43.1,0.834
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,8,0.502,-60,-55.9,2s,True,target,1.968,-55.9,0.834
SIK1998M,2024-12-17-15-16-14,19,dual,descending,True,9,0.546,-65,-46.8,2p,False,distractor,2.352,-46.8,0.617
SIK1998M,2024-12-17-15-16-14,20,single,random,False,1,1.636,50,48.5,1p,False,distractor,2.352,48.5,2.219
SIK1998M,2024-12-17-15-16-14,20,single,random,False,2,0.886,60,50.1,1s,True,distractor,2.352,70.1,1.168
SIK1998M,2024-12-17-15-16-14,20,single,random,False,3,0.685,45,45.7,p1,True,distractor,2.352,44.7,0.968
SIK1998M,2024-12-17-15-16-14,20,single,random,False,4,0.806,55,48.0,p2,True,distractor,2.352,58.0,0.768
SIK1998M,2024-12-17-15-16-14,20,single,random,False,5,0.839,35,26.5,s1,False,distractor,2.352,43.5,1.568
SIK1998M,2024-12-17-15-16-14,20,single,random,False,6,0.781,65,36.6,s2,False,distractor,2.352,69.6,1.902
SIK1998M,2024-12-17-15-16-14,20,single,random,False,7,0.985,30,48.5,s1,False,distractor,2.352,18.5,1.718
SIK1998M,2024-12-17-15-16-14,20,single,random,False,8,0.741,40,50.6,2s,True,distractor,2.352,33.6,1.235
SIK1998M,2024-12-17-15-16-14,20,single,random,False,9,0.698,25,61.0,2p,False,distractor,2.352,16.0,2.452
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,1,1.734,-25,-46.8,1s,True,distractor,3.787,-46.8,0.784
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,2,0.692,-30,-62.7,1p,False,target,1.902,-62.7,1.751
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,3,0.834,-35,-27.4,p1,True,distractor,1.902,-41.4,2.752
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,4,0.824,-40,-39.8,p2,True,distractor,2.335,-39.8,0.6
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,5,0.611,-45,-52.6,2p,False,distractor,5.622,-40.6,1.401
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,6,0.916,-50,-54.1,2s,True,target,2.569,-54.1,0.65
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,7,0.864,-55,-52.8,p2,True,target,2.185,-52.8,0.984
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,8,0.727,-60,-49.8,s1,False,target,1.968,-49.8,1.751
SIK1998M,2024-12-17-15-16-14,21,dual,descending,True,9,0.829,-65,-60.8,1p,False,distractor,2.252,-43.8,1.735
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,1,1.563,25,51.1,p1,True,target,1.868,-48.9,5.321
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,2,0.509,30,37.4,s2,False,distractor,2.052,37.4,0.817
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,3,0.958,35,54.6,1s,True,target,1.535,41.6,1.284
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,4,0.965,40,42.9,s2,False,distractor,1.251,42.9,1.017
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,5,0.6,45,52.1,p2,True,target,1.585,46.1,1.184
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,6,0.965,50,43.8,1s,True,distractor,2.319,52.8,1.084
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,7,0.991,55,37.5,p1,True,target,1.968,53.5,1.184
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,8,0.553,60,28.7,2s,True,distractor,1.535,56.7,1.835
SIK1998M,2024-12-17-15-16-14,22,dual,ascending,False,9,0.726,65,62.8,s1,False,distractor,6.606,55.8,1.651
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,1,1.53,-25,-34.6,1p,False,distractor,6.606,-34.6,1.168
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,2,0.77,-30,-46.4,2p,False,distractor,6.606,-28.4,1.168
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,3,0.91,-35,-31.1,1s,True,distractor,6.606,-37.1,1.168
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,4,0.75,-40,-30.6,2p,False,distractor,6.606,-28.6,0.784
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,5,0.763,-45,-32.6,1p,False,distractor,6.606,-46.6,1.251
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,6,0.58,-50,-27.9,p1,True,distractor,6.606,-43.9,1.451
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,7,0.769,-55,-56.3,p2,True,distractor,6.606,-50.3,0.984
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,8,0.903,-60,-30.8,s2,False,distractor,6.606,-49.8,1.368
SIK1998M,2024-12-17-15-16-14,23,single,descending,True,9,0.895,-65,-25.6,s1,False,distractor,6.606,-60.6,1.818
SIK1998M,2024-12-17-15-16-14,24,dual,random,False,1,1.854,50,42.0,2s,True,distractor,1.568,51.0,1.318
SIK1998M,2024-12-17-15-16-14,24,dual,random,False,2,0.621,65,58.6,s1,False,distractor,1.718,58.6,0.701
