Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
AMS2004W,2024-12-16-10-03-50,1,single,color,True,1,1.669,-25,-34.6,s1,False,distractor,4.621,,
AMS2004W,2024-12-16-10-03-50,1,single,color,True,2,0.684,-30,-58.7,s2,False,distractor,5.155,,
AMS2004W,2024-12-16-10-03-50,1,single,color,True,3,0.854,-60,-31.2,2s,True,distractor,5.054,,
AMS2004W,2024-12-16-10-03-50,1,single,color,True,4,0.79,-40,-25.9,p1,True,target,1.119,,
AMS2004W,2024-12-16-10-03-50,1,single,color,True,5,0.909,-35,-49.9,1p,False,distractor,2.169,,
AMS2004W,2024-12-16-10-03-50,1,single,color,True,6,0.778,-65,-52.9,p2,True,target,2.269,,
AMS2004W,2024-12-16-10-03-50,1,single,color,True,7,0.535,-50,-34.4,1s,True,distractor,0.985,,
AMS2004W,2024-12-16-10-03-50,1,single,color,True,8,0.958,-45,-35.4,2p,False,distractor,0.884,,
AMS2004W,2024-12-16-10-03-50,1,single,color,True,9,0.762,-55,-59.2,2p,False,distractor,1.101,,
AMS2004W,2024-12-16-10-03-50,2,single,random,False,1,1.746,65,61.7,p2,True,distractor,1.101,-45.3,17.465
AMS2004W,2024-12-16-10-03-50,2,single,random,False,2,0.865,60,40.1,p1,True,distractor,1.101,40.1,5.371
AMS2004W,2024-12-16-10-03-50,2,single,random,False,3,0.704,30,62.6,1s,True,distractor,1.101,53.6,4.337
AMS2004W,2024-12-16-10-03-50,2,single,random,False,4,0.528,40,47.7,s1,False,distractor,1.101,47.7,3.837
AMS2004W,2024-12-16-10-03-50,2,single,random,False,5,0.617,55,40.1,2s,True,distractor,1.101,40.1,2.102
AMS2004W,2024-12-16-10-03-50,2,single,random,False,6,0.915,50,55.6,s2,False,distractor,1.101,46.6,2.886
AMS2004W,2024-12-16-10-03-50,2,single,random,False,7,0.597,25,38.5,1p,False,distractor,1.101,38.5,3.703
AMS2004W,2024-12-16-10-03-50,2,single,random,False,8,0.673,45,42.0,2p,False,distractor,1.101,-39.0,7.206
AMS2004W,2024-12-16-10-03-50,2,single,random,False,9,0.714,35,29.5,s1,False,distractor,1.101,38.5,2.619
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,1,1.948,-65,-57.7,p2,True,distractor,1.101,-57.7,4.237
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,2,0.886,-60,-51.2,s2,False,distractor,1.101,-51.2,2.753
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,3,0.998,-55,-31.0,1s,True,distractor,1.101,-51.0,2.519
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,4,0.984,-50,-55.6,2s,True,distractor,1.101,-55.6,0.668
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,5,0.936,-45,-29.3,1p,False,distractor,1.101,-45.3,2.736
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,6,0.647,-40,-64.2,p1,True,distractor,1.101,-51.2,3.336
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,7,0.908,-35,-43.9,s1,False,distractor,1.101,-41.9,1.752
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,8,0.615,-30,-33.8,2p,False,distractor,1.101,-33.8,0.801
AMS2004W,2024-12-16-10-03-50,3,single,ascending,True,9,0.699,-25,-35.4,1s,True,distractor,1.101,-35.4,1.468
AMS2004W,2024-12-16-10-03-50,4,single,random,False,1,1.541,35,49.6,p1,True,distractor,1.101,41.6,2.369
AMS2004W,2024-12-16-10-03-50,4,single,random,False,2,0.704,60,31.0,p2,True,distractor,1.101,59.0,2.669
AMS2004W,2024-12-16-10-03-50,4,single,random,False,3,0.693,40,28.4,s2,False,distractor,1.101,34.4,2.019
AMS2004W,2024-12-16-10-03-50,4,single,random,False,4,0.865,25,47.8,2s,True,distractor,1.101,42.8,4.22
AMS2004W,2024-12-16-10-03-50,4,single,random,False,5,0.519,50,64.3,1p,False,distractor,1.101,54.3,2.019
AMS2004W,2024-12-16-10-03-50,4,single,random,False,6,0.941,55,39.4,1p,False,distractor,1.101,54.4,2.152
AMS2004W,2024-12-16-10-03-50,4,single,random,False,7,0.541,65,54.4,2s,True,distractor,1.101,70.4,1.885
AMS2004W,2024-12-16-10-03-50,4,single,random,False,8,0.585,45,37.0,p1,True,distractor,1.101,53.0,2.769
AMS2004W,2024-12-16-10-03-50,4,single,random,False,9,0.887,30,49.8,p2,True,distractor,1.101,33.8,1.819
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,1,1.69,-25,-57.8,s2,False,distractor,4.27,-130.8,7.189
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,2,0.642,-45,-64.0,s1,False,distractor,4.254,-64.0,1.018
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,3,0.887,-30,-28.5,1s,True,target,3.937,-40.5,3.486
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,4,0.731,-50,-56.6,2p,False,distractor,3.103,-56.6,1.351
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,5,0.774,-35,-29.6,s2,False,distractor,3.103,-39.6,3.286
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,6,0.629,-65,-29.0,2p,False,distractor,8.007,-52.0,2.519
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,7,0.503,-55,-34.9,p1,True,target,8.858,-50.9,2.952
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,8,0.518,-40,-44.6,2s,True,target,5.455,-44.6,1.034
AMS2004W,2024-12-16-10-03-50,5,dual,random,True,9,0.832,-60,-53.2,p2,True,target,5.438,-114.2,6.305
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,1,1.912,65,40.4,1p,False,target,5.438,53.4,2.252
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,2,0.533,60,31.1,s1,False,target,5.438,50.1,2.869
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,3,0.826,55,31.0,1s,True,target,5.438,39.0,1.301
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,4,0.984,50,56.0,1s,True,target,5.438,52.0,1.802
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,5,0.969,45,33.4,p1,True,target,5.438,33.4,0.901
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,6,0.539,40,30.8,2p,False,target,5.438,35.8,1.502
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,7,0.677,35,41.0,2s,True,target,5.438,41.0,0.934
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,8,0.991,30,43.0,s2,False,target,5.438,27.0,1.802
AMS2004W,2024-12-16-10-03-50,6,single,descending,False,9,0.639,25,37.1,p2,True,target,5.438,24.1,1.602
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,1,1.95,-25,-38.8,s1,False,target,4.554,-44.8,2.135
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,2,0.606,-30,-48.5,1p,False,distractor,8.741,-48.5,1.067
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,3,0.73,-35,-52.6,1p,False,distractor,4.954,-48.6,2.035
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,4,1.0,-40,-32.6,p2,True,target,3.753,-30.6,1.184
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,5,0.811,-45,-60.9,s2,False,distractor,4.27,-50.9,3.787
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,6,0.76,-50,-51.7,2s,True,target,4.971,-54.7,2.252
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,7,0.561,-55,-41.1,p1,True,distractor,2.636,-53.1,1.985
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,8,0.578,-60,-26.6,s1,False,distractor,4.954,-54.6,2.485
AMS2004W,2024-12-16-10-03-50,7,dual,descending,True,9,0.651,-65,-29.1,2p,False,distractor,3.62,-56.1,3.586
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,1,1.629,25,29.3,1s,True,target,6.856,-50.7,5.154
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,2,0.852,30,61.6,s2,False,distractor,3.069,44.6,2.135
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,3,0.688,35,47.1,2p,False,distractor,6.823,-52.9,8.257
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,4,0.768,40,25.2,1s,True,target,4.821,49.2,3.035
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,5,0.63,45,38.5,1p,False,distractor,7.89,40.5,3.686
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,6,0.612,50,44.8,2s,True,distractor,9.975,49.8,1.601
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,7,0.803,55,30.6,s1,False,distractor,2.752,-43.4,4.687
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,8,0.776,60,32.9,p1,True,target,5.238,54.9,2.435
AMS2004W,2024-12-16-10-03-50,8,dual,ascending,False,9,0.68,65,60.6,p2,True,target,7.223,67.6,5.388
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,1,1.963,-65,-57.2,s2,False,target,15.497,-53.2,1.835
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,2,0.718,-60,-26.6,p1,True,target,4.02,39.4,7.606
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,3,0.794,-55,-44.5,1s,True,target,3.32,-44.5,1.435
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,4,0.728,-50,-44.9,p2,True,target,1.802,44.1,8.157
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,5,0.912,-45,-28.4,2s,True,target,3.269,-32.4,2.886
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,6,0.861,-40,-51.3,2p,False,distractor,3.053,-39.3,2.485
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,7,0.643,-35,-41.0,1p,False,distractor,3.436,-41.0,0.851
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,8,0.702,-30,-55.6,s1,False,distractor,3.903,-39.6,2.319
AMS2004W,2024-12-16-10-03-50,9,dual,ascending,True,9,0.913,-25,-27.9,p2,True,target,3.586,-33.9,3.469
AMS2004W,2024-12-16-10-03-50,10,single,random,False,1,1.938,45,47.2,s2,False,target,3.586,47.2,0.868
AMS2004W,2024-12-16-10-03-50,10,single,random,False,2,0.612,25,54.8,p1,True,target,3.586,38.8,2.185
AMS2004W,2024-12-16-10-03-50,10,single,random,False,3,0.513,55,50.4,1s,True,target,3.586,46.4,0.918
AMS2004W,2024-12-16-10-03-50,10,single,random,False,4,0.915,65,64.6,2p,False,target,3.586,62.6,1.418
AMS2004W,2024-12-16-10-03-50,10,single,random,False,5,0.973,50,57.8,2s,True,target,3.586,53.8,1.201
AMS2004W,2024-12-16-10-03-50,10,single,random,False,6,0.512,35,31.8,1p,False,target,3.586,27.8,0.701
AMS2004W,2024-12-16-10-03-50,10,single,random,False,7,0.97,40,61.6,s1,False,target,3.586,42.6,1.685
AMS2004W,2024-12-16-10-03-50,10,single,random,False,8,0.792,60,60.0,p2,True,target,3.586,43.0,1.251
AMS2004W,2024-12-16-10-03-50,10,single,random,False,9,0.969,30,31.1,1p,False,target,3.586,32.1,1.301
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,1,1.773,-25,-60.6,s1,False,distractor,7.14,-44.6,2.219
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,2,0.958,-30,-48.1,1s,True,target,4.772,-41.1,2.085
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,3,0.701,-35,-27.5,2p,False,distractor,5.238,-35.5,2.702
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,4,0.686,-40,-53.3,s2,False,distractor,6.022,-39.3,1.885
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,5,0.907,-45,-61.3,2s,True,target,2.486,-59.3,1.568
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,6,0.58,-50,-42.1,p1,True,target,3.953,-60.1,2.369
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,7,0.755,-55,-32.0,s2,False,distractor,7.373,-52.0,1.985
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,8,0.872,-60,-30.8,1s,True,target,5.688,-52.8,1.785
AMS2004W,2024-12-16-10-03-50,11,dual,descending,True,9,0.501,-65,-46.9,2p,False,distractor,2.636,-68.9,2.986
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,1,1.542,40,43.4,s1,False,distractor,2.702,59.4,2.218
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,2,0.781,65,46.7,2s,True,target,4.17,64.7,1.735
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,3,0.585,35,63.5,p1,True,target,4.654,40.5,1.485
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,4,0.932,30,28.2,1p,False,distractor,2.285,33.2,1.301
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,5,0.908,50,56.4,p2,True,target,3.236,46.4,3.703
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,6,0.806,45,50.1,1p,False,distractor,4.137,43.1,1.301
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,7,0.683,60,56.6,p1,True,target,2.352,47.6,1.051
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,8,0.518,25,31.5,2p,False,distractor,3.453,-40.5,4.971
AMS2004W,2024-12-16-10-03-50,12,dual,random,False,9,0.966,55,38.7,p2,True,distractor,6.706,49.7,3.453
AMS2004W,2024-12-16-10-03-50,13,single,descending,True,1,1.707,-25,-28.6,s2,False,distractor,6.706,-24.6,1.218
AMS2004W,2024-12-16-10-03-50,13,single,descending,True,2,0.542,-30,-64.3,1s,True,distractor,6.706,-39.3,2.869
AMS2004W,2024-12-16-10-03-50,13,single,descending,True,3,0.569,-35,-26.5,s1,False,distractor,6.706,-30.5,1.535
