Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
DRK2003W,2024-12-03-15-01-37,1,single,color,True,1,1.812,-45,-56.5,1p,False,target,3.586,,
DRK2003W,2024-12-03-15-01-37,1,single,color,True,2,0.735,-30,-45.2,p2,True,target,1.034,,
DRK2003W,2024-12-03-15-01-37,1,single,color,True,3,0.751,-40,-64.0,1s,True,distractor,0.584,,
DRK2003W,2024-12-03-15-01-37,1,single,color,True,4,0.575,-35,-61.2,s2,False,distractor,1.218,,
DRK2003W,2024-12-03-15-01-37,1,single,color,True,5,0.772,-25,-64.0,s1,False,distractor,1.335,,
DRK2003W,2024-12-03-15-01-37,1,single,color,True,6,0.746,-65,-64.9,2p,False,distractor,1.718,,
DRK2003W,2024-12-03-15-01-37,1,single,color,True,7,0.56,-50,-27.0,p1,True,target,0.484,,
DRK2003W,2024-12-03-15-01-37,1,single,color,True,8,0.934,-60,-55.3,2s,True,target,0.901,,
DRK2003W,2024-12-03-15-01-37,1,single,color,True,9,0.545,-55,-36.7,s1,False,distractor,0.701,,
DRK2003W,2024-12-03-15-01-37,2,single,random,False,1,1.938,45,34.2,1p,False,distractor,0.701,48.2,4.12
DRK2003W,2024-12-03-15-01-37,2,single,random,False,2,0.62,60,40.3,s2,False,distractor,0.701,68.3,3.587
DRK2003W,2024-12-03-15-01-37,2,single,random,False,3,0.968,50,42.7,2s,True,distractor,0.701,31.7,1.468
DRK2003W,2024-12-03-15-01-37,2,single,random,False,4,0.907,35,63.1,p2,True,distractor,0.701,20.1,3.62
DRK2003W,2024-12-03-15-01-37,2,single,random,False,5,0.839,65,31.2,2p,False,distractor,0.701,65.2,3.72
DRK2003W,2024-12-03-15-01-37,2,single,random,False,6,0.571,55,45.4,p1,True,distractor,0.701,42.4,1.518
DRK2003W,2024-12-03-15-01-37,2,single,random,False,7,0.923,30,49.6,1s,True,distractor,0.701,20.6,4.187
DRK2003W,2024-12-03-15-01-37,2,single,random,False,8,0.845,25,53.9,p1,True,distractor,0.701,17.9,4.638
DRK2003W,2024-12-03-15-01-37,2,single,random,False,9,0.685,40,53.3,1p,False,distractor,0.701,47.3,2.436
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,1,1.661,-65,-59.5,s1,False,target,3.003,-36.5,4.821
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,2,0.723,-60,-27.6,s2,False,distractor,2.986,-52.6,3.603
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,3,0.8,-55,-58.4,2s,True,target,2.702,-60.4,4.137
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,4,0.534,-50,-31.0,p2,True,distractor,3.136,-43.0,3.953
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,5,0.927,-45,-39.2,2p,False,distractor,1.051,-52.2,4.37
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,6,0.919,-40,-28.0,1s,True,distractor,2.469,-42.0,4.487
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,7,0.595,-35,-52.3,1p,False,distractor,4.487,-30.3,7.857
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,8,0.709,-30,-59.8,2s,True,target,1.151,-27.8,5.355
DRK2003W,2024-12-03-15-01-37,3,dual,ascending,True,9,0.748,-25,-34.6,1s,True,target,4.07,-33.6,2.385
DRK2003W,2024-12-03-15-01-37,4,single,random,False,1,1.726,40,42.3,s1,False,target,4.07,20.3,4.671
DRK2003W,2024-12-03-15-01-37,4,single,random,False,2,0.942,50,40.2,s2,False,target,4.07,56.2,3.32
DRK2003W,2024-12-03-15-01-37,4,single,random,False,3,0.836,25,53.4,p2,True,target,4.07,15.4,2.886
DRK2003W,2024-12-03-15-01-37,4,single,random,False,4,0.601,45,59.0,p1,True,target,4.07,47.0,1.835
DRK2003W,2024-12-03-15-01-37,4,single,random,False,5,0.728,30,59.3,2p,False,target,4.07,22.3,3.086
DRK2003W,2024-12-03-15-01-37,4,single,random,False,6,0.902,60,53.2,2s,True,target,4.07,31.2,3.503
DRK2003W,2024-12-03-15-01-37,4,single,random,False,7,0.902,65,60.9,p2,True,target,4.07,72.9,2.319
DRK2003W,2024-12-03-15-01-37,4,single,random,False,8,0.905,35,40.3,p1,True,target,4.07,18.3,2.252
DRK2003W,2024-12-03-15-01-37,4,single,random,False,9,0.825,55,46.8,s1,False,target,4.07,67.8,3.386
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,1,1.544,-25,-36.1,2p,False,target,1.768,-46.1,2.802
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,2,0.822,-30,-57.4,1p,False,target,3.136,-29.4,4.02
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,3,0.574,-35,-37.0,1s,True,target,1.268,-58.0,4.07
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,4,0.89,-40,-46.1,s2,False,target,2.652,-31.1,3.62
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,5,0.863,-45,-42.4,1p,False,distractor,1.835,-28.4,2.819
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,6,0.523,-50,-29.7,p2,True,target,2.335,-36.7,2.219
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,7,0.959,-55,-59.0,s2,False,distractor,1.368,-26.0,5.121
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,8,0.551,-60,-38.3,2s,True,target,2.202,-75.3,3.403
DRK2003W,2024-12-03-15-01-37,5,dual,descending,True,9,0.85,-65,-30.6,s1,False,distractor,2.619,-79.6,4.721
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,1,1.901,25,64.2,p1,True,distractor,2.619,13.2,4.271
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,2,0.819,30,48.0,2p,False,distractor,2.619,16.0,3.22
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,3,0.833,35,52.4,1s,True,distractor,2.619,21.4,2.803
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,4,0.714,40,55.3,2p,False,distractor,2.619,17.3,3.136
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,5,0.817,45,38.3,s2,False,distractor,2.619,57.3,2.653
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,6,0.876,50,32.0,p1,True,distractor,2.619,63.0,2.853
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,7,0.835,55,52.6,s1,False,distractor,2.619,71.6,1.935
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,8,0.649,60,55.5,p2,True,distractor,2.619,71.5,2.552
DRK2003W,2024-12-03-15-01-37,6,single,ascending,False,9,0.6,65,29.2,2s,True,distractor,2.619,76.2,4.12
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,1,1.669,-25,-48.1,1p,False,distractor,2.619,-24.1,3.637
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,2,0.937,-30,-33.8,1s,True,distractor,2.619,-22.8,2.235
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,3,0.527,-35,-56.7,2s,True,distractor,2.619,-33.7,3.086
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,4,0.695,-40,-52.5,1s,True,distractor,2.619,-21.5,3.353
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,5,0.524,-45,-42.3,s2,False,distractor,2.619,-37.3,2.803
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,6,0.796,-50,-52.2,1p,False,distractor,2.619,-54.2,1.785
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,7,0.71,-55,-34.4,p1,True,distractor,2.619,-56.4,2.569
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,8,0.574,-60,-36.4,2p,False,distractor,2.619,-65.4,2.319
DRK2003W,2024-12-03-15-01-37,7,single,descending,True,9,0.708,-65,-40.7,s1,False,distractor,2.619,-79.7,3.487
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,1,1.847,65,48.2,p2,True,target,2.135,72.2,3.82
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,2,0.61,55,28.7,1s,True,target,1.685,59.7,4.487
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,3,0.635,30,42.4,2s,True,distractor,2.652,15.4,3.887
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,4,0.656,25,63.6,s2,False,distractor,2.002,27.6,3.503
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,5,0.854,50,40.5,p1,True,target,1.068,61.5,2.769
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,6,0.953,40,54.8,2p,False,distractor,1.985,26.8,3.37
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,7,0.962,35,28.5,s1,False,target,1.235,20.5,3.386
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,8,0.953,60,40.4,p2,True,target,1.118,72.4,4.821
DRK2003W,2024-12-03-15-01-37,8,dual,random,False,9,0.99,45,49.3,1p,False,distractor,1.518,48.3,4.687
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,1,1.817,-65,-53.3,s1,False,distractor,1.935,-58.3,5.838
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,2,0.816,-60,-42.9,2s,True,target,4.521,-64.9,4.671
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,3,0.63,-55,-38.9,1p,False,distractor,0.984,-49.9,3.269
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,4,0.708,-50,-41.0,p1,True,distractor,2.719,-49.0,3.169
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,5,0.775,-45,-26.1,2p,False,distractor,1.335,-58.1,4.32
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,6,0.621,-40,-44.2,p2,True,distractor,2.369,-35.2,2.552
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,7,0.916,-35,-34.8,1s,True,target,1.735,-53.8,3.636
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,8,0.674,-30,-64.7,s2,False,distractor,1.618,-44.7,3.553
DRK2003W,2024-12-03-15-01-37,9,dual,ascending,True,9,0.637,-25,-64.7,1s,True,target,1.601,-29.7,3.953
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,1,1.828,65,55.8,p2,True,distractor,1.768,76.8,4.27
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,2,0.686,60,29.6,s1,False,distractor,1.518,67.6,3.403
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,3,0.552,55,57.2,2p,False,distractor,1.235,46.2,1.751
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,4,0.733,50,58.9,p1,True,target,1.218,34.9,1.985
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,5,0.757,45,34.7,s2,False,target,1.234,64.7,2.869
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,6,0.622,40,54.5,2s,True,distractor,1.201,31.5,2.285
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,7,0.814,35,60.3,1p,False,distractor,2.569,33.3,3.136
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,8,0.568,30,45.1,2p,False,distractor,2.285,30.1,1.785
DRK2003W,2024-12-03-15-01-37,10,dual,descending,False,9,0.695,25,26.7,p1,True,target,0.951,38.7,1.735
DRK2003W,2024-12-03-15-01-37,11,single,random,True,1,1.975,-25,-30.2,s1,False,target,0.951,-17.2,2.603
DRK2003W,2024-12-03-15-01-37,11,single,random,True,2,0.686,-45,-30.1,2s,True,target,0.951,-59.1,2.185
DRK2003W,2024-12-03-15-01-37,11,single,random,True,3,0.631,-50,-33.7,1p,False,target,0.951,-60.7,3.036
DRK2003W,2024-12-03-15-01-37,11,single,random,True,4,0.991,-55,-30.8,s2,False,target,0.951,-58.8,2.619
