Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
KWF2003W,2024-12-02-10-04-06,1,single,color,True,1,1.625,-60,-30.3,p2,True,distractor,4.604,,
KWF2003W,2024-12-02-10-04-06,1,single,color,True,2,0.575,-50,-64.3,2s,True,distractor,4.254,,
KWF2003W,2024-12-02-10-04-06,1,single,color,True,3,0.729,-35,-55.0,1s,True,distractor,4.254,,
KWF2003W,2024-12-02-10-04-06,1,single,color,True,4,0.587,-65,-26.9,2p,False,distractor,3.62,,
KWF2003W,2024-12-02-10-04-06,1,single,color,True,5,0.808,-40,-52.7,1p,False,distractor,0.851,,
KWF2003W,2024-12-02-10-04-06,1,single,color,True,6,0.759,-25,-30.0,s1,False,target,4.704,,
KWF2003W,2024-12-02-10-04-06,1,single,color,True,7,0.777,-45,-64.2,p1,True,target,5.522,,
KWF2003W,2024-12-02-10-04-06,1,single,color,True,8,0.601,-30,-28.0,s2,False,distractor,1.034,,
KWF2003W,2024-12-02-10-04-06,1,single,color,True,9,0.828,-55,-37.3,2s,True,target,1.551,,
KWF2003W,2024-12-02-10-04-06,2,single,random,False,1,1.549,40,49.9,1p,False,target,1.551,49.9,1.568
KWF2003W,2024-12-02-10-04-06,2,single,random,False,2,0.569,30,42.6,1s,True,target,1.551,64.6,7.306
KWF2003W,2024-12-02-10-04-06,2,single,random,False,3,0.587,65,58.1,2p,False,target,1.551,58.1,0.584
KWF2003W,2024-12-02-10-04-06,2,single,random,False,4,0.793,50,60.7,s2,False,target,1.551,55.7,1.235
KWF2003W,2024-12-02-10-04-06,2,single,random,False,5,0.919,25,25.0,s1,False,target,1.551,21.0,0.784
KWF2003W,2024-12-02-10-04-06,2,single,random,False,6,0.56,35,53.8,p1,True,target,1.551,41.8,1.485
KWF2003W,2024-12-02-10-04-06,2,single,random,False,7,0.809,45,25.4,p2,True,target,1.551,41.4,2.085
KWF2003W,2024-12-02-10-04-06,2,single,random,False,8,0.986,60,34.6,1s,True,target,1.551,53.6,2.452
KWF2003W,2024-12-02-10-04-06,2,single,random,False,9,0.53,55,44.9,p2,True,target,1.551,54.9,1.685
KWF2003W,2024-12-02-10-04-06,3,single,random,True,1,1.681,-55,-54.0,s2,False,target,1.551,-51.0,1.852
KWF2003W,2024-12-02-10-04-06,3,single,random,True,2,0.897,-25,-41.3,p1,True,target,1.551,-28.3,1.051
KWF2003W,2024-12-02-10-04-06,3,single,random,True,3,0.702,-40,-49.9,2p,False,target,1.551,-36.9,1.134
KWF2003W,2024-12-02-10-04-06,3,single,random,True,4,0.839,-65,-43.4,2s,True,target,1.551,-55.4,1.118
KWF2003W,2024-12-02-10-04-06,3,single,random,True,5,0.543,-50,-64.0,s1,False,target,1.551,-56.0,1.418
KWF2003W,2024-12-02-10-04-06,3,single,random,True,6,0.834,-35,-59.5,1p,False,target,1.551,-40.5,1.185
KWF2003W,2024-12-02-10-04-06,3,single,random,True,7,0.733,-45,-55.4,p1,True,target,1.551,-46.4,1.234
KWF2003W,2024-12-02-10-04-06,3,single,random,True,8,0.815,-60,-36.8,s2,False,target,1.551,-47.8,1.218
KWF2003W,2024-12-02-10-04-06,3,single,random,True,9,0.942,-30,-54.8,1p,False,target,1.551,-38.8,1.785
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,1,1.633,65,45.3,1s,True,target,1.551,57.3,1.502
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,2,0.926,60,62.9,2p,False,target,1.551,56.9,1.185
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,3,0.801,55,61.1,s1,False,target,1.551,53.1,1.351
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,4,0.807,50,51.2,p2,True,target,1.551,52.2,0.784
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,5,0.612,45,48.4,2s,True,target,1.551,46.4,0.801
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,6,0.532,40,62.2,1s,True,target,1.551,44.2,1.568
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,7,0.85,35,28.7,2s,True,target,1.551,49.7,2.085
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,8,0.892,30,41.5,p1,True,target,1.551,38.5,0.734
KWF2003W,2024-12-02-10-04-06,4,single,descending,False,9,0.67,25,37.6,p2,True,target,1.551,37.6,0.634
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,1,1.588,-25,-52.1,s2,False,target,2.035,-48.1,2.919
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,2,0.606,-30,-49.8,1p,False,distractor,1.802,-49.8,1.451
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,3,0.52,-35,-53.7,2p,False,distractor,2.353,-38.7,1.318
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,4,0.96,-40,-40.3,s1,False,distractor,1.735,-48.3,1.351
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,5,0.783,-45,-56.8,s2,False,target,2.769,-47.8,1.418
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,6,0.8,-50,-30.4,p2,True,target,1.935,-44.4,1.585
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,7,0.524,-55,-35.8,p1,True,distractor,2.069,-45.8,1.451
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,8,0.808,-60,-25.1,1s,True,target,1.635,-44.1,2.118
KWF2003W,2024-12-02-10-04-06,5,dual,descending,True,9,0.734,-65,-33.4,1p,False,target,2.019,-47.4,1.701
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,1,1.862,55,49.1,2p,False,distractor,1.418,62.1,2.936
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,2,0.744,45,44.6,s1,False,target,3.37,59.6,1.851
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,3,0.867,50,52.2,2s,True,distractor,5.305,52.2,2.952
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,4,0.867,30,44.2,p1,True,target,4.02,55.2,1.968
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,5,0.673,25,45.2,p2,True,target,1.451,45.2,1.034
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,6,0.879,35,37.3,1s,True,target,2.285,43.3,1.218
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,7,0.514,60,53.3,2p,False,distractor,2.052,45.3,1.318
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,8,0.889,40,54.5,2s,True,target,1.051,44.5,1.218
KWF2003W,2024-12-02-10-04-06,6,dual,random,False,9,0.967,65,62.0,s2,False,target,2.152,52.0,1.251
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,1,1.713,-65,-38.6,1p,False,target,2.152,-54.6,2.069
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,2,0.781,-60,-33.3,s1,False,target,2.152,-53.3,1.702
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,3,0.539,-55,-51.0,p1,True,target,2.152,-52.0,0.818
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,4,0.913,-50,-62.0,s1,False,target,2.152,-53.0,1.235
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,5,0.869,-45,-54.6,2s,True,target,2.152,-46.6,1.084
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,6,0.787,-40,-30.2,1p,False,target,2.152,-37.2,1.201
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,7,0.587,-35,-61.3,1s,True,target,2.152,-44.3,1.668
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,8,0.831,-30,-59.3,s2,False,target,2.152,-41.3,1.402
KWF2003W,2024-12-02-10-04-06,7,single,ascending,True,9,0.716,-25,-62.0,2p,False,target,2.152,-40.0,1.802
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,1,1.794,25,49.0,p2,True,distractor,1.184,35.0,1.868
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,2,0.819,30,32.4,1p,False,distractor,1.168,32.4,1.318
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,3,0.852,35,35.3,p1,True,target,2.002,43.3,1.018
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,4,0.824,40,53.8,2p,False,distractor,2.052,38.8,1.451
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,5,0.582,45,30.3,1s,True,target,1.084,43.3,1.685
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,6,0.79,50,44.1,s1,False,distractor,2.502,44.1,0.934
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,7,0.865,55,26.9,2s,True,target,1.635,38.9,1.268
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,8,0.78,60,35.5,p2,True,target,1.318,43.5,1.418
KWF2003W,2024-12-02-10-04-06,8,dual,ascending,False,9,0.802,65,58.9,s2,False,distractor,1.018,50.9,1.385
KWF2003W,2024-12-02-10-04-06,9,single,ascending,True,1,1.811,-65,-30.3,s2,False,distractor,1.018,-56.3,1.835
KWF2003W,2024-12-02-10-04-06,9,single,ascending,True,2,0.524,-60,-62.3,p1,True,distractor,1.018,-62.3,0.634
