Participant,Session,Block,Task,Order,ComplementaryOri,Trial,OnsetDelay,Orientation,WidegetInitialOri,Color,ColorIsTarget,ColorResponse,ColorRT,OrientationResponse,OrientationRT
debug,2024-10-31-11-55-35,1,single,color,True,1,1.837,-50,-33.7,1p,False,distractor,0.734,,
debug,2024-10-31-11-55-35,1,single,color,True,2,0.775,-55,-27.7,2p,False,distractor,0.584,,
debug,2024-10-31-11-55-35,1,single,color,True,3,0.586,-30,-57.4,s2,False,distractor,1.051,,
debug,2024-10-31-11-55-35,1,single,color,True,4,0.676,-65,-42.0,1s,True,target,0.467,,
debug,2024-10-31-11-55-35,1,single,color,True,5,0.852,-60,-45.1,p2,True,target,0.717,,
debug,2024-10-31-11-55-35,1,single,color,True,6,0.512,-35,-55.7,s1,False,target,1.652,,
debug,2024-10-31-11-55-35,1,single,color,True,7,0.552,-40,-62.0,2s,True,target,1.268,,
debug,2024-10-31-11-55-35,1,single,color,True,8,0.804,-45,-45.2,p1,True,target,0.4,,
debug,2024-10-31-11-55-35,1,single,color,True,9,0.681,-25,-33.8,p2,True,target,0.501,,
debug,2024-10-31-11-55-35,2,single,random,False,1,1.822,65,26.0,p1,True,target,0.501,61.0,2.786
debug,2024-10-31-11-55-35,2,single,random,False,2,0.707,50,32.9,s1,False,target,0.501,51.9,1.468
debug,2024-10-31-11-55-35,2,single,random,False,3,0.969,45,38.4,2s,True,target,0.501,44.4,1.602
debug,2024-10-31-11-55-35,2,single,random,False,4,0.701,30,36.8,1p,False,target,0.501,28.8,0.968
debug,2024-10-31-11-55-35,2,single,random,False,5,0.776,60,64.6,1s,True,target,0.501,46.6,2.119
debug,2024-10-31-11-55-35,2,single,random,False,6,0.566,25,58.9,2p,False,target,0.501,31.9,1.968
debug,2024-10-31-11-55-35,2,single,random,False,7,0.829,35,30.1,s2,False,target,0.501,36.1,1.485
debug,2024-10-31-11-55-35,2,single,random,False,8,0.531,40,33.8,2s,True,target,0.501,44.8,1.168
debug,2024-10-31-11-55-35,2,single,random,False,9,0.606,55,40.1,s1,False,target,0.501,51.1,1.218
debug,2024-10-31-11-55-35,3,dual,ascending,True,1,1.693,-65,-30.0,1p,False,distractor,0.784,-38.0,1.535
debug,2024-10-31-11-55-35,3,dual,ascending,True,2,0.658,-60,-36.4,p2,True,target,0.934,-48.4,1.368
debug,2024-10-31-11-55-35,3,dual,ascending,True,3,0.881,-55,-51.0,1s,True,target,0.851,-57.0,0.851
debug,2024-10-31-11-55-35,3,dual,ascending,True,4,0.572,-50,-64.4,s2,False,distractor,1.084,-49.4,1.952
debug,2024-10-31-11-55-35,3,dual,ascending,True,5,0.732,-45,-31.0,2p,False,distractor,0.918,-51.0,1.451
debug,2024-10-31-11-55-35,3,dual,ascending,True,6,0.774,-40,-34.7,p1,True,target,0.617,-53.7,1.585
debug,2024-10-31-11-55-35,3,dual,ascending,True,7,0.532,-35,-37.1,s1,False,distractor,1.735,-51.1,1.802
debug,2024-10-31-11-55-35,3,dual,ascending,True,8,0.952,-30,-55.6,p2,True,target,0.717,-37.6,2.502
debug,2024-10-31-11-55-35,3,dual,ascending,True,9,0.865,-25,-46.8,s2,False,distractor,1.118,-34.8,1.468
debug,2024-10-31-11-55-35,4,single,ascending,False,1,1.717,25,40.9,2s,True,distractor,1.118,28.9,1.235
debug,2024-10-31-11-55-35,4,single,ascending,False,2,0.668,30,57.9,p1,True,distractor,1.118,35.9,1.935
debug,2024-10-31-11-55-35,4,single,ascending,False,3,0.552,35,30.6,2p,False,distractor,1.118,36.6,1.001
debug,2024-10-31-11-55-35,4,single,ascending,False,4,0.895,40,25.9,1s,True,distractor,1.118,37.9,1.185
debug,2024-10-31-11-55-35,4,single,ascending,False,5,0.785,45,45.5,1p,False,distractor,1.118,48.5,1.101
